"ENSBTAG00000020457-ENSBTAG00000001060","ENSBTAG00000020457-ENSBTAG00000019832","ENSBTAG00000005947-ENSBTAG00000015910","ENSBTAG00000017448-ENSBTAG00000011628","ENSBTAG00000011238-ENSBTAG00000002951","ENSBTAG00000007153-ENSBTAG00000012219","ENSBTAG00000003300-ENSBTAG00000002804","ENSBTAG00000019866-ENSBTAG00000000782","ENSBTAG00000003837-ENSBTAG00000011761","ENSBTAG00000011238-ENSBTAG00000017256","ENSBTAG00000021945-ENSBTAG00000011741","ENSBTAG00000016800-ENSBTAG00000000782","ENSBTAG00000005339-ENSBTAG00000000782","ENSBTAG00000000575-ENSBTAG00000026676","ENSBTAG00000000575-ENSBTAG00000012119"
35.1646806904569,35.8026961721597,89.5138196146868,99.9073476160711,58.0900377404286,60.1433777634685,66.352777818109,58.0102280051856,63.2428062631195,60.4852333142118,70.7822508806291,42.5843457106067,42.1024980671678,60.4515170477549,45.3374501946609
31.6447732052964,32.218924735284,81.7274911135738,110.110727771721,52.0766017154753,59.0628181855536,57.3484032635664,53.7185160321904,76.3759737504141,54.2238484858069,67.4887936391021,36.8726081547101,41.5964281284494,50.5613113372597,37.9199902083332
36.0838202099357,36.7385122327518,80.4117566997295,111.66065284843,45.2785838886039,57.0261224745475,58.9539186776899,54.2616472027848,81.6145712005273,47.1455316120975,69.4058659523023,41.3557606860072,43.6160956255953,59.4825756414905,44.6107631751548
35.0117963233178,35.6470379253427,85.3632780838888,101.826700075214,57.6455766629944,64.2327977725698,59.0327178815574,54.1083386149904,57.5862586161756,60.0224460099959,70.8231589328369,42.2684311487737,39.5393614257457,62.3829438314045,46.7859823388447
35.2554196077242,35.8950814241262,87.7490736055047,99.5488360148707,60.1578228094696,65.152686538134,57.0733409311515,58.1398309820384,48.9787147314446,62.6382782632177,72.831097263184,43.3740300854577,45.4068255331136,67.7686182497356,50.825132349139
35.1646806904569,35.8026961721597,16.123570324187,93.4656432624043,58.0900377404286,60.1433777634685,66.352777818109,58.0102280051856,68.592669023033,60.4852333142118,70.7822508806291,42.5843457106067,42.1024980671678,60.4515170477549,45.3374501946609
31.6447732052964,32.218924735284,14.7210671610406,103.011142291799,52.0766017154753,59.0628181855536,57.3484032635664,53.7185160321904,82.836803082046,54.2238484858069,67.4887936391021,36.8726081547101,41.5964281284494,50.5613113372597,37.9199902083332
36.0838202099357,36.7385122327518,14.4840720641842,104.461133185962,45.2785838886039,57.0261224745475,58.9539186776899,54.2616472027848,88.5185462283817,47.1455316120975,69.4058659523023,41.3557606860072,43.6160956255953,59.4825756414905,44.6107631751548
35.0117963233178,35.6470379253427,15.3759589660376,95.2612420498976,57.6455766629944,64.2327977725698,59.0327178815574,54.1083386149904,62.4576202564494,60.0224460099959,70.8231589328369,42.2684311487737,39.5393614257457,62.3829438314045,46.7859823388447
35.2554196077242,35.8950814241262,15.8056975476051,93.1302473358505,60.1578228094696,65.152686538134,57.0733409311515,58.1398309820384,53.1219433048261,62.6382782632177,72.831097263184,43.3740300854577,45.4068255331136,67.7686182497356,50.825132349139
