"NOT_PREGNANT","PREGNANT"
100,100
47.7272727272727,47.7272727272727
38.6363636363636,38.6363636363636
38.6363636363636,38.6363636363636
36.3636363636363,36.3636363636363
36.3636363636363,36.3636363636363
25.0000000000001,25.0000000000001
25.0000000000001,25.0000000000001
15.9090909090909,15.9090909090909
13.6363636363637,13.6363636363637
13.6363636363637,13.6363636363637
11.3636363636364,11.3636363636364
9.09090909090903,9.09090909090903
6.81818181818185,6.81818181818185
6.81818181818185,6.81818181818185
4.54545454545452,4.54545454545452
2.27272727272734,2.27272727272734
2.27272727272734,2.27272727272734
2.27272727272734,2.27272727272734
0,0
