"ENSBTAG00000015991-ENSBTAG00000024015","ENSBTAG00000021105-ENSBTAG00000005273","ENSBTAG00000001725-ENSBTAG00000001338","ENSBTAG00000020342-ENSBTAG00000035084","ENSBTAG00000014113-ENSBTAG00000001338","ENSBTAG00000020645-ENSBTAG00000020199","ENSBTAG00000004129-ENSBTAG00000001338","ENSBTAG00000001941-ENSBTAG00000011409","ENSBTAG00000001321-ENSBTAG00000005273","ENSBTAG00000025257-ENSBTAG00000001338","ENSBTAG00000001745-ENSBTAG00000019289","ENSBTAG00000005691-ENSBTAG00000010543","ENSBTAG00000010312-ENSBTAG00000020199","ENSBTAG00000025644-ENSBTAG00000004337","ENSBTAG00000003253-ENSBTAG00000011434","ENSBTAG00000021316-ENSBTAG00000015910","ENSBTAG00000005077-ENSBTAG00000001060","ENSBTAG00000007773-ENSBTAG00000010347","ENSBTAG00000008237-ENSBTAG00000005273","ENSBTAG00000011851-ENSBTAG00000007338"
107.539798107218,64.1674496813747,42.2635931322775,109.675937500977,40.1271061804683,122.57635621052,31.2685913924091,52.9359599409772,34.437686747371,40.8245607193012,73.3473802903568,81.4519979824969,67.3811285633213,92.1591726743727,29.3059732995362,63.5884220265324,62.8148563153086,93.8432659878773,68.3245409619156,59.0881925394471
104.412174678409,63.7819485708101,45.7728495506013,119.686116426736,28.4341573997605,119.598049485669,12.6658510771577,54.2962776555348,31.0113595057203,31.1544800563572,79.6361744785249,81.4058472647509,70.6988744141126,91.6221838943888,37.6726931637853,75.8956033926178,62.2699953588687,100.560825913568,68.1950099816694,55.0645530512201
96.5742969697163,66.2208631242689,41.4941146809916,107.949907701291,28.7651977029122,121.781338242897,12.6658510771577,57.5865824973576,30.9789853127941,29.0626565895337,80.28441230794,84.4419661072754,62.2428576799027,88.7620829415012,35.9212829965308,76.5972614542472,68.155398424725,85.0761616934624,69.0772649644146,58.1965419915975
109.315193599016,64.8255680019129,39.7690231664069,102.57888712413,28.7651977029122,117.714204433122,12.6658510771577,54.7068002965604,30.9789853127941,29.0626565895337,75.0971686052076,78.9453418257958,70.1093300787536,92.3220894653373,35.7836901867998,65.0463270831132,54.2627895863125,97.6302591163231,65.9561265887227,54.2245736138369
110.480989085305,63.5651424001625,42.01835851147,114.644602836136,24.8087851835137,121.692331184387,12.6658510771577,54.7224283873214,25.4548732158905,25.7037960396797,80.5356078958309,77.4544860173918,65.8927102872107,91.1127102503604,32.0073928844704,72.7125315201955,62.565977043307,84.8616003170233,68.2754237837277,59.0131561384524
73.6886421162676,65.9590028036769,46.9087418211718,47.2377157720154,32.5493936192093,73.343629257446,30.8962098483735,52.6547302272678,32.2881077671103,30.0848940672378,76.4761702709395,84.8309496557781,39.5721907458547,91.2178609496048,36.310452173973,74.3775317197463,56.485347413717,104.103609278237,68.2754640767924,57.3711443744103
73.4416952281601,65.6742657440863,42.7679169656012,44.5527402322046,32.7359018817408,75.1360453805645,33.2088047128308,55.0964606432161,31.2747257458003,31.3263801207084,78.4623228507842,84.6921103980474,42.5814582683433,89.6914092483182,41.4537139886408,89.1559586128297,62.9762312274106,105.403803945571,66.789536844707,59.0477920361655
73.1560358378416,66.1675732814904,36.775566049477,51.0162051779154,31.7611548353118,72.3090519596271,33.9913204287764,59.5289265907006,31.920690995225,34.7957344124012,72.7964414779079,88.0835773344619,42.1181473931133,89.2613332047463,35.4470002826375,86.9078652339672,62.0709127708321,103.607438604834,67.7009527160792,52.9474990190396
69.1464693503798,64.0256745447029,43.8976202204196,40.9474411389487,28.7651977029122,77.1346005965505,12.6658510771577,55.8946636356547,30.9789853127941,29.0626565895337,69.6723469896767,81.695221032428,38.4974067444195,94.3557264934341,35.2030586611787,91.4346221041486,60.124465623419,114.954794654708,70.9235841835524,60.2963930479434
69.7989727462037,64.2410976018221,49.6328151701821,44.7664712558187,41.6401907321176,73.089037524056,12.6658510771577,56.3025243669798,48.0468850184428,46.7851546784626,70.6633855239305,88.2611152668005,43.2022103090304,93.4846364748702,44.8527286690889,84.9227819627652,57.865571858224,106.272567359744,68.8700818795773,60.4812676941603
