"feature","importance"
"ENSBTAG00000010963-ENSBTAG00000000973",0
"ENSBTAG00000017549-ENSBTAG00000002699",0
"ENSBTAG00000013363-ENSBTAG00000009851",0
"ENSBTAG00000017564-ENSBTAG00000019832",0
"ENSBTAG00000012228-ENSBTAG00000010146",0
"ENSBTAG00000017246-ENSBTAG00000006161",0
"ENSBTAG00000025471-ENSBTAG00000006378",0
"ENSBTAG00000014906-ENSBTAG00000011578",0
"ENSBTAG00000003300-ENSBTAG00000002804",0
"ENSBTAG00000005260-ENSBTAG00000011578",0
"ENSBTAG00000032808-ENSBTAG00000010785",0
"ENSBTAG00000014575-ENSBTAG00000003585",0
"ENSBTAG00000017473-ENSBTAG00000015910",0
"ENSBTAG00000005947-ENSBTAG00000015910",0
"ENSBTAG00000018134-ENSBTAG00000010444",0
"ENSBTAG00000015362-ENSBTAG00000002081",0
"ENSBTAG00000021105-ENSBTAG00000014031",0
"ENSBTAG00000025410-ENSBTAG00000018343",0
"ENSBTAG00000019866-ENSBTAG00000009851",0
"ENSBTAG00000007244-ENSBTAG00000011741",0
