"dataset","feature","mean_shap","sd_shap"
"vitro","ENSBTAG00000001292.ENSBTAG00000032719",0,NA
"vitro","ENSBTAG00000001292.ENSBTAG00000034385",0,NA
"vitro","ENSBTAG00000001321.ENSBTAG00000002144",0,NA
"vitro","ENSBTAG00000001321.ENSBTAG00000005273",0,NA
"vitro","ENSBTAG00000001321.ENSBTAG00000013205",0,NA
"vitro","ENSBTAG00000001368.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000001460.ENSBTAG00000020661",0,NA
"vitro","ENSBTAG00000001492.ENSBTAG00000003585",0,NA
"vitro","ENSBTAG00000001492.ENSBTAG00000007213",0,NA
"vitro","ENSBTAG00000001601.ENSBTAG00000011578",0,NA
"vitro","ENSBTAG00000001725.ENSBTAG00000001338",0,NA
"vitro","ENSBTAG00000001725.ENSBTAG00000014798",0,NA
"vitro","ENSBTAG00000001725.ENSBTAG00000015127",0,NA
"vitro","ENSBTAG00000001745.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000001745.ENSBTAG00000019289",0,NA
"vitro","ENSBTAG00000001764.ENSBTAG00000021190",0,NA
"vitro","ENSBTAG00000001764.ENSBTAG00000026676",0,NA
"vitro","ENSBTAG00000001941.ENSBTAG00000006161",0,NA
"vitro","ENSBTAG00000001941.ENSBTAG00000011409",0,NA
"vitro","ENSBTAG00000001941.ENSBTAG00000014966",0,NA
"vitro","ENSBTAG00000001941.ENSBTAG00000023144",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000003585",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000005903",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000008165",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000011154",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000014269",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000015127",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000017266",0,NA
"vitro","ENSBTAG00000002006.ENSBTAG00000017866",0,NA
"vitro","ENSBTAG00000002080.ENSBTAG00000022799",0,NA
"vitro","ENSBTAG00000002278.ENSBTAG00000013745",0,NA
"vitro","ENSBTAG00000002278.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000002278.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000002302.ENSBTAG00000017256",0,NA
"vitro","ENSBTAG00000002317.ENSBTAG00000011154",0,NA
"vitro","ENSBTAG00000002317.ENSBTAG00000012119",0,NA
"vitro","ENSBTAG00000002317.ENSBTAG00000014966",0,NA
"vitro","ENSBTAG00000002317.ENSBTAG00000018052",0,NA
"vitro","ENSBTAG00000002317.ENSBTAG00000026676",0,NA
"vitro","ENSBTAG00000002411.ENSBTAG00000007421",0,NA
"vitro","ENSBTAG00000002441.ENSBTAG00000039292",0,NA
"vitro","ENSBTAG00000002473.ENSBTAG00000003777",0,NA
"vitro","ENSBTAG00000002880.ENSBTAG00000012687",0,NA
"vitro","ENSBTAG00000002880.ENSBTAG00000013755",0,NA
"vitro","ENSBTAG00000003176.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000003176.ENSBTAG00000017060",0,NA
"vitro","ENSBTAG00000003253.ENSBTAG00000007665",0,NA
"vitro","ENSBTAG00000003253.ENSBTAG00000011434",0,NA
"vitro","ENSBTAG00000003300.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000003329.ENSBTAG00000002081",0,NA
"vitro","ENSBTAG00000003505.ENSBTAG00000006161",0,NA
"vitro","ENSBTAG00000003505.ENSBTAG00000011628",0,NA
"vitro","ENSBTAG00000003585.ENSBTAG00000007213",0,NA
"vitro","ENSBTAG00000003658.ENSBTAG00000000736",0,NA
"vitro","ENSBTAG00000003658.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000003658.ENSBTAG00000018517",0,NA
"vitro","ENSBTAG00000003806.ENSBTAG00000016455",0,NA
"vitro","ENSBTAG00000003832.ENSBTAG00000022799",0,NA
"vitro","ENSBTAG00000003835.ENSBTAG00000000231",0,NA
"vitro","ENSBTAG00000003837.ENSBTAG00000002606",0,NA
"vitro","ENSBTAG00000003837.ENSBTAG00000011761",0,NA
"vitro","ENSBTAG00000004086.ENSBTAG00000019712",0,NA
"vitro","ENSBTAG00000004129.ENSBTAG00000001338",0,NA
"vitro","ENSBTAG00000004129.ENSBTAG00000003220",0,NA
"vitro","ENSBTAG00000004129.ENSBTAG00000014162",0,NA
"vitro","ENSBTAG00000004129.ENSBTAG00000014798",0,NA
"vitro","ENSBTAG00000004148.ENSBTAG00000003255",0,NA
"vitro","ENSBTAG00000004226.ENSBTAG00000021286",0,NA
"vitro","ENSBTAG00000004226.ENSBTAG00000026278",0,NA
"vitro","ENSBTAG00000004237.ENSBTAG00000010444",0,NA
"vitro","ENSBTAG00000004237.ENSBTAG00000011628",0,NA
"vitro","ENSBTAG00000004261.ENSBTAG00000017060",0,NA
"vitro","ENSBTAG00000004362.ENSBTAG00000014357",0,NA
"vitro","ENSBTAG00000004362.ENSBTAG00000015996",0,NA
"vitro","ENSBTAG00000004594.ENSBTAG00000011578",0,NA
"vitro","ENSBTAG00000004594.ENSBTAG00000019569",0,NA
"vitro","ENSBTAG00000004630.ENSBTAG00000003585",0,NA
"vitro","ENSBTAG00000004630.ENSBTAG00000013745",0,NA
"vitro","ENSBTAG00000004630.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000004630.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000004777.ENSBTAG00000014420",0,NA
"vitro","ENSBTAG00000004777.ENSBTAG00000017753",0,NA
"vitro","ENSBTAG00000004924.ENSBTAG00000031718",0,NA
"vitro","ENSBTAG00000004924.ENSBTAG00000039292",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000001060",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000003255",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000009851",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000014798",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000015127",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000018424",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000034883",0,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000039292",0,NA
"vitro","ENSBTAG00000005108.ENSBTAG00000001060",0,NA
"vitro","ENSBTAG00000005108.ENSBTAG00000004356",0,NA
"vitro","ENSBTAG00000005108.ENSBTAG00000009851",0,NA
"vitro","ENSBTAG00000005108.ENSBTAG00000010462",0,NA
"vitro","ENSBTAG00000005108.ENSBTAG00000011154",0,NA
"vitro","ENSBTAG00000005108.ENSBTAG00000015996",0,NA
"vitro","ENSBTAG00000005111.ENSBTAG00000000231",0,NA
"vitro","ENSBTAG00000005111.ENSBTAG00000002081",0,NA
"vitro","ENSBTAG00000005111.ENSBTAG00000008997",0,NA
"vitro","ENSBTAG00000005111.ENSBTAG00000011909",0,NA
"vitro","ENSBTAG00000005111.ENSBTAG00000018105",0,NA
"vitro","ENSBTAG00000005111.ENSBTAG00000018114",0,NA
"vitro","ENSBTAG00000005163.ENSBTAG00000006240",0,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000010543",0,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000011578",0,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000011628",0,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000014064",0,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000015457",0,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000019866",0,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000027464",0,NA
"vitro","ENSBTAG00000005250.ENSBTAG00000006240",0,NA
"vitro","ENSBTAG00000005250.ENSBTAG00000008008",0,NA
"vitro","ENSBTAG00000005260.ENSBTAG00000005990",0,NA
"vitro","ENSBTAG00000005260.ENSBTAG00000011578",0,NA
"vitro","ENSBTAG00000005260.ENSBTAG00000013745",0,NA
"vitro","ENSBTAG00000005260.ENSBTAG00000013755",0,NA
"vitro","ENSBTAG00000005260.ENSBTAG00000015910",0,NA
"vitro","ENSBTAG00000005260.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000005305.ENSBTAG00000008849",0,NA
"vitro","ENSBTAG00000005305.ENSBTAG00000020979",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000000570",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000001694",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000003166",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000007213",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000011628",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000015996",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000019866",0,NA
"vitro","ENSBTAG00000005339.ENSBTAG00000019929",0,NA
"vitro","ENSBTAG00000005359.ENSBTAG00000008997",0,NA
"vitro","ENSBTAG00000005359.ENSBTAG00000011909",0,NA
"vitro","ENSBTAG00000005359.ENSBTAG00000018035",0,NA
"vitro","ENSBTAG00000005359.ENSBTAG00000019832",0,NA
"vitro","ENSBTAG00000005359.ENSBTAG00000024269",0,NA
"vitro","ENSBTAG00000005481.ENSBTAG00000003166",0,NA
"vitro","ENSBTAG00000005481.ENSBTAG00000022799",0,NA
"vitro","ENSBTAG00000005581.ENSBTAG00000014162",0,NA
"vitro","ENSBTAG00000005581.ENSBTAG00000039292",0,NA
"vitro","ENSBTAG00000005628.ENSBTAG00000008852",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000010543",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000011154",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000011578",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000014064",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000014357",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000015127",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000015457",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000019866",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000020644",0,NA
"vitro","ENSBTAG00000005691.ENSBTAG00000024269",0,NA
