"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.5625,NA,0.125,NA,0.58984375,NA
"vivo",0.875,NA,0.75,NA,0.875,NA
