"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.690625,0.0971043432201785,0.38125,0.194208686440357,0.80234375,0.124363614428618
"vivo",0.80625,0.0843685697138191,0.6125,0.168737139427638,0.88046875,0.127752889522116
