"seed","rank","feature","mean_abs_shap"
17,4,"ENSBTAG00000017745-ENSBTAG00000015361",0.0428389648322991
17,5,"ENSBTAG00000000310-ENSBTAG00000022799",0.0354196995589106
17,6,"ENSBTAG00000007338-ENSBTAG00000004917",0.0302811503439872
17,7,"ENSBTAG00000012817-ENSBTAG00000022799",0.0276179738811731
17,8,"ENSBTAG00000012529-ENSBTAG00000012899",0.0237773591623433
17,9,"ENSBTAG00000007338-ENSBTAG00000017593",0.0224829918615688
17,10,"ENSBTAG00000009212-ENSBTAG00000012314",0.00788474183118378
62,1,"ENSBTAG00000000016-ENSBTAG00000015312",0.09838472010527
62,2,"ENSBTAG00000010673-ENSBTAG00000000815",0.0778152453216974
62,3,"ENSBTAG00000021316-ENSBTAG00000019929",0.0599703151905375
62,4,"ENSBTAG00000022120-ENSBTAG00000019929",0.0525141401827583
62,5,"ENSBTAG00000000016-ENSBTAG00000016455",0.043077258647369
62,6,"ENSBTAG00000000470-ENSBTAG00000019929",0.0370839416836755
62,7,"ENSBTAG00000000283-ENSBTAG00000012771",0.0192248535398383
62,8,"ENSBTAG00000007319-ENSBTAG00000022799",0.0167767167665599
62,9,"ENSBTAG00000014113-ENSBTAG00000019428",0.014795937992615
62,10,"ENSBTAG00000004630-ENSBTAG00000019929",0.0137199442204372
