"NOT_PREGNANT","PREGNANT"
100,100
92.2077922077922,92.2077922077922
88.3116883116883,88.3116883116883
80.5194805194805,80.5194805194805
79.2207792207792,79.2207792207792
79.2207792207792,79.2207792207792
76.6233766233766,76.6233766233766
71.4285714285714,71.4285714285714
71.4285714285714,71.4285714285714
67.5324675324675,67.5324675324675
66.2337662337663,66.2337662337663
63.6363636363637,63.6363636363637
63.6363636363637,63.6363636363637
63.6363636363637,63.6363636363637
63.6363636363637,63.6363636363637
62.3376623376623,62.3376623376623
57.1428571428572,57.1428571428572
44.1558441558442,44.1558441558442
44.1558441558442,44.1558441558442
41.5584415584416,41.5584415584416
37.6623376623377,37.6623376623377
37.6623376623377,37.6623376623377
36.3636363636363,36.3636363636363
35.0649350649351,35.0649350649351
35.0649350649351,35.0649350649351
35.0649350649351,35.0649350649351
32.4675324675324,32.4675324675324
31.1688311688312,31.1688311688312
31.1688311688312,31.1688311688312
29.8701298701298,29.8701298701298
27.2727272727272,27.2727272727272
25.9740259740259,25.9740259740259
24.6753246753247,24.6753246753247
24.6753246753247,24.6753246753247
22.0779220779221,22.0779220779221
22.0779220779221,22.0779220779221
22.0779220779221,22.0779220779221
20.7792207792207,20.7792207792207
20.7792207792207,20.7792207792207
19.4805194805194,19.4805194805194
18.1818181818182,18.1818181818182
16.8831168831168,16.8831168831168
14.2857142857142,14.2857142857142
14.2857142857142,14.2857142857142
14.2857142857142,14.2857142857142
11.6883116883117,11.6883116883117
9.09090909090908,9.09090909090908
7.79220779220775,7.79220779220775
7.79220779220775,7.79220779220775
7.79220779220775,7.79220779220775
5.19480519480516,5.19480519480516
3.89610389610392,3.89610389610392
2.59740259740258,2.59740259740258
2.59740259740258,2.59740259740258
1.29870129870125,1.29870129870125
1.29870129870125,1.29870129870125
0,0
0,0
0,0
0,0
