	x
123	ENSBTAG00000005691-ENSBTAG00000015127
124	ENSBTAG00000011412-ENSBTAG00000019929
125	ENSBTAG00000008300-ENSBTAG00000019929
126	ENSBTAG00000020457-ENSBTAG00000001060
127	ENSBTAG00000020457-ENSBTAG00000019832
128	ENSBTAG00000017448-ENSBTAG00000011628
129	ENSBTAG00000011238-ENSBTAG00000002951
130	ENSBTAG00000019866-ENSBTAG00000000782
131	ENSBTAG00000003837-ENSBTAG00000011761
132	ENSBTAG00000011238-ENSBTAG00000017256
133	ENSBTAG00000021945-ENSBTAG00000011741
134	ENSBTAG00000016800-ENSBTAG00000000782
135	ENSBTAG00000000575-ENSBTAG00000012119
136	ENSBTAG00000011741-ENSBTAG00000015910
137	ENSBTAG00000000073-ENSBTAG00000014611
138	ENSBTAG00000007375-ENSBTAG00000015228
139	ENSBTAG00000017564-ENSBTAG00000017846
140	ENSBTAG00000007773-ENSBTAG00000017060
141	ENSBTAG00000009761-ENSBTAG00000002144
142	ENSBTAG00000007148-ENSBTAG00000034848
143	ENSBTAG00000007244-ENSBTAG00000011741
144	ENSBTAG00000021499-ENSBTAG00000008036
145	ENSBTAG00000005198-ENSBTAG00000019866
146	ENSBTAG00000013155-ENSBTAG00000008373
147	ENSBTAG00000013155-ENSBTAG00000015910
148	ENSBTAG00000045582-ENSBTAG00000002144
149	ENSBTAG00000012829-ENSBTAG00000017745
150	ENSBTAG00000019770-ENSBTAG00000012314
151	ENSBTAG00000020221-ENSBTAG00000012314
152	ENSBTAG00000009761-ENSBTAG00000012314
153	ENSBTAG00000013162-ENSBTAG00000002144
154	ENSBTAG00000045582-ENSBTAG00000012314
155	ENSBTAG00000010963-ENSBTAG00000003255
156	ENSBTAG00000007244-ENSBTAG00000015910
157	ENSBTAG00000014113-ENSBTAG00000014162
158	ENSBTAG00000008300-ENSBTAG00000013125
159	ENSBTAG00000003658-ENSBTAG00000015910
160	ENSBTAG00000020221-ENSBTAG00000002144
161	ENSBTAG00000005947-ENSBTAG00000019712
162	ENSBTAG00000010123-ENSBTAG00000012314
163	ENSBTAG00000010123-ENSBTAG00000014611
164	ENSBTAG00000001292-ENSBTAG00000034385
165	ENSBTAG00000014113-ENSBTAG00000003220
166	ENSBTAG00000025257-ENSBTAG00000014162
167	ENSBTAG00000012066-ENSBTAG00000013569
168	ENSBTAG00000022635-ENSBTAG00000009757
169	ENSBTAG00000001321-ENSBTAG00000013205
170	ENSBTAG00000017246-ENSBTAG00000006240
171	ENSBTAG00000003253-ENSBTAG00000007665
172	ENSBTAG00000019716-ENSBTAG00000003220
173	ENSBTAG00000025257-ENSBTAG00000019428
174	ENSBTAG00000017246-ENSBTAG00000022799
175	ENSBTAG00000005481-ENSBTAG00000003166
176	ENSBTAG00000012829-ENSBTAG00000016933
177	ENSBTAG00000004594-ENSBTAG00000011578
178	ENSBTAG00000003253-ENSBTAG00000011434
