"seed","rank","feature","mean_abs_shap"
17,5,"ENSBTAG00000013472-ENSBTAG00000017866",0.0539139300042527
17,6,"ENSBTAG00000020645-ENSBTAG00000011628",0.0527131618684636
17,7,"ENSBTAG00000009972-ENSBTAG00000011909",0.0328144699401209
17,8,"ENSBTAG00000021697-ENSBTAG00000005990",0.0325285301254057
17,9,"ENSBTAG00000012829-ENSBTAG00000017745",0.00880187968581567
17,10,"ENSBTAG00000000073-ENSBTAG00000014611",0.00814957991509158
62,1,"ENSBTAG00000047330-ENSBTAG00000017851",0.134011229236784
62,2,"ENSBTAG00000014583-ENSBTAG00000010986",0.0920616505854625
62,3,"ENSBTAG00000008027-ENSBTAG00000047138",0.0790726264657191
62,4,"ENSBTAG00000025644-ENSBTAG00000010986",0.0630131737305603
62,5,"ENSBTAG00000005947-ENSBTAG00000019712",0.0551462329082203
62,6,"ENSBTAG00000005947-ENSBTAG00000002402",0.0261975586690943
62,7,"ENSBTAG00000002278-ENSBTAG00000013745",0.0208155634789696
62,8,"ENSBTAG00000005947-ENSBTAG00000015910",0.0113982808036266
62,9,"ENSBTAG00000002278-ENSBTAG00000019929",0.00609289543334705
62,10,"ENSBTAG00000000470-ENSBTAG00000019929",0.00350480143889844
