"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.625,0.155902391115581,0.25,0.311804782231162,0.676171875,0.13478543785518
"vivo",0.66875,0.130270818340529,0.3375,0.260541636681058,0.7646484375,0.166089010536867
