"ENSBTAG00000005947-ENSBTAG00000015910","ENSBTAG00000014737-ENSBTAG00000001462","ENSBTAG00000011238-ENSBTAG00000017256","ENSBTAG00000011412-ENSBTAG00000019929","ENSBTAG00000014113-ENSBTAG00000003220","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000017246-ENSBTAG00000010444","ENSBTAG00000019866-ENSBTAG00000000782","ENSBTAG00000003300-ENSBTAG00000002804","ENSBTAG00000015089-ENSBTAG00000023144","ENSBTAG00000011810-ENSBTAG00000003777","ENSBTAG00000021048-ENSBTAG00000017489","ENSBTAG00000005947-ENSBTAG00000017060","ENSBTAG00000020221-ENSBTAG00000002107","ENSBTAG00000001368-ENSBTAG00000015910","ENSBTAG00000021048-ENSBTAG00000016948","ENSBTAG00000013472-ENSBTAG00000019929","ENSBTAG00000014737-ENSBTAG00000037649","ENSBTAG00000017455-ENSBTAG00000015910","ENSBTAG00000008300-ENSBTAG00000011741","ENSBTAG00000012829-ENSBTAG00000017745","ENSBTAG00000032436-ENSBTAG00000010444","ENSBTAG00000012623-ENSBTAG00000002606","ENSBTAG00000003837-ENSBTAG00000011761","ENSBTAG00000001292-ENSBTAG00000032719","ENSBTAG00000004129-ENSBTAG00000014162","ENSBTAG00000000310-ENSBTAG00000022799","ENSBTAG00000021302-ENSBTAG00000015910","ENSBTAG00000010820-ENSBTAG00000002107","ENSBTAG00000014127-ENSBTAG00000020319","ENSBTAG00000000130-ENSBTAG00000010785","ENSBTAG00000005339-ENSBTAG00000000570","ENSBTAG00000005947-ENSBTAG00000018517","ENSBTAG00000009357-ENSBTAG00000012771","ENSBTAG00000012444-ENSBTAG00000015910","ENSBTAG00000020638-ENSBTAG00000000782","ENSBTAG00000021105-ENSBTAG00000014031","ENSBTAG00000008096-ENSBTAG00000019733","ENSBTAG00000013103-ENSBTAG00000019929","ENSBTAG00000021945-ENSBTAG00000011741"
89.5138196146868,43.2919204822104,60.4852333142118,129.443072289483,31.7822765067964,64.0998663687389,58.3650701445648,58.0102280051856,66.352777818109,112.388762270615,57.2745341447897,52.0958814317211,50.6492899773983,75.8318633923476,96.2768601026832,57.5859390275339,148.34319707923,45.3955500547419,82.8026921435404,65.8449183323099,42.5346953242675,53.8465599083302,15.6125035634385,63.2428062631195,138.312457638518,44.9703057283283,88.0872462535624,43.8797251265345,59.7661135747024,37.9592100575653,55.4470285621433,48.4950172655247,51.9814344299994,27.4131488641422,90.6823306922397,66.1897621617178,64.7148699150421,55.883736918391,122.186055644914,70.7822508806291
81.7274911135738,43.576375456067,54.2238484858069,130.475652711717,29.1251388553654,64.4759285700762,58.2132236950721,53.7185160321904,57.3484032635664,113.918288529848,54.3705045336687,53.7817620070552,46.2435790848263,66.508140254317,94.2261883081093,59.4494839633488,147.173444674602,45.693827189602,80.9799282673276,66.2312184345984,39.1955118641753,53.8302614570278,13.5540547786817,76.3759737504141,149.234950202986,43.9100200348933,97.0405182625148,42.6476016709392,52.6391590789575,29.6951547585587,56.9170057612728,47.9121095630754,47.4598474150193,26.6098346940567,83.9473906214067,61.6518236496415,65.7118212703391,50.0863010394529,119.979853362754,67.4887936391021
80.4117566997295,43.7715609326806,47.1455316120975,123.160156230395,26.9557092958478,65.4626698546916,57.6880960442146,54.2616472027848,58.9539186776899,107.70437940638,55.066549669898,47.9857427937465,45.4991017052786,77.7996278588754,100.684500636593,53.0426587048595,139.936595557262,45.8984970673731,81.3015508419604,67.2448227208674,43.2848661629059,55.143586870938,14.4038874991152,81.6145712005273,166.267680626043,50.2250584362422,76.5039944428331,41.80833120242,52.1537530763054,34.5052748593975,59.5195839960424,50.2384278254373,46.6957892790248,25.914037101131,69.9585515939855,62.8604676581531,65.0823539595804,46.6825461821786,116.187053178122,69.4058659523023
85.3632780838888,46.4055191380398,60.0224460099959,129.950575272667,37.1230600663368,61.6820431090138,57.9195796193359,54.1083386149904,59.0327178815574,111.118859699277,63.5039719823791,55.2096498662702,48.3008036491249,80.8216124052959,99.8052599069128,61.0278479518087,152.296124751692,48.6604438745751,82.7535298151338,63.3612723577187,44.5978917684419,55.4838683319314,16.4629952112736,57.5862586161756,124.104934980277,38.9148324949973,79.3237211606404,48.2144842397814,59.1123856031219,42.8603608733568,58.3210219042983,45.5427136876856,49.5711797524438,27.2874275829557,81.402022223294,65.432128750355,66.3862653195994,48.3882723221899,123.773237734804,70.8231589328369
87.7490736055047,45.4514831265624,62.6382782632177,130.081867316473,31.6205544700264,67.4959566738192,58.1210335852795,58.1398309820384,57.0733409311515,112.675209712644,57.5915875327079,54.3327881421689,49.6507499448059,78.0870900326502,96.5375448549424,60.0585792804291,156.48946927017,47.6600495970599,81.7186737906587,69.3334636515903,44.3250466931236,54.7473306688698,18.4996110447662,48.9787147314446,145.186453087084,14.8144315091101,89.8311763653787,53.541386587267,62.2280877777599,41.1304043455296,57.4826183559341,52.3010483769412,50.9566314514563,28.6452490565256,83.5769483905129,62.1838486731117,65.3327822964062,54.3462264052885,123.711690674206,72.831097263184
16.123570324187,43.2919204822104,60.4852333142118,23.3235231344239,31.7822765067964,64.0998663687389,147.580772354919,58.0102280051856,66.352777818109,112.388762270615,57.2745341447897,52.0958814317211,50.6492899773983,75.8318633923476,17.3417549506829,57.5859390275339,26.7290162981779,45.3955500547419,14.9147364681256,65.8449183323099,44.6158069381578,136.155355938809,77.5696818873087,68.592669023033,144.642877596838,44.9703057283283,88.0872462535624,7.90378331445477,59.7661135747024,37.9592100575653,54.6484510781514,48.4950172655247,51.9814344299994,27.4131488641422,16.3340469926458,66.1897621617178,64.7148699150421,55.883736918391,22.0159275049106,70.7822508806291
14.7210671610406,43.576375456067,54.2238484858069,23.5095772270853,29.1251388553654,64.4759285700762,147.196816399071,53.7185160321904,57.3484032635664,113.918288529848,54.3705045336687,53.7817620070552,46.2435790848263,66.508140254317,16.9723801319793,59.4494839633488,26.5182460592742,45.693827189602,14.5864132922293,66.2312184345984,41.1132459476347,136.114143994312,67.3424164928701,82.836803082046,156.065281493266,43.9100200348933,97.0405182625148,7.68184854203767,52.6391590789575,29.6951547585587,56.0972568867907,47.9121095630754,47.4598474150193,26.6098346940567,15.1209239203795,61.6518236496415,65.7118212703391,50.0863010394529,21.618405960829,67.4887936391021
14.4840720641842,43.7715609326806,47.1455316120975,22.1914444880823,26.9557092958478,65.4626698546916,145.86898891413,54.2616472027848,58.9539186776899,107.70437940638,55.066549669898,47.9857427937465,45.4991017052786,77.7996278588754,18.1356759610715,53.0426587048595,25.2142842881016,45.8984970673731,14.6443451760686,67.2448227208674,45.4026816777596,139.434992893458,71.5647536416557,88.5185462283817,173.877582596042,50.2250584362422,76.5039944428331,7.53067594680677,52.1537530763054,34.5052748593975,58.6623514108457,50.2384278254373,46.6957892790248,25.914037101131,12.6012009236038,62.8604676581531,65.0823539595804,46.6825461821786,20.9350054413121,69.4058659523023
15.3759589660376,46.4055191380398,60.0224460099959,23.4149668660947,37.1230600663368,61.6820431090138,146.454313744877,54.1083386149904,59.0327178815574,111.118859699277,63.5039719823791,55.2096498662702,48.3008036491249,80.8216124052959,17.9773037700745,61.0278479518087,27.4412691703224,48.6604438745751,14.9058811621764,63.3612723577187,46.7799501987834,140.295421925876,81.7952928729082,62.4576202564494,129.785091133517,38.9148324949973,79.3237211606404,8.68457664560405,59.1123856031219,42.8603608733568,57.4810516454056,45.5427136876856,49.5711797524438,27.2874275829557,14.6624424641687,65.432128750355,66.3862653195994,48.3882723221899,22.3019117413578,70.8231589328369
15.8056975476051,45.4514831265624,62.6382782632177,23.4386235436357,31.6205544700264,67.4959566738192,146.963706294466,58.1398309820384,57.0733409311515,112.675209712644,57.5915875327079,54.3327881421689,49.6507499448059,78.0870900326502,17.3887104817236,60.0585792804291,28.1968412234068,47.6600495970599,14.7194789512345,69.3334636515903,46.4937555261374,138.433027227919,91.9140827062464,53.1219433048261,151.831488798201,14.8144315091101,89.8311763653787,9.64407859714037,62.2280877777599,41.1304043455296,56.6547232291735,52.3010483769412,50.9566314514563,28.6452490565256,15.0541984540037,62.1838486731117,65.3327822964062,54.3462264052885,22.2908219683301,72.831097263184
91.2186690387456,43.2919204822104,60.4852333142118,122.39103761611,31.7822765067964,64.0998663687389,154.024173271317,58.0102280051856,66.352777818109,112.388762270615,57.2745341447897,52.0958814317211,50.6492899773983,75.8318633923476,98.1105160700274,57.5859390275339,140.2614870977,45.3955500547419,84.3797237417794,65.8449183323099,45.112322454365,142.099921285836,15.6125035634385,58.7592487253514,140.446927135434,44.9703057283283,88.0872462535624,44.7154432808021,59.7661135747024,37.9592100575653,50.132812808849,48.4950172655247,51.9814344299994,27.4131488641422,92.4094351764237,66.1897621617178,64.7148699150421,55.883736918391,115.529381898144,70.7822508806291
83.284044802764,43.576375456067,54.2238484858069,123.367363247633,29.1251388553654,64.4759285700762,153.623453734968,53.7185160321904,57.3484032635664,113.918288529848,54.3705045336687,53.7817620070552,46.2435790848263,66.508140254317,96.020787885692,59.4494839633488,139.155462588052,45.693827189602,82.5222441316394,66.2312184345984,41.5707825458843,142.05691002103,13.5540547786817,70.9613488618797,151.537978104599,43.9100200348933,97.0405182625148,43.4598532256059,52.6391590789575,29.6951547585587,51.4619028190493,47.9121095630754,47.4598474150193,26.6098346940567,85.5462237531867,61.6518236496415,65.7118212703391,50.0863010394529,113.443373108885,67.4887936391021
81.9432513637623,43.7715609326806,47.1455316120975,116.450413663621,26.9557092958478,65.4626698546916,152.237653082542,54.2616472027848,58.9539186776899,107.70437940638,55.066549669898,47.9857427937465,45.4991017052786,77.7996278588754,102.602103009733,53.0426587048595,132.312875674156,45.8984970673731,82.8499922192207,67.2448227208674,45.9079540795716,145.522747732056,14.4038874991152,75.8285593595058,168.833561521218,50.2250584362422,76.5039944428331,42.6045983003733,52.1537530763054,34.5052748593975,53.8150418572912,50.2384278254373,46.6957892790248,25.914037101131,71.2909581084923,62.8604676581531,65.0823539595804,46.6825461821786,109.857203977875,69.4058659523023
86.9890777213473,46.4055191380398,60.0224460099959,122.870891930493,37.1230600663368,61.6820431090138,152.848533292154,54.1083386149904,59.0327178815574,111.118859699277,63.5039719823791,55.2096498662702,48.3008036491249,80.8216124052959,101.706116563491,61.0278479518087,143.999060000576,48.6604438745751,84.3296250845732,63.3612723577187,47.300549795991,146.420743238259,16.4629952112736,53.5037183377411,126.020150736363,38.9148324949973,79.3237211606404,49.132760725371,59.1123856031219,42.8603608733568,52.7313536860153,45.5427136876856,49.5711797524438,27.2874275829557,82.9523771439305,65.432128750355,66.3862653195994,48.3882723221899,117.03009460089,70.8231589328369
89.420312283979,45.4514831265624,62.6382782632177,122.995031207999,31.6205544700264,67.4959566738192,153.380166004662,58.1398309820384,57.0733409311515,112.675209712644,57.5915875327079,54.3327881421689,49.6507499448059,78.0870900326502,98.3761657344271,60.0585792804291,147.963951884094,47.6600495970599,83.2750595481489,69.3334636515903,47.0111701513502,144.477036079932,18.4996110447662,45.5064006676011,147.42700365477,14.8144315091101,89.8311763653787,54.5611174230142,62.2280877777599,41.1304043455296,51.9733053426074,52.3010483769412,50.9566314514563,28.6452490565256,85.1687262069606,62.1838486731117,65.3327822964062,54.3462264052885,116.971900612788,72.831097263184
92.9448955456858,43.2919204822104,60.4852333142118,131.966523911381,31.7822765067964,64.0998663687389,154.148013596059,58.0102280051856,66.352777818109,112.388762270615,57.2745341447897,52.0958814317211,50.6492899773983,75.8318633923476,99.9671642236826,57.5859390275339,151.235100636879,45.3955500547419,85.9765297169848,65.8449183323099,46.2177830424963,142.214174133452,88.6914983924156,69.5865105911769,120.877688931143,44.9703057283283,88.0872462535624,45.5616404932183,59.7661135747024,37.9592100575653,50.132812808849,48.4950172655247,75.4224323946978,27.4131488641422,94.1581957993743,66.1897621617178,64.7148699150421,55.883736918391,124.568034029982,70.7822508806291
84.8601160967078,43.576375456067,54.2238484858069,133.019234161307,29.1251388553654,64.4759285700762,153.746971868482,53.7185160321904,57.3484032635664,113.918288529848,54.3705045336687,53.7817620070552,46.2435790848263,66.508140254317,97.8378899220653,59.4494839633488,150.042544280286,45.693827189602,84.0838990728195,66.2312184345984,42.5894590232201,142.171128286223,76.9978640984471,84.0370284041929,130.423363132169,43.9100200348933,97.0405182625148,44.2822895910599,52.6391590789575,29.6951547585587,51.4619028190493,47.9121095630754,68.861838315415,26.6098346940567,87.1651046310547,61.6518236496415,65.7118212703391,50.0863010394529,122.318822534362,67.4887936391021
83.4939494177858,43.7715609326806,47.1455316120975,125.561124397295,26.9557092958478,65.4626698546916,152.36005698834,54.2616472027848,58.9539186776899,107.70437940638,55.066549669898,47.9857427937465,45.4991017052786,77.7996278588754,104.543750171982,53.0426587048595,142.664615085662,45.8984970673731,84.4178494810699,67.2448227208674,47.032911323084,145.639752640791,81.8255931716152,89.8010945246711,145.309058353545,50.2250584362422,76.5039944428331,43.4108497802366,52.1537530763054,34.5052748593975,53.8150418572912,50.2384278254373,67.7532286023594,25.914037101131,72.6400716494909,62.8604676581531,65.0823539595804,46.6825461821786,118.452082913589,69.4058659523023
