"ENSBTAG00000017753-ENSBTAG00000039292","ENSBTAG00000012817-ENSBTAG00000022799","ENSBTAG00000021945-ENSBTAG00000011741","ENSBTAG00000005947-ENSBTAG00000015910","ENSBTAG00000005947-ENSBTAG00000015739","ENSBTAG00000017753-ENSBTAG00000014420","ENSBTAG00000005339-ENSBTAG00000015910","ENSBTAG00000003835-ENSBTAG00000006420","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000000575-ENSBTAG00000026676"
69.9239719996156,62.3249023405349,71.1622181329932,88.0708424698491,61.6877546447903,88.0481065628685,69.9751885701563,54.2576100584904,64.9205837513571,57.88091722392
69.5482451157462,63.3052134766696,73.5092779610006,83.0852236778711,58.1956610055444,87.5749921249522,68.7736358939933,53.6722399655908,64.3939714968244,63.2611822532617
69.7651893632638,61.3603159173439,66.8276928111156,82.8561735065839,58.0352266282696,87.8481678281823,72.109811874603,50.0966758277519,63.1388225294061,55.6731514941789
69.6481593481752,63.0418791629931,70.8231589328369,85.0270025507647,59.5557476735753,87.700803899262,67.196069875618,55.4141846949492,61.6820431090138,62.3829438314045
69.9741910934906,60.4279424450026,72.831097263184,87.4033995970764,61.220255401904,88.1113423316978,77.1676656205773,49.9129858640475,67.4959566738192,67.7686182497356
69.9239719996156,62.3249023405349,71.1622181329932,85.9239719053485,61.6877546447903,88.0481065628685,68.2694291113652,54.2576100584904,64.9205837513571,57.88091722392
69.5482451157462,63.3052134766696,73.5092779610006,81.0598857106541,58.1956610055444,87.5749921249522,67.0971662432681,53.6722399655908,64.3939714968244,63.2611822532617
69.7651893632638,61.3603159173439,66.8276928111156,80.8364190112259,58.0352266282696,87.8481678281823,70.352017487905,50.0966758277519,63.1388225294061,55.6731514941789
69.6481593481752,63.0418791629931,70.8231589328369,82.9543305534865,59.5557476735753,87.700803899262,65.5580559720326,55.4141846949492,61.6820431090138,62.3829438314045
69.9741910934906,60.4279424450026,72.831097263184,85.2727990422278,61.220255401904,88.1113423316978,75.2865777916655,49.9129858640475,67.4959566738192,67.7686182497356
69.9239719996156,62.3249023405349,71.1622181329932,90.2415198727665,61.6877546447903,88.0481065628685,71.6998633471249,54.2576100584904,64.9205837513571,57.88091722392
69.5482451157462,63.3052134766696,73.5092779610006,85.1330207977367,58.1956610055444,87.5749921249522,70.4686960656122,53.6722399655908,64.3939714968244,63.2611822532617
69.7651893632638,61.3603159173439,66.8276928111156,84.898325238975,58.0352266282696,87.8481678281823,73.8870985994167,50.0966758277519,63.1388225294061,55.6731514941789
69.6481593481752,63.0418791629931,70.8231589328369,87.122658591956,59.5557476735753,87.700803899262,68.8522478609006,55.4141846949492,61.6820431090138,62.3829438314045
69.9741910934906,60.4279424450026,72.831097263184,89.5576265707594,61.220255401904,88.1113423316978,79.069612999539,49.9129858640475,67.4959566738192,67.7686182497356
73.4910504167247,63.5477757529284,76.8216222399147,99.1338670451185,67.9972469356305,92.5397635955877,89.7369366529452,93.8673573437664,70.3302515053358,75.120503592033
71.0094566915176,64.0353913582933,80.8965947886443,94.1937986819433,64.6087878914894,89.4149464189549,83.4693813684302,86.8634608209121,71.4553613630526,79.1024637780199
70.5059011718438,63.3672591720697,75.1774826101686,96.2420196099835,66.0136900543323,88.7808704534648,82.7740425402953,92.3945484257092,69.0946867511131,70.8517430815288
73.0051390104411,65.2586384210007,77.7343502822511,99.4289547400113,68.1996515371595,91.9279050575628,81.5177022288192,92.4528467026075,68.2560031189441,71.752766349334
71.2066517613086,64.8813863385623,77.4373626558395,98.1069053915021,67.2928401850839,89.6632540024933,81.9041233618771,91.2074331625763,66.2585267104337,66.2520941167881
89.082787139893,65.1222787253716,85.6539197790043,95.9159661748408,71.7148219349991,100.03997647804,86.824061616807,61.809355552736,80.0063264836345,79.8504110998927
86.0747026950963,65.6219758270746,90.1973980552177,91.1362532054269,68.1411075872012,96.6618974263721,80.759952159694,57.1974612511818,81.2862295790985,84.0830924935273
85.4643136896615,64.9372895427614,83.8207509413046,93.1179885609445,69.6228191709033,95.9764305285947,80.0871841389621,60.8395469562924,78.6007720457904,75.3128712092935
88.4937855930468,66.8755308921228,86.6715855381857,96.2014752768823,71.9282924887587,99.3785276978223,78.8716248310136,60.8779349436277,77.646701854719,76.2706267474558
86.31373433674,66.4889317551553,86.3404527973465,94.922339857547,70.9719035528316,96.9303299774326,79.2455026734946,60.0578606336195,75.374411534948,70.4236087152027
24.5619919036936,14.1549897160546,71.7515047440192,87.8236868729032,64.5078124354514,24.5619919036936,69.7788152981693,58.6822961054648,35.2083801731818,49.0758582054917
24.4300114052223,14.3776341732364,74.1180003199306,82.8520593583346,60.8560776173397,24.4300114052223,68.5806345719117,58.049189319416,34.9227825492841,53.6376574366003
24.5062167851328,13.9359165945932,67.3810856880176,82.6236519767634,60.6883089770799,24.5062167851328,71.9074481512671,54.1820393794435,34.2420776100295,47.2039459570289
24.4651079893809,14.3178267068467,71.4096378313964,84.7883889644446,62.2783406934153,24.4651079893809,67.0074957198954,59.9331889334309,33.4520224272529,52.8930198888756
24.5796322199098,13.7241595533964,73.4342036813022,87.15811706319,64.0189414488597,24.5796322199098,76.951107904919,53.9833695738608,36.6050821697172,57.4594056127309
24.5619919036936,62.2348710441419,63.291540782023,86.1963966260348,59.7012052518719,50.0317769892707,68.4858795354397,54.8699301940793,17.5589805924973,46.3689282733251
24.4300114052223,63.2137660740471,65.3790113066848,81.3168886893795,56.3215685587249,49.7629380900341,67.3098999701587,54.2779539514751,17.416548503585,50.6791074343064
24.5062167851328,61.2716780120819,59.436422246122,81.0927134815825,56.1663006981537,49.9181653447296,70.5750708255111,50.6620380562454,17.07707009649,44.6002671035197
24.4651079893809,62.9508121593565,62.9899821775103,83.2173399306094,57.6378559450305,49.834428402326,65.7659099002308,56.0395572657163,16.6830569793531,49.9755426612667
24.5796322199098,60.3406513977265,64.7758386903785,85.5431591983762,59.248761028292,50.0677095948351,75.5252763116654,50.4762750734131,18.2555381486824,54.2900553328779
113.591295162271,66.4001945552763,78.3870573780775,97.8200679635201,76.2276480116607,98.9007063353043,88.5476729989163,69.9650161200337,75.6351086064443,77.1906633587989
109.755624781804,66.9096973770636,82.545067814173,92.9454692271438,72.429049171869,95.5610973506926,82.3631802299886,64.7445886254155,76.8450830407905,81.2823578167318
108.977305199467,66.2115752692753,76.7094142388583,94.9665455389758,74.0040009881005,94.8834366519765,81.6770565726226,68.867242595674,74.3063479042472,72.804264975274
