"Sample","ENSBTAG00000012817-ENSBTAG00000007909","ENSBTAG00000021697-ENSBTAG00000019929","ENSBTAG00000021697-ENSBTAG00000002804","ENSBTAG00000012817-ENSBTAG00000022799","ENSBTAG00000015978-ENSBTAG00000011628","ENSBTAG00000021697-ENSBTAG00000005990","ENSBTAG00000012817-ENSBTAG00000005397","ENSBTAG00000007273-ENSBTAG00000034385","ENSBTAG00000020645-ENSBTAG00000011628","ENSBTAG00000015991-ENSBTAG00000011628","ENSBTAG00000015991-ENSBTAG00000010444","ENSBTAG00000000073-ENSBTAG00000014611","ENSBTAG00000015089-ENSBTAG00000023144","ENSBTAG00000021697-ENSBTAG00000007173","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000018103-ENSBTAG00000006240","ENSBTAG00000003658-ENSBTAG00000018517","ENSBTAG00000015801-ENSBTAG00000015510","ENSBTAG00000046421-ENSBTAG00000006240","ENSBTAG00000014113-ENSBTAG00000019428"
"Zo_NP_3.NP_Hols_3",23.6466950930741,18.0790057319918,15.9916802821764,17.3496187782064,73.8787527170435,13.5804604323641,20.8731149250119,10.1475054237457,73.6820190075343,76.1710475003926,93.7593542717841,107.421820447487,72.3386544782238,17.1409747733164,14.1241411005388,85.2572195028888,14.1856873870105,8.87604210909152,14.5416004193014,9.31706579308233
"Zo_NP_8.NP_Hols_3",56.1165308046043,18.0790057319918,15.9916802821764,41.1727902264245,74.7969545205956,13.5804604323641,49.534482178888,10.1475054237457,73.1992559699959,75.9208736887043,93.4514139741338,107.498427338653,72.6545341978052,17.1409747733164,14.1241411005388,85.2085171039406,14.1856873870105,8.87604210909152,14.5416004193014,9.31706579308233
"Zo_NP_13.NP_Hols_3",85.3449873808243,18.0790057319918,15.9916802821764,62.6177565135443,73.2793716574232,13.5804604323641,75.3346597848846,10.1475054237457,72.9734926251856,75.739191259651,93.2277800897438,106.314315363972,72.4573472433459,17.1409747733164,14.1241411005388,86.7282784166519,32.5582525983534,8.87604210909152,14.5416004193014,9.31706579308233
"Zo_NP_15.NP_Hols_3",100.167128379167,69.1323603665268,61.1506307660147,73.4927855518896,73.4365047484185,51.9303604673463,88.4182746949344,10.1475054237457,72.9290433939564,75.2187376626865,92.5871509428286,106.428540336784,71.6097831947146,65.5454211713389,14.1241411005388,85.4473175788291,48.3336437512825,8.87604210909152,14.5416004193014,9.31706579308233
"SW_NP_1.NP_Hols_3",97.9262470503515,18.0790057319918,15.9916802821764,71.8486472641022,74.2419205389443,13.5804604323641,86.4402319568019,26.4446761931859,70.5350024576717,75.5957776905436,93.0512515520044,105.972997801813,68.9167224298009,17.1409747733164,14.1241411005388,85.7337472866205,63.104918272042,8.87604210909152,14.5416004193014,9.31706579308233
"SW_NP_3.NP_Hols_3",99.003512027786,18.0790057319918,15.9916802821764,72.6390383360062,75.8214640381418,13.5804604323641,87.3911418234948,10.1475054237457,72.6669413383612,74.7963781853529,92.067266378222,107.288286194379,70.6113070817372,17.1409747733164,14.1241411005388,85.5288512311774,63.7411778966767,8.87604210909152,14.5416004193014,9.31706579308233
"SW_NP_5.NP_Hols_3",87.9669045325482,18.0790057319918,15.9916802821764,64.5414614064016,74.6457209560896,13.5804604323641,77.649045698704,10.1475054237457,72.842099976278,75.1898769650969,92.5516261540981,106.69376641119,70.0631643939673,17.1409747733164,14.1241411005388,85.2581637171996,59.3136261685017,8.87604210909152,14.5416004193014,9.31706579308233
"Zo_NP_3.NP_Hols_4",22.4535330339848,19.9179891841891,16.0742688154836,18.053966023889,74.3073149839205,13.4200415765324,22.1142282451211,9.77046964559302,74.1094400444715,76.6129071093682,101.620740828648,109.087757223472,78.3306379920698,15.3313125818718,14.9224282450941,90.0905947382345,11.2830072968978,10.6593993066586,15.3659882161209,10.2235171706554
"Zo_NP_8.NP_Hols_4",53.2850097324111,19.9179891841891,16.0742688154836,42.8442933161338,75.2308431720136,13.4200415765324,52.479797521509,9.77046964559302,73.6238765532962,76.3612820677673,101.286980838285,109.16555216225,78.6726827832265,15.3313125818718,14.9224282450941,90.0391313183387,11.2830072968978,10.6593993066586,15.3659882161209,10.2235171706554
"Zo_NP_13.NP_Hols_4",81.0386604088968,19.9179891841891,16.0742688154836,65.1598667982119,73.7044569827414,13.4200415765324,79.8140511004987,9.77046964559302,73.3968035809235,76.1785457195453,101.04459605244,107.963076547136,78.4591623623959,15.3313125818718,14.9224282450941,91.6450504571594,25.8961720796019,10.6593993066586,15.3659882161209,10.2235171706554
"Zo_NP_15.NP_Hols_4",95.112907623179,76.1644543107426,61.4664412885279,76.4763923816857,73.8625015849791,51.3169343577831,93.6756164409648,9.77046964559302,73.3520965047445,75.6550730302828,100.350252442551,108.079072962492,77.5413925594143,58.6254488777717,14.9224282450941,90.2914697939765,38.4435974269912,10.6593993066586,15.3659882161209,10.2235171706554
"SW_NP_1.NP_Hols_4",92.9850964113473,19.9179891841891,16.0742688154836,74.7655065595964,74.6725895011739,13.4200415765324,91.5799594799978,25.462110661054,70.9441680084656,76.0343002245862,100.853266228106,107.616465707719,74.6252591396173,15.3313125818718,14.9224282450941,90.5941376838759,50.1923688227869,10.6593993066586,15.3659882161209,10.2235171706554
