"ENSBTAG00000006276-ENSBTAG00000047138","ENSBTAG00000010303-ENSBTAG00000020892","ENSBTAG00000008300-ENSBTAG00000008165","ENSBTAG00000005077-ENSBTAG00000015910","ENSBTAG00000020221-ENSBTAG00000005092","ENSBTAG00000001941-ENSBTAG00000011409","ENSBTAG00000000575-ENSBTAG00000020679","ENSBTAG00000007773-ENSBTAG00000010347","ENSBTAG00000008300-ENSBTAG00000015910","ENSBTAG00000013201-ENSBTAG00000020319","ENSBTAG00000015114-ENSBTAG00000008165","ENSBTAG00000001725-ENSBTAG00000001338","ENSBTAG00000014113-ENSBTAG00000001338","ENSBTAG00000013162-ENSBTAG00000012314","ENSBTAG00000017280-ENSBTAG00000005397","ENSBTAG00000025868-ENSBTAG00000008165","ENSBTAG00000020457-ENSBTAG00000008997","ENSBTAG00000009208-ENSBTAG00000044190","ENSBTAG00000000575-ENSBTAG00000026676","ENSBTAG00000006354-ENSBTAG00000025101","ENSBTAG00000003300-ENSBTAG00000002804","ENSBTAG00000005198-ENSBTAG00000015457","ENSBTAG00000013155-ENSBTAG00000010682","ENSBTAG00000007740-ENSBTAG00000015910","ENSBTAG00000005111-ENSBTAG00000006420","ENSBTAG00000016208-ENSBTAG00000014944","ENSBTAG00000013103-ENSBTAG00000004885","ENSBTAG00000020457-ENSBTAG00000013843","ENSBTAG00000021048-ENSBTAG00000017489","ENSBTAG00000013472-ENSBTAG00000017866","ENSBTAG00000019993-ENSBTAG00000027516","ENSBTAG00000017246-ENSBTAG00000012314","ENSBTAG00000005691-ENSBTAG00000015127","ENSBTAG00000005077-ENSBTAG00000015127","ENSBTAG00000017280-ENSBTAG00000017060","ENSBTAG00000032436-ENSBTAG00000019832","ENSBTAG00000004237-ENSBTAG00000010444","ENSBTAG00000014075-ENSBTAG00000012887","ENSBTAG00000000277-ENSBTAG00000011238","ENSBTAG00000020676-ENSBTAG00000017060","ENSBTAG00000006045-ENSBTAG00000034385","ENSBTAG00000007897-ENSBTAG00000019903","ENSBTAG00000020645-ENSBTAG00000005990","ENSBTAG00000005581-ENSBTAG00000014162","ENSBTAG00000000575-ENSBTAG00000012897","ENSBTAG00000008237-ENSBTAG00000005273","ENSBTAG00000004148-ENSBTAG00000003255","ENSBTAG00000008300-ENSBTAG00000011578","ENSBTAG00000017060-ENSBTAG00000007103","ENSBTAG00000021105-ENSBTAG00000014031","ENSBTAG00000017753-ENSBTAG00000015228","ENSBTAG00000017473-ENSBTAG00000018169","ENSBTAG00000021105-ENSBTAG00000006240","ENSBTAG00000007148-ENSBTAG00000008165","ENSBTAG00000001292-ENSBTAG00000034385","ENSBTAG00000017122-ENSBTAG00000000782","ENSBTAG00000008300-ENSBTAG00000011741","ENSBTAG00000010312-ENSBTAG00000020199","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000008300-ENSBTAG00000017489","ENSBTAG00000005077-ENSBTAG00000003255","ENSBTAG00000005260-ENSBTAG00000015910","ENSBTAG00000007737-ENSBTAG00000006240","ENSBTAG00000020457-ENSBTAG00000015910","ENSBTAG00000007446-ENSBTAG00000015591","ENSBTAG00000014127-ENSBTAG00000020319","ENSBTAG00000007897-ENSBTAG00000020704","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000021048-ENSBTAG00000019903","ENSBTAG00000000016-ENSBTAG00000013674","ENSBTAG00000045582-ENSBTAG00000012314","ENSBTAG00000010179-ENSBTAG00000026676","ENSBTAG00000013191-ENSBTAG00000018052","ENSBTAG00000020645-ENSBTAG00000020199","ENSBTAG00000008452-ENSBTAG00000013909","ENSBTAG00000018077-ENSBTAG00000024406","ENSBTAG00000014906-ENSBTAG00000011578","ENSBTAG00000020221-ENSBTAG00000006835","ENSBTAG00000000476-ENSBTAG00000003781","ENSBTAG00000017468-ENSBTAG00000013557"
43.5627356638953,61.9883583506189,55.753879410585,82.1352962642356,70.8158430334124,59.2972334732917,42.5082419393349,94.4483470311558,88.5976993955531,37.3177517273272,83.2473191736387,38.430465992969,23.819663555245,96.3489925148218,98.4721811959801,57.6679459484639,31.3010233683509,47.9924573997925,51.0648335011816,29.9676939012392,56.7862664901345,36.6824872724985,62.0117519966775,105.950177078631,35.6458191736073,83.9418946780851,69.8974530170655,32.0098144746503,49.449587938417,102.292349868035,25.9560685460292,94.5432164893852,72.8368014408921,78.9323949811465,53.6151816132903,91.7648154524828,61.7812803726834,35.5277917891495,87.5457456539066,28.5883305353783,127.762895550416,55.1063833621451,124.523087244327,41.5599887364952,62.0496955779672,67.2803703203365,33.6680019987409,61.1179595523442,39.380786077737,66.3446102727213,85.4977954262846,52.5905289894455,61.9196714761946,30.2480562163959,119.072339203271,52.5114151190538,62.3697279693107,66.8868071493428,60.7167770808163,53.9356533343073,55.0589523931469,80.9528001366295,92.3097077815483,51.0739411096807,64.8872042990116,35.8974497982152,54.1409655983554,52.0057618698183,57.2657909291355,25.3771543543002,80.7335990077168,70.4904770925992,82.6651336195951,114.090278192345,61.1171147256201,24.3840823858338,66.2056027608094,78.0976430046214,34.9360450093488,110.320711408772
45.0876101074398,63.6972601525762,58.8604400889131,103.164373587081,73.08709552614,54.7342090676516,50.322061898162,99.675032254948,93.5342909303891,40.1085880876766,84.6498997476748,35.9862975941079,26.7590583246758,97.473688737585,104.774827986003,62.4295642926275,33.0486097480777,49.3316402568198,60.4515170477549,28.2920255835386,66.352777818109,34.9920388290524,57.4943700983736,111.746952545424,34.8109173433058,87.076840341142,76.085828112035,33.7969737996085,52.0958814317211,110.307538074081,24.747908452167,96.5484029480478,74.7273317692645,99.1414343689874,57.0467858307188,90.6226966668312,60.5241817508043,32.6918134761382,81.3312084975486,24.7442977687875,133.56001115221,58.0290344421203,124.952289932733,44.9301732762656,73.4556048234777,69.751930348568,38.662027689988,64.5234024003071,37.9026329185127,64.7148699150421,88.2277410310754,56.5863971289599,60.39862874003,31.9081470928393,127.0804926718,58.3019014304801,65.8449183323099,63.3660523069357,64.0998663687389,56.9409039389224,69.1556808381933,97.0059954150111,96.8763255541097,53.9254812268162,56.2198816574247,37.9592100575653,57.0124142749461,54.6378633216109,60.3303683349858,25.3771543543002,81.4331867636827,71.2012961089873,83.084662461893,114.483521366802,62.9114487026888,26.0425300092382,69.5303106635286,80.6024421957671,32.1705552996262,114.264124019943
44.9084748686223,66.6055705234788,61.5498904667858,112.3116491501,68.4777211698757,53.9685382835526,59.1010320222454,81.4057736544977,97.8080583997928,34.2031217164934,79.872785182613,39.4742452195797,28.5137153127917,96.7065880902063,106.728947451715,63.3230237159281,32.8818635278404,48.0069113057225,70.9976282780889,13.3773212931956,57.3447449146862,35.5712927281434,56.8048765730484,104.938268737372,37.171186808929,86.6715622700927,80.5135517188542,33.6264517207828,58.1575178444023,119.073557279773,26.170098547901,94.9716398134887,79.5306478404204,107.932007978399,58.1107459134113,94.3872703546646,64.3912424822377,14.8643372538414,96.2849152926697,12.5111520279419,129.422718134279,58.6086029643979,127.166777798956,43.7902460661738,86.2703531836865,67.2013755304933,39.801352396232,67.471604770269,45.0348396140946,68.9375887305932,87.0133100655593,54.35920394973,64.3397079131603,29.4784779843947,132.673056175646,58.7587986583667,68.853503389138,61.2932547849416,67.0287165364675,59.5426468987714,75.2875076247066,81.6966513988648,96.8790514269831,53.6534010928079,47.6468847211784,33.282105566049,57.5818292412725,57.0280412077521,67.3501316529195,14.3876237517632,82.5239377599946,74.0812666751734,90.3321864868006,116.512474730408,52.1500225419483,32.953834887692,72.657772730102,75.519098447669,34.9869977656522,109.915368152751
42.6922517725496,54.2233129756924,62.1373256419046,95.9798480685607,73.8276584648475,54.4946244573705,56.9216202118222,96.7172001330052,98.7415433090002,37.5571931387032,83.1521455576147,39.612010434674,29.7885692843563,97.5074673689182,104.35739967034,59.3272984359669,32.7259371402169,46.7679868062399,68.3795171506373,13.3773212931956,53.3939409964035,36.7646173812943,59.6816962528403,108.542658549284,33.670900685401,80.5904943871065,72.2504012683386,33.4669944825706,52.7108222583904,106.903869775204,25.4422446805701,96.2959521599991,80.3618308734908,92.2370725200253,56.8195084953027,93.3719049541633,65.3720532408896,14.8643372538414,83.3353953450841,12.5111520279419,128.055318698007,53.3214855311502,121.375951254265,40.5218363734568,83.0890444960963,67.6866308301981,39.1845539195015,68.1155570773029,42.7069545044466,65.6291480534984,86.4574114642375,51.1647718437931,61.2519279264805,28.9858842070227,140.94807381568,57.2530515349908,69.5106446044057,64.2331218922722,67.6684418964636,60.1109248427734,64.339572946904,89.6915901272497,92.3666977574,53.3989757008578,51.9656274601557,39.5399903857913,52.3873376850625,53.2620177834611,61.0425092098034,14.3876237517632,81.700553936135,70.8267038608717,80.8963022558467,111.206815948024,55.090458329464,27.09098472671,61.8355677621653,81.4191552013913,36.7086273214897,109.193256134784
42.828113589688,55.2645200219614,59.5254732260772,100.758401278865,72.7148190924896,53.1130369672634,51.1503252731209,116.074267552506,94.5910856610415,35.7461142336509,81.6076200382034,36.7400444984028,24.7888712181613,95.3382014258452,104.587053208359,59.8626737077588,33.812213974461,47.6979753349056,61.4465036528883,13.3811960629022,57.2679411084992,37.810216672745,56.3758254337627,99.9456865744183,36.0532246480484,87.7633630440591,75.0431123639391,34.5778693419345,49.7908010626908,107.427013047526,25.6313652979872,95.2626771558021,71.4325371671784,96.8292839880497,56.944548034384,92.467553579921,62.461356925373,14.8643372538414,92.3984522944754,12.5111520279419,129.945841769988,56.2993008736485,121.473849412953,44.9312715689603,74.664628954561,66.3473535060263,32.9573700007168,65.2524183684846,35.9182081007131,68.1204834497201,90.9212219562536,53.7834895867687,63.5771005160387,29.8400155583968,132.706971364451,55.810057675759,66.5888654135533,70.5410187590957,64.8240970261822,57.5842492472866,67.5428502914925,73.217857348263,94.5158099154765,55.1714557379512,55.8878690249544,32.7713080312827,55.312984192418,53.7953761409142,57.6609375876126,14.2970933281277,81.2131842810307,67.9632712123588,85.1740873485873,111.296511990793,49.6428826664483,24.8804080002134,67.425062176099,80.1918855919215,35.0645081629786,111.007480966542
43.5627356638953,61.9883583506189,55.753879410585,84.7876858716511,70.8158430334124,59.2972334732917,42.5082419393349,93.7889354644825,91.4587789533803,37.3177517273272,83.2473191736387,38.430465992969,23.819663555245,96.3489925148218,93.3073075244664,57.6679459484639,31.3010233683509,47.9924573997925,51.0648335011816,29.9676939012392,56.7862664901345,36.6824872724985,70.4563305712018,109.371619033173,35.6458191736073,83.9418946780851,69.8974530170655,32.0098144746503,49.449587938417,102.292349868035,25.9560685460292,94.5432164893852,77.5973668772139,84.0913644020962,53.6151816132903,91.7648154524828,64.2586284255666,35.5277917891495,88.6078657637281,28.5883305353783,127.762895550416,55.1063833621451,80.4139519990708,41.5599887364952,62.0496955779672,67.2803703203365,33.6680019987409,86.4399983465946,39.380786077737,66.3446102727213,85.4977954262846,52.5905289894455,61.9196714761946,30.2480562163959,119.072339203271,52.5114151190538,62.3697279693107,42.9336388196764,60.7167770808163,53.9356533343073,55.0589523931469,83.5670034759931,92.3097077815483,52.7232684606561,62.7560882470579,35.8974497982152,54.1409655983554,52.0057618698183,57.2657909291355,25.3771543543002,80.7335990077168,70.4904770925992,115.40520015252,73.2328392624533,96.8632658515443,24.3840823858338,93.6355244038928,78.0976430046214,34.9360450093488,56.2567195419237
45.0876101074398,63.6972601525762,58.8604400889131,106.495853776519,73.08709552614,54.7342090676516,50.322061898162,98.9791294547034,96.5547875071911,40.1085880876766,84.6498997476748,35.9862975941079,26.7590583246758,97.473688737585,99.279379993181,62.4295642926275,33.0486097480777,49.3316402568198,60.4515170477549,28.2920255835386,66.352777818109,34.9920388290524,65.3237848505081,115.3555893809,34.8109173433058,87.076840341142,76.085828112035,33.7969737996085,52.0958814317211,110.307538074081,24.747908452167,96.5484029480478,79.6114610244187,105.621253312539,57.0467858307188,90.6226966668312,62.9511218030049,32.6918134761382,82.3179327690263,24.7442977687875,133.56001115221,58.0290344421203,80.6911205558997,44.9301732762656,73.4556048234777,69.751930348568,38.662027689988,91.2563645391738,37.9026329185127,64.7148699150421,88.2277410310754,56.5863971289599,60.39862874003,31.9081470928393,127.0804926718,58.3019014304801,65.8449183323099,40.6737190654111,64.0998663687389,56.9409039389224,69.1556808381933,100.138603511633,96.8763255541097,55.666893171332,54.3734299026694,37.9592100575653,57.0124142749461,54.6378633216109,60.3303683349858,25.3771543543002,81.4331867636827,71.2012961089873,115.990886135173,73.4852561610915,99.7070690943438,26.0425300092382,98.3377060166121,80.6024421957671,32.1705552996262,58.2676153607763
44.9084748686223,66.6055705234788,61.5498904667858,115.938521695115,68.4777211698757,53.9685382835526,59.1010320222454,80.8374216353347,100.966567462529,34.2031217164934,79.872785182613,39.4742452195797,28.5137153127917,96.7065880902063,101.131005738769,63.3230237159281,32.8818635278404,48.0069113057225,70.9976282780889,13.3773212931956,57.3447449146862,35.5712927281434,64.5403981184316,108.327033203793,37.171186808929,86.6715622700927,80.5135517188542,33.6264517207828,58.1575178444023,119.073557279773,26.170098547901,94.9716398134887,84.7287186747724,114.986373031369,58.1107459134113,94.3872703546646,66.9732465815997,14.8643372538414,97.4530605182423,12.5111520279419,129.422718134279,58.6086029643979,82.1211824417535,43.7902460661738,86.2703531836865,67.2013755304933,39.801352396232,95.4260490288315,45.0348396140946,68.9375887305932,87.0133100655593,54.35920394973,64.3397079131603,29.4784779843947,132.673056175646,58.7587986583667,68.853503389138,39.343221409021,67.0287165364675,59.5426468987714,75.2875076247066,84.334875877095,96.8790514269831,55.3860267718246,46.081999287265,33.282105566049,57.5818292412725,57.0280412077521,67.3501316529195,14.3876237517632,82.5239377599946,74.0812666751734,126.108839425536,74.7876109094728,82.6515047433551,32.953834887692,102.760920041487,75.519098447669,34.9869977656522,56.0500196250993
42.6922517725496,54.2233129756924,62.1373256419046,99.0793188578226,73.8276584648475,54.4946244573705,56.9216202118222,96.0419480775836,101.930197337232,37.5571931387032,83.1521455576147,39.612010434674,29.7885692843563,97.5074673689182,98.883845825602,59.3272984359669,32.7259371402169,46.7679868062399,68.3795171506373,13.3773212931956,53.3939409964035,36.7646173812943,67.808974667664,112.04781933389,33.670900685401,80.5904943871065,72.2504012683386,33.4669944825706,52.7108222583904,106.903869775204,25.4422446805701,96.2959521599991,85.6142272842027,98.2656269142305,56.8195084953027,93.3719049541633,67.9933865611505,14.8643372538414,84.3464347576199,12.5111520279419,128.055318698007,53.3214855311502,78.3816088566077,40.5218363734568,83.0890444960963,67.6866308301981,39.1845539195015,96.3367999237075,42.7069545044466,65.6291480534984,86.4574114642375,51.1647718437931,61.2519279264805,28.9858842070227,140.94807381568,57.2530515349908,69.5106446044057,41.2302780341364,67.6684418964636,60.1109248427734,64.339572946904,92.5879946250281,92.3666977574,55.1233852377753,50.2588998545118,39.5399903857913,52.3873376850625,53.2620177834611,61.0425092098034,14.3876237517632,81.700553936135,70.8267038608717,112.935811564717,71.3819880733478,87.3117413183997,27.09098472671,87.4549218310297,81.4191552013913,36.7086273214897,55.6817872890871
42.828113589688,55.2645200219614,59.5254732260772,104.012185566099,72.7148190924896,53.1130369672634,51.1503252731209,115.263869943409,97.6457092391237,35.7461142336509,81.6076200382034,36.7400444984028,24.7888712181613,95.3382014258452,99.1014540174369,59.8626737077588,33.812213974461,47.6979753349056,61.4465036528883,13.3811960629022,57.2679411084992,37.810216672745,64.0529200529339,103.17322592027,36.0532246480484,87.7633630440591,75.0431123639391,34.5778693419345,49.7908010626908,107.427013047526,25.6313652979872,95.2626771558021,76.1013208141759,103.157982303439,56.944548034384,92.467553579921,64.9659751531936,14.8643372538414,93.5194462795664,12.5111520279419,129.945841769988,56.2993008736485,78.4448290835369,44.9312715689603,74.664628954561,66.3473535060263,32.9573700007168,92.2874221782943,35.9182081007131,68.1204834497201,90.9212219562536,53.7834895867687,63.5771005160387,29.8400155583968,132.706971364451,55.810057675759,66.5888654135533,45.2792224722718,64.8240970261822,57.5842492472866,67.5428502914925,75.5822766995124,94.5158099154765,56.9531038536961,54.0523216920826,32.7713080312827,55.312984192418,53.7953761409142,57.6609375876126,14.2970933281277,81.2131842810307,67.9632712123588,118.90784140633,71.4395626185821,78.6779900023891,24.8804080002134,95.3602231767813,80.1918855919215,35.0645081629786,56.6069294155554
