"Sample","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000014583-ENSBTAG00000010986","ENSBTAG00000047330-ENSBTAG00000017851","ENSBTAG00000005947-ENSBTAG00000015910","ENSBTAG00000005947-ENSBTAG00000019712","ENSBTAG00000000470-ENSBTAG00000019929","ENSBTAG00000002278-ENSBTAG00000019929","ENSBTAG00000005947-ENSBTAG00000002402","ENSBTAG00000002278-ENSBTAG00000013745","ENSBTAG00000008027-ENSBTAG00000047138"
"Zo_NP_1.NP_Hols_2",73.9943104778081,64.8771453134145,70.7903078056001,149.148180216524,126.706087154658,18.0730608440275,42.3898015739248,111.408789454454,29.4689128911236,7.06936369174073
"Zo_NP_3.NP_Hols_2",73.1288093323684,67.1769356137632,70.7564994098026,148.082100059611,125.800418409122,18.0730608440275,18.0730608440275,110.612462609764,12.5641884583918,7.06936369174073
"Zo_NP_4.NP_Hols_2",73.4086681254413,66.5510144839642,76.3536096563743,148.882842666704,126.480674530354,18.0730608440275,65.6640403356161,111.210591024012,45.6489016905378,7.06936369174073
"Zo_NP_5.NP_Hols_2",73.514798873443,67.415286697583,72.7980179230345,148.82349712919,126.430258622914,18.0730608440275,18.0730608440275,111.166261857646,12.5641884583918,7.06936369174073
"Zo_NP_9.NP_Hols_2",72.4568774334204,65.9653835555547,66.5425200127983,148.95949240186,126.545790899919,18.0730608440275,18.0730608440275,111.267845857381,12.5641884583918,7.06936369174073
"Zo_NP_15.NP_Hols_2",72.6244957537901,65.4802824004977,71.7130182018331,149.101354052461,126.666306850156,18.0730608440275,18.0730608440275,111.373811848656,12.5641884583918,11.4051449547871
"SW_NP_1.NP_Hols_2",70.3874829569812,66.9126487475293,76.161488733836,145.627798196272,123.715411502912,18.0730608440275,74.330231522037,108.77917976881,51.673540251893,7.06936369174073
"Zo_NP_1.NP_Hols_3",77.3367233571882,67.8077247684121,66.6490731254348,150.201652501328,125.962017588817,18.0790057319918,42.4037451235738,111.161981163226,29.498400489469,7.93203457272028
"Zo_NP_3.NP_Hols_3",76.4321264737526,70.2113993900028,66.6172425215907,149.128042343734,125.061667297709,18.0790057319918,18.0790057319918,110.367418452845,12.5767606134681,7.93203457272028
"Zo_NP_4.NP_Hols_3",76.7246268284311,69.5572046425134,71.8869216864179,149.934440803568,125.737928678923,18.0790057319918,65.6856396300826,110.964221809595,45.6945795369834,7.93203457272028
"Zo_NP_5.NP_Hols_3",76.8355516312288,70.4605170817851,68.5393321535355,149.874676093128,125.687808834153,18.0790057319918,18.0790057319918,110.919990847382,12.5767606134681,7.93203457272028
"Zo_NP_9.NP_Hols_3",75.729842594786,68.9451200537476,62.6497810189329,150.011631935685,125.80266265874,18.0790057319918,18.0790057319918,111.021349804071,12.5767606134681,7.93203457272028
"Zo_NP_15.NP_Hols_3",75.9050324382796,68.4381062903022,67.5178049416746,150.154495591922,125.922470890407,18.0790057319918,18.0790057319918,111.1270810447,12.5767606134681,12.7969090335458
"SW_NP_1.NP_Hols_3",73.5669710563145,69.9351743650125,71.70603984239,146.656405109706,122.988904398226,18.0790057319918,74.3546814424227,108.538196955772,51.7252465569631,7.93203457272028
"Zo_NP_1.NP_Hols_10",77.1478463836435,67.6421201593565,67.0002201293978,150.119798671298,126.965110346912,18.6151508932465,43.6612569084641,113.209534233101,29.900195616696,8.49396503738879
"Zo_NP_3.NP_Hols_10",76.245458767865,70.0399243643042,66.9682218229789,149.046773587849,126.057590157496,18.6151508932465,18.6151508932465,112.400336039439,12.7480675673009,8.49396503738879
"Zo_NP_4.NP_Hols_10",76.5372447584051,69.3873273354489,72.2656647955202,149.852732593113,126.739236915247,18.6151508932465,67.6335917671443,113.008132242236,46.3169813992539,8.49396503738879
"Zo_NP_5.NP_Hols_10",76.6478986531511,70.2884336440199,68.9004381676288,149.793000452026,126.688717943389,18.6151508932465,18.6151508932465,112.963086565842,12.7480675673009,8.49396503738879
"Zo_NP_9.NP_Hols_10",75.5448900540602,68.7767376210412,62.9798573706676,149.929881659183,126.804486401147,18.6151508932465,18.6151508932465,113.066312508354,12.7480675673009,8.49396503738879
"Zo_NP_15.NP_Hols_10",75.7196520370757,68.2709621208817,67.873528942139,150.072667460501,126.92524872018,18.6151508932465,18.6151508932465,113.173991270285,12.7480675673009,13.7034826211436
"SW_NP_1.NP_Hols_10",73.3873008266645,69.764373954742,72.0838299582304,146.576483296219,123.968320905594,18.6151508932465,76.5597198866244,110.537421115417,52.4297916060623,8.49396503738879
"Zo_PR_4.PR_Hols_8",66.9264167083209,61.1283325162463,56.451757690561,135.545729580063,106.509304133935,82.8253910734186,94.7181551892392,102.831404068038,65.2963844919195,27.884510026052
"SW_PR_1.PR_Hols_8",70.0851835485572,65.0286182226577,58.1552408042041,145.211364554657,114.104379672987,19.2402792336558,88.9429489903308,110.164212107995,61.3150982883334,8.51098434053213
"SW_PR_2.PR_Hols_8",67.6820137897664,64.0795889487403,14.2227333459345,146.02561322655,114.744201080154,77.5577072635835,76.9224395041748,110.781939678246,53.0284524216709,8.51098434053213
"SW_PR_3.PR_Hols_8",69.9936315891518,62.7193298472668,66.224795142843,144.820320603209,113.797104635379,39.0707519742426,77.3949272507481,109.867547663426,53.3541739426014,35.9269218083592
"SW_PR_5.PR_Hols_8",70.1432006617397,62.8262451290395,60.3143345693572,145.394785226337,114.248508212964,19.2402792336558,86.1907105827276,110.303363708436,59.4177723013857,32.5232523224478
"SW_PR_6.PR_Hols_8",70.3134326255388,61.0455044884996,54.4703295670529,144.793208131232,113.775800160995,30.4838153752699,85.5609715624189,109.846978859305,58.9836455902237,40.7630061701819
"SW_PR_7.PR_Hols_8",68.9489393440736,63.5651122786874,62.5444896577982,144.648491193986,113.662084293072,19.2402792336558,19.2402792336558,109.737189743148,13.2637789245647,35.4884344848942
"Zo_PR_4.PR_Jap_5",58.101778925727,53.0682058989675,56.5644297416609,132.144849882462,112.539571811699,83.0936621007705,95.0249468200685,103.541085452094,61.5100465587548,53.0730138947224
"SW_PR_1.PR_Jap_5",60.8440439633009,56.4542162220469,58.2713128368862,141.56797141269,120.564659910741,19.3025984018439,89.2310347571724,110.924500185659,57.7596229839762,16.1990865086318
"SW_PR_2.PR_Jap_5",58.7577461318364,55.6303219844769,14.2511204963775,142.361790361082,121.24070626917,77.808916289427,77.1715909009235,111.54649094536,49.9534944051818,16.1990865086318
"SW_PR_3.PR_Jap_5",60.7645636628871,54.4494209668718,66.3569731973035,141.186738861716,120.239987794609,39.1973019444353,77.6456090329443,110.62578833898,50.260328329809,68.3802590953977
"SW_PR_5.PR_Jap_5",60.8944111822531,54.5422388461318,60.4347159368233,141.746790009186,120.716948617411,19.3025984018439,86.4698818631351,111.064612127946,55.9723171369162,61.9020029686073
"SW_PR_6.PR_Jap_5",61.0421970702957,52.9962992290203,54.5790468861849,141.16030664913,120.217477118717,30.5825523007748,85.8381031212899,110.605077581167,55.5633641079888,77.5848523369956
"SW_PR_7.PR_Jap_5",59.8576201739881,55.1836820593763,62.6693221913283,141.019220699709,120.097322967038,19.3025984018439,19.3025984018439,110.494530765623,12.4946528899463,67.5456794743402
"Zo_PR_4.PR_Jap_6",67.0164423168368,61.2105588717424,53.2350005783733,131.533560637085,106.280751396182,80.1574220729052,91.6670968295303,94.0068229140945,59.5892918482366,49.6465077529988
"SW_PR_1.PR_Jap_6",70.179458150534,65.1160910206107,54.8414151215153,140.913091722022,113.859529060397,18.620511938973,86.0779213986095,100.710358600715,55.9559815606478,15.1532391873878
"SW_PR_2.PR_Jap_6",67.7730557844926,64.1657851665014,13.4122877457095,141.703238541033,114.497977508314,75.05942073516,74.4446162016674,101.275075253492,48.3936124825767,15.1532391873878
"SW_PR_3.PR_Jap_6",70.0877830406409,62.8036963218656,62.4511468191429,140.533622715815,113.552913388199,37.812206089423,74.901884187191,100.439152716109,48.6908650015791,63.965484795453
"SW_PR_5.PR_Jap_6",70.2375533050367,62.9107554199932,56.8774785239468,141.091083121053,114.003348322488,18.620511938973,83.4143380116267,100.837568765542,54.2244873462712,57.9054785997885
"SW_PR_6.PR_Jap_6",70.4080142551895,61.1276194284446,51.3664790014341,140.507312776078,113.531654629971,29.5018716333261,82.804884125657,100.420349044758,53.8283045638424,72.5758100096695
"SW_PR_7.PR_Jap_6",69.041685534984,63.650616451699,58.9805540043206,140.36687947656,113.418182778974,18.620511938973,18.620511938973,100.31998159287,12.1044863279404,63.1847874016793
"Zo_NP_1.NP_Sim_1",71.4440916623897,62.6411501997291,71.7304372550446,146.694828328504,119.082553290681,19.4119905288666,45.5302194672514,111.067433481986,30.1293547097512,3.98276934679902
"Zo_NP_3.NP_Sim_1",70.6084200712985,64.861678074932,71.6961798674358,145.646284220385,118.231375978873,19.4119905288666,19.4119905288666,110.273546578757,12.84577045993,3.98276934679902
"Zo_NP_4.NP_Sim_1",70.8786335125173,64.2573293583614,77.3676224391196,146.433855340008,118.870703083253,19.4119905288666,70.5287134305932,110.869842330542,46.6719609313804,3.98276934679902
"Zo_NP_5.NP_Sim_1",70.9811064572541,65.0918143728485,73.7648107317137,146.375485982601,118.823320553185,19.4119905288666,19.4119905288666,110.825648988519,12.84577045993,3.98276934679902
"Zo_NP_9.NP_Sim_1",69.9596463497875,63.6918822387188,67.4262367904691,146.509244256747,118.93190159173,19.4119905288666,19.4119905288666,110.926921735389,12.84577045993,3.98276934679902
"Zo_NP_15.NP_Sim_1",70.1214876936348,63.2235001271263,72.6654016906186,146.648772412243,119.045166450497,19.4119905288666,19.4119905288666,111.032563047397,12.84577045993,6.42548094884343
"SW_NP_1.NP_Sim_1",67.961573691151,64.6064998730614,77.1729500580168,143.232353390078,116.27181782665,19.4119905288666,79.8369331441202,108.445880907239,52.8316205321182,3.98276934679902
"Zo_PR_4.PR_Sim_1",64.2702101148605,58.7022429709995,56.9399996512385,136.755136753453,109.8386683914,79.7909876149179,91.2480466396247,103.003884854251,63.0912788327522,13.0487341227238
"SW_PR_1.PR_Sim_1",67.3036103551665,62.4477323336158,58.6582159099494,146.507013384717,117.6711576779,18.5353894759078,85.6844217618113,110.348992332375,59.2444435150246,3.98276934679902
"SW_PR_2.PR_Sim_1",64.9958187097195,61.5363685726416,14.3457434256751,147.328527192796,118.330979201878,74.7162914597585,74.1042974653298,110.967756027124,51.2376436128558,3.98276934679902
"SW_PR_3.PR_Sim_1",67.2156919522875,60.2300960637851,66.7975624958676,146.112480342456,117.354277558973,37.6393500408454,74.5594750799047,110.051830287709,51.5523652847946,16.8122319555615
"SW_PR_5.PR_Sim_1",67.3593248583162,60.3327680423846,60.8359833217047,146.692070627884,117.819791518267,18.5353894759078,83.0330147735882,110.488377334058,57.411191585219,15.2194631343848
"SW_PR_6.PR_Sim_1",67.522800577169,58.6227022603428,54.9414344820203,146.085125959367,117.33230713004,29.3670057399128,82.4263469665441,110.031226983198,56.9917256439453,19.0753084440324
"SW_PR_7.PR_Sim_1",66.2124619364156,61.0423106907203,63.0854266544368,145.93911778482,117.215036628565,18.5353894759078,18.5353894759078,109.921253715971,12.8158516128754,16.6070390188833
"Zo_PR_4.PR_Sim_2",59.453236911057,54.3025820567264,54.3960049671035,136.232083642602,116.068100745262,78.8673819525001,90.1918219320467,97.1802704681734,62.9505579518234,13.0487341227238
"SW_PR_1.PR_Sim_2",62.2592875340543,57.7673515980973,56.037453873248,145.94666186205,124.344804832317,18.3208365397079,84.6925977540406,104.110101632813,59.1123027431808,3.98276934679902
"SW_PR_2.PR_Sim_2",60.124462034139,56.9242934301448,13.7047968988325,146.76503359179,125.042047727196,73.8514269941106,73.2465170217691,104.693881781461,51.1233614730845,3.98276934679902
"SW_PR_3.PR_Sim_2",62.1779585073424,55.7159244392756,63.8131465326868,145.553637806873,124.009953052825,37.2036627800833,73.6964258129493,103.829740480275,51.4373811793674,16.8122319555615
"SW_PR_5.PR_Sim_2",62.3108263037148,55.8109012793527,58.1179218689035,146.131011309012,124.501868349296,18.3208365397079,82.0718816318026,104.241606111328,57.283139759285,15.2194631343848
"SW_PR_6.PR_Sim_2",62.4620497184942,54.2290028245084,52.4867327237288,145.526388047241,123.986736584562,29.0270734543201,81.4722361945591,103.810302041543,56.8646094087596,19.0753084440324
"SW_PR_7.PR_Sim_2",61.2499193473128,56.4672645788443,60.2668634117553,145.380938316288,123.862815158902,18.3208365397079,18.3208365397079,103.706546422341,12.7872667123601,16.6070390188833
"Zo_PR_4.PR_Cont_6",61.8584666267561,56.4994377838153,54.7174182986607,134.649025412838,111.652268986642,84.344618499886,96.4555260278548,97.1533723060235,65.3458278426572,13.0487341227238
"SW_PR_1.PR_Cont_6",64.7780383411665,60.1043774335256,56.3685661443105,144.250717279911,119.614084378787,19.5931946805476,90.5743879216269,104.081285388716,61.3615269525509,3.98276934679902
"SW_PR_2.PR_Cont_6",62.5568467155866,59.2272126523259,13.7857753536332,145.059579281346,120.284800542387,78.9803120286407,78.3333918497174,104.664903955049,53.0686063198165,3.98276934679902
"SW_PR_3.PR_Cont_6",64.693419081627,57.9699580976864,64.1902035617209,143.862260283744,119.291972095443,39.7874085116003,78.8145462181317,103.801001836289,53.3945744817139,16.8122319555615
"SW_PR_5.PR_Cont_6",64.831662154245,58.0687773041329,58.4613271410804,144.432924530252,119.765172386028,19.5931946805476,87.7716664916218,104.2127534686,59.4627642833892,15.2194631343848
"SW_PR_6.PR_Cont_6",64.9890034369461,56.4228818430952,52.7968646100225,143.835327174603,119.269638901889,31.0429657491019,87.1303764628751,103.78156877785,59.028308845309,19.0753084440324
"SW_PR_7.PR_Cont_6",63.7278353322528,58.7516943220467,60.6229662792984,143.691567613743,119.150432089145,19.5931946805476,19.5931946805476,103.677841876775,13.2738224465542,16.6070390188833
"Zo_NP_1.NP_Cont_1",72.5903223212592,63.6461487264803,66.830545565117,146.212907427035,125.211994544452,17.8891216312536,41.9583778766087,111.323201298632,29.7363169220828,3.98276934679902
"Zo_NP_3.NP_Cont_1",71.7412434297717,65.9023021806528,66.7986282927408,145.167807989239,124.317005261998,17.8891216312536,17.8891216312536,110.527486220271,12.6781972327201,3.98276934679902
"Zo_NP_4.NP_Cont_1",72.0157921060471,65.288257448478,72.0826557671474,145.952791785313,124.989239940324,17.8891216312536,64.9957422542273,111.125155131205,46.0631246503737,3.98276934679902
"Zo_NP_5.NP_Cont_1",72.1199091003929,66.1361307262311,68.725951400238,145.894614182541,124.939418527092,17.8891216312536,17.8891216312536,111.080860020066,12.6781972327201,3.98276934679902
"Zo_NP_9.NP_Cont_1",71.0820609492862,64.713738440462,62.8203641654632,146.027933034869,125.053588470801,17.8891216312536,17.8891216312536,111.182365979395,12.6781972327201,3.98276934679902
"Zo_NP_15.NP_Cont_1",71.2464988340913,64.2378417265577,67.7016427688217,146.167002813372,125.172683321273,17.8891216312536,17.8891216312536,111.288250563863,12.6781972327201,6.42548094884343
