"NOT_PREGNANT","PREGNANT"
100,100
93.4150076569678,93.4150076569678
92.6493108728943,92.6493108728943
90.5819295558959,90.5819295558959
90.0459418070444,90.0459418070444
89.8928024502297,89.8928024502297
88.208269525268,88.208269525268
87.9019908116386,87.9019908116386
87.2894333843798,87.2894333843798
86.676875957121,86.676875957121
85.4517611026034,85.4517611026034
83.6140888208269,83.6140888208269
81.4701378254211,81.4701378254211
79.6324655436447,79.6324655436447
76.1102603369066,76.1102603369066
73.5068912710567,73.5068912710567
72.7411944869831,72.7411944869831
72.1286370597243,72.1286370597243
71.5160796324655,71.5160796324655
71.0566615620214,71.0566615620214
63.5528330781011,63.5528330781011
61.7151607963246,61.7151607963246
57.7335375191424,57.7335375191424
55.5895865237366,55.5895865237366
52.0673813169984,52.0673813169984
51.3016845329249,51.3016845329249
49.9234303215926,49.9234303215926
47.6263399693721,47.6263399693721
41.04134762634,41.04134762634
38.8973966309341,38.8973966309341
35.8346094946401,35.8346094946401
35.375191424196,35.375191424196
34.9157733537519,34.9157733537519
33.843797856049,33.843797856049
31.8529862174579,31.8529862174579
30.1684532924961,30.1684532924961
28.177641653905,28.177641653905
24.6554364471669,24.6554364471669
23.7366003062787,23.7366003062787
23.4303215926493,23.4303215926493
22.5114854517611,22.5114854517611
18.2235834609494,18.2235834609494
16.0796324655436,16.0796324655436
15.4670750382848,15.4670750382848
13.6294027565084,13.6294027565084
13.6294027565084,13.6294027565084
10.1071975497703,10.1071975497703
5.66615620214394,5.66615620214394
0,0
