"NOT_PREGNANT","PREGNANT"
100,100
95.7142857142857,95.7142857142857
81.4285714285714,81.4285714285714
75.7142857142857,75.7142857142857
71.4285714285714,71.4285714285714
56.4285714285714,56.4285714285714
54.2857142857143,54.2857142857143
54.2857142857143,54.2857142857143
53.5714285714285,53.5714285714285
51.4285714285714,51.4285714285714
50,50
50,50
47.8571428571429,47.8571428571429
47.8571428571429,47.8571428571429
45.7142857142857,45.7142857142857
45.7142857142857,45.7142857142857
44.2857142857143,44.2857142857143
42.8571428571429,42.8571428571429
40.7142857142857,40.7142857142857
40.7142857142857,40.7142857142857
37.8571428571429,37.8571428571429
25,25
24.2857142857143,24.2857142857143
20.7142857142857,20.7142857142857
16.4285714285714,16.4285714285714
13.5714285714286,13.5714285714286
6.42857142857146,6.42857142857146
4.28571428571431,4.28571428571431
2.85714285714289,2.85714285714289
2.85714285714289,2.85714285714289
1.42857142857147,1.42857142857147
0,0
0,0
