"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.640625,0.106484626563859,0.28125,0.212969253127717,0.705078125,0.139875510437456
"vivo",0.571875,0.0659630841624482,0.14375,0.131926168324896,0.6361328125,0.16249731338758
