"dataset","seed","accuracy","kappa"
"vivo",64,0.84375,0.6875
"vitro",64,0.5625,0.125
"vivo",28,0.625,0.25
"vitro",28,0.625,0.25
"vivo",21,0.5,0
"vitro",21,0.6875,0.375
"vivo",94,0.71875,0.4375
"vitro",94,0.625,0.25
"vivo",41,0.40625,-0.1875
"vitro",41,0.6875,0.375
"vivo",12,0.5625,0.125
"vitro",12,0.84375,0.6875
"vivo",53,0.625,0.25
"vitro",53,0.5625,0.125
"vivo",22,0.59375,0.1875
"vitro",22,0.71875,0.4375
"vivo",17,0.65625,0.3125
"vitro",17,0.4375,-0.125
"vivo",62,0.6875,0.375
"vitro",62,0.5625,0.125
