"dataset","feature","mean_importance","sd_importance"
"vitro","`ENSBTAG00000031998-ENSBTAG00000039292`",12.8038276378271,10.7592998410258
"vitro","`ENSBTAG00000021316-ENSBTAG00000019929`",12.7231582160606,24.8817639817116
"vitro","`ENSBTAG00000017866-ENSBTAG00000008008`",12.5934755250092,16.082470278576
"vitro","`ENSBTAG00000021048-ENSBTAG00000016948`",12.5676478806642,13.0647022868331
"vitro","`ENSBTAG00000000470-ENSBTAG00000019929`",12.4856610866011,20.0924964824017
"vitro","`ENSBTAG00000001292-ENSBTAG00000032007`",12.340327722629,21.2868000765156
"vitro","`ENSBTAG00000000310-ENSBTAG00000022799`",12.2857328204918,15.9538209035593
"vitro","`ENSBTAG00000000442-ENSBTAG00000007348`",12.2000704861432,18.11032721016
"vitro","`ENSBTAG00000016800-ENSBTAG00000007338`",12.1816663375191,14.8325975041089
"vitro","`ENSBTAG00000003658-ENSBTAG00000018517`",12.1631320229307,11.8686572642745
"vitro","`ENSBTAG00000009565-ENSBTAG00000002804`",12.1537017742648,22.1555303130761
"vitro","`ENSBTAG00000000559-ENSBTAG00000020661`",12.0501929569327,10.6070986070721
"vitro","`ENSBTAG00000004261-ENSBTAG00000017060`",11.9880892679356,18.0349673007794
"vitro","`ENSBTAG00000026779-ENSBTAG00000007103`",11.9163502184688,15.1959069396621
"vitro","`ENSBTAG00000017122-ENSBTAG00000011741`",11.8975266318958,24.3658348460362
"vitro","`ENSBTAG00000021457-ENSBTAG00000011986`",11.8445603258656,16.1102975103203
"vitro","`ENSBTAG00000009876-ENSBTAG00000020736`",11.7898108626369,16.6169959767473
"vitro","`ENSBTAG00000009761-ENSBTAG00000012314`",11.7618779086616,20.2512311125051
"vitro","`ENSBTAG00000007338-ENSBTAG00000017593`",11.7446867048151,14.8272216628085
"vitro","`ENSBTAG00000011409-ENSBTAG00000001941`",11.7430096640851,11.3378478732165
"vitro","`ENSBTAG00000014465-ENSBTAG00000019929`",11.6713535330915,18.8570737846729
"vitro","`ENSBTAG00000010123-ENSBTAG00000005903`",11.437286041702,13.9961334691729
"vitro","`ENSBTAG00000012398-ENSBTAG00000008008`",11.3507161656197,13.755620435014
"vitro","`ENSBTAG00000012066-ENSBTAG00000019929`",11.2507622315128,21.0562697352025
"vitro","`ENSBTAG00000015362-ENSBTAG00000006420`",11.0978788811913,17.0948771301494
"vitro","`ENSBTAG00000017246-ENSBTAG00000010444`",11.0976412152516,10.3756334037565
"vitro","`ENSBTAG00000014583-ENSBTAG00000014567`",11.0487215413072,12.6673921058203
"vitro","`ENSBTAG00000017280-ENSBTAG00000037735`",10.9916747349953,17.3436484946559
"vitro","`ENSBTAG00000015362-ENSBTAG00000008997`",10.9847690269145,10.0668926679612
"vitro","`ENSBTAG00000009478-ENSBTAG00000018035`",10.8902747639641,16.691278260411
"vitro","`ENSBTAG00000017664-ENSBTAG00000014357`",10.8768115029311,13.6278606527012
"vitro","`ENSBTAG00000007737-ENSBTAG00000019832`",10.8637290002811,19.3173858340921
"vitro","`ENSBTAG00000008300-ENSBTAG00000017266`",10.85488425941,13.0722795132336
"vitro","`ENSBTAG00000000283-ENSBTAG00000012771`",10.7991641915727,14.4426049782075
"vitro","`ENSBTAG00000014556-ENSBTAG00000026676`",10.720009293519,20.9694626173357
