"feature","importance","dataset","seed"
"ENSBTAG00000005111.ENSBTAG00000002081",10.6201152791077,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000006420",6.1874894125207,"vivo",64
"ENSBTAG00000005111.ENSBTAG00000008997",2.06129164705328,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000000231",0.312783307353539,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000002081",0,"vivo",64
"ENSBTAG00000003835.ENSBTAG00000006420",0,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000011909",5.09318433722063,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000018114",3.36286125863427,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000018105",1.59228705261342,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000000231",2.85441100969606,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000002081",38.6189156397996,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000006420",4.91034624187577,"vivo",64
"ENSBTAG00000015362.ENSBTAG00000008997",1.60900962889404,"vivo",64
"ENSBTAG00000004237.ENSBTAG00000011628",0.188675917845079,"vivo",64
"ENSBTAG00000004237.ENSBTAG00000010444",0,"vivo",64
"ENSBTAG00000007153.ENSBTAG00000012219",0.892286361749142,"vivo",64
"ENSBTAG00000006276.ENSBTAG00000047138",1.47340952019426,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000039292",0.772401064711312,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000037735",0.385229882786146,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000005397",1.51360430306545,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000047793",0,"vivo",64
"ENSBTAG00000017280.ENSBTAG00000017060",0,"vivo",64
"ENSBTAG00000037533.ENSBTAG00000037735",0.439649241337185,"vivo",64
"ENSBTAG00000009876.ENSBTAG00000006420",3.79098262540529,"vivo",64
"ENSBTAG00000009876.ENSBTAG00000020736",4.0880528720123,"vivo",64
"ENSBTAG00000012210.ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000012210.ENSBTAG00000037735",0.085291853272433,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000020661",0.0807113648559505,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000014600",0.826419595500346,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000026813",3.50495482616742,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011628",0.499401570046194,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000010785",0,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000014773",1.56304211552926,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000012687",0,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000004588",0,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000010986",5.55271155306317,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000020667",0,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000014567",0.45064391315168,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000012100",8.7952954325706,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000004337",0.264516237763199,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011050",0,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011425",0.224052652441031,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000011515",21.0453845621847,"vivo",64
"ENSBTAG00000025644.ENSBTAG00000019021",1.05559073454311,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000020661",0.247268634519625,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000014600",0.537493190793894,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000026813",4.77286812617367,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000012687",0.942003781377279,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000010986",4.31149819295382,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000020667",0,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000014567",0.633209244912641,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000012100",8.93691726315998,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000004337",1.49325285887705,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000011050",0,"vivo",64
"ENSBTAG00000014583.ENSBTAG00000011515",21.9425275086526,"vivo",64
"ENSBTAG00000015114.ENSBTAG00000008165",0.0813896116194459,"vivo",64
"ENSBTAG00000015114.ENSBTAG00000019929",0.888720214889013,"vivo",64
"ENSBTAG00000015114.ENSBTAG00000017489",4.69043463499588,"vivo",64
"ENSBTAG00000004129.ENSBTAG00000003220",0.23060389958843,"vivo",64
"ENSBTAG00000004129.ENSBTAG00000014162",0.683950202188412,"vivo",64
"ENSBTAG00000004129.ENSBTAG00000001338",0,"vivo",64
"ENSBTAG00000004129.ENSBTAG00000014798",1.40481549667139,"vivo",64
"ENSBTAG00000010738.ENSBTAG00000003220",0,"vivo",64
"ENSBTAG00000010738.ENSBTAG00000014162",0.0816722144375688,"vivo",64
"ENSBTAG00000010738.ENSBTAG00000019428",0.966484421634629,"vivo",64
"ENSBTAG00000010738.ENSBTAG00000001338",1.21563600032672,"vivo",64
"ENSBTAG00000021326.ENSBTAG00000039292",0,"vivo",64
