"feature","importance","dataset","seed"
"`ENSBTAG00000008027-ENSBTAG00000017489`",3.89349905047536,"vivo",64
"`ENSBTAG00000026236-ENSBTAG00000019929`",18.2642388665299,"vivo",64
"`ENSBTAG00000015789-ENSBTAG00000011628`",14.304571972311,"vivo",64
"`ENSBTAG00000015789-ENSBTAG00000006732`",4.4128601057622,"vivo",64
"`ENSBTAG00000005250-ENSBTAG00000008008`",7.4712405583786,"vivo",64
"`ENSBTAG00000005250-ENSBTAG00000006240`",6.45678678383593,"vivo",64
"`ENSBTAG00000005111-ENSBTAG00000011909`",1.88395115345582,"vivo",64
"`ENSBTAG00000005111-ENSBTAG00000018105`",0.548058517368966,"vivo",64
"`ENSBTAG00000005111-ENSBTAG00000000231`",1.88395115345582,"vivo",64
"`ENSBTAG00000005111-ENSBTAG00000002081`",1.13037069207349,"vivo",64
"`ENSBTAG00000005111-ENSBTAG00000006420`",7.38536205347472,"vivo",64
"`ENSBTAG00000005111-ENSBTAG00000008997`",9.81058361480878,"vivo",64
"`ENSBTAG00000003835-ENSBTAG00000000231`",0,"vivo",64
"`ENSBTAG00000003835-ENSBTAG00000002081`",3.04948893372716,"vivo",64
"`ENSBTAG00000003835-ENSBTAG00000006420`",4.85790261712537,"vivo",64
"`ENSBTAG00000015362-ENSBTAG00000011909`",18.6873724249901,"vivo",64
"`ENSBTAG00000015362-ENSBTAG00000018114`",2.26074138414699,"vivo",64
"`ENSBTAG00000015362-ENSBTAG00000018105`",15.6701468189837,"vivo",64
"`ENSBTAG00000015362-ENSBTAG00000000231`",13.3854427675964,"vivo",64
"`ENSBTAG00000015362-ENSBTAG00000002081`",0,"vivo",64
"`ENSBTAG00000015362-ENSBTAG00000006420`",2.71288966097638,"vivo",64
"`ENSBTAG00000015362-ENSBTAG00000008997`",11.1609224211297,"vivo",64
"`ENSBTAG00000004237-ENSBTAG00000011628`",0.535879439205212,"vivo",64
"`ENSBTAG00000004237-ENSBTAG00000010444`",9.23136065193352,"vivo",64
"`ENSBTAG00000007153-ENSBTAG00000012219`",0,"vivo",64
"`ENSBTAG00000006276-ENSBTAG00000047138`",5.62187015288541,"vivo",64
"`ENSBTAG00000017280-ENSBTAG00000039292`",27.8889310667255,"vivo",64
"`ENSBTAG00000017280-ENSBTAG00000037735`",13.343245185478,"vivo",64
"`ENSBTAG00000017280-ENSBTAG00000005397`",9.86089148042679,"vivo",64
"`ENSBTAG00000017280-ENSBTAG00000047793`",3.39111207622048,"vivo",64
"`ENSBTAG00000017280-ENSBTAG00000017060`",26.3883126809764,"vivo",64
"`ENSBTAG00000037533-ENSBTAG00000037735`",11.3188471209248,"vivo",64
