"feature","shap_importance","dataset","seed"
"ENSBTAG00000012398-ENSBTAG00000008008",0.000391666666666667,"vivo",64
"ENSBTAG00000020556-ENSBTAG00000018517",0,"vivo",64
"ENSBTAG00000023600-ENSBTAG00000005910",0.00141935344827586,"vivo",64
"ENSBTAG00000010123-ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000010123-ENSBTAG00000005903",0,"vivo",64
"ENSBTAG00000010123-ENSBTAG00000000736",0,"vivo",64
"ENSBTAG00000010123-ENSBTAG00000014269",0,"vivo",64
"ENSBTAG00000010123-ENSBTAG00000014611",0,"vivo",64
"ENSBTAG00000010123-ENSBTAG00000018517",0,"vivo",64
"ENSBTAG00000017753-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000017753-ENSBTAG00000015228",0,"vivo",64
"ENSBTAG00000017753-ENSBTAG00000015996",0,"vivo",64
"ENSBTAG00000017753-ENSBTAG00000004334",0,"vivo",64
"ENSBTAG00000017753-ENSBTAG00000020979",0,"vivo",64
"ENSBTAG00000017753-ENSBTAG00000020054",0,"vivo",64
"ENSBTAG00000018134-ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000018134-ENSBTAG00000010444",0,"vivo",64
"ENSBTAG00000007725-ENSBTAG00000012687",0,"vivo",64
"ENSBTAG00000045582-ENSBTAG00000002144",0.0005625390625,"vivo",64
"ENSBTAG00000045582-ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000034077-ENSBTAG00000003848",0,"vivo",64
"ENSBTAG00000034077-ENSBTAG00000017846",0.000188405172413793,"vivo",64
"ENSBTAG00000034077-ENSBTAG00000023731",0.000113333333333333,"vivo",64
"ENSBTAG00000034077-ENSBTAG00000018999",0.000152083333333333,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000002144",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000017981",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000007175",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000047138",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000012314",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000016948",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000019903",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000020704",0,"vivo",64
"ENSBTAG00000008027-ENSBTAG00000017489",0,"vivo",64
"ENSBTAG00000026236-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000015789-ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000015789-ENSBTAG00000006732",0,"vivo",64
"ENSBTAG00000005250-ENSBTAG00000008008",0.000237083333333333,"vivo",64
"ENSBTAG00000005250-ENSBTAG00000006240",0,"vivo",64
"ENSBTAG00000005111-ENSBTAG00000011909",0,"vivo",64
"ENSBTAG00000005111-ENSBTAG00000018105",0,"vivo",64
"ENSBTAG00000005111-ENSBTAG00000000231",0.000316730769230769,"vivo",64
"ENSBTAG00000005111-ENSBTAG00000002081",0,"vivo",64
"ENSBTAG00000005111-ENSBTAG00000006420",0,"vivo",64
"ENSBTAG00000005111-ENSBTAG00000008997",0,"vivo",64
"ENSBTAG00000003835-ENSBTAG00000000231",0,"vivo",64
"ENSBTAG00000003835-ENSBTAG00000002081",0,"vivo",64
"ENSBTAG00000003835-ENSBTAG00000006420",0,"vivo",64
"ENSBTAG00000015362-ENSBTAG00000011909",0,"vivo",64
"ENSBTAG00000015362-ENSBTAG00000018114",0,"vivo",64
"ENSBTAG00000015362-ENSBTAG00000018105",0,"vivo",64
"ENSBTAG00000015362-ENSBTAG00000000231",0,"vivo",64
"ENSBTAG00000015362-ENSBTAG00000002081",0,"vivo",64
"ENSBTAG00000015362-ENSBTAG00000006420",0,"vivo",64
"ENSBTAG00000015362-ENSBTAG00000008997",0,"vivo",64
"ENSBTAG00000004237-ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000004237-ENSBTAG00000010444",0,"vivo",64
"ENSBTAG00000007153-ENSBTAG00000012219",0.000230648148148148,"vivo",64
"ENSBTAG00000006276-ENSBTAG00000047138",0,"vivo",64
"ENSBTAG00000017280-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000017280-ENSBTAG00000037735",0,"vivo",64
"ENSBTAG00000017280-ENSBTAG00000005397",0,"vivo",64
"ENSBTAG00000017280-ENSBTAG00000047793",0,"vivo",64
"ENSBTAG00000017280-ENSBTAG00000017060",0,"vivo",64
"ENSBTAG00000037533-ENSBTAG00000037735",0.000515,"vivo",64
"ENSBTAG00000009876-ENSBTAG00000006420",0.0009125,"vivo",64
"ENSBTAG00000009876-ENSBTAG00000020736",0.000845833333333333,"vivo",64
"ENSBTAG00000012210-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000012210-ENSBTAG00000037735",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000020661",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000014600",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000026813",0.0023195736260454,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000010785",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000014773",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000012687",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000004588",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000010986",0.000210714285714286,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000020667",0.000469074074074074,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000014567",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000012100",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000004337",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000011050",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000011425",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000011515",0,"vivo",64
"ENSBTAG00000025644-ENSBTAG00000019021",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000020661",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000014600",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000026813",0.00144953663793103,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000012687",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000010986",0.000358426724137931,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000020667",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000014567",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000012100",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000004337",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000011050",0,"vivo",64
"ENSBTAG00000014583-ENSBTAG00000011515",0,"vivo",64
"ENSBTAG00000015114-ENSBTAG00000008165",0,"vivo",64
"ENSBTAG00000015114-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000015114-ENSBTAG00000017489",0,"vivo",64
"ENSBTAG00000004129-ENSBTAG00000003220",0,"vivo",64
"ENSBTAG00000004129-ENSBTAG00000014162",0,"vivo",64
"ENSBTAG00000004129-ENSBTAG00000001338",0,"vivo",64
"ENSBTAG00000004129-ENSBTAG00000014798",0,"vivo",64
"ENSBTAG00000010738-ENSBTAG00000003220",0,"vivo",64
"ENSBTAG00000010738-ENSBTAG00000014162",0.000373958333333333,"vivo",64
"ENSBTAG00000010738-ENSBTAG00000019428",0,"vivo",64
"ENSBTAG00000010738-ENSBTAG00000001338",0.000642083333333333,"vivo",64
"ENSBTAG00000021326-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000021326-ENSBTAG00000014798",0,"vivo",64
"ENSBTAG00000010161-ENSBTAG00000014162",0,"vivo",64
"ENSBTAG00000010161-ENSBTAG00000039292",0.00013,"vivo",64
"ENSBTAG00000010161-ENSBTAG00000015133",0,"vivo",64
"ENSBTAG00000005581-ENSBTAG00000014162",0,"vivo",64
"ENSBTAG00000005581-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000025257-ENSBTAG00000014162",0,"vivo",64
"ENSBTAG00000025257-ENSBTAG00000019428",0,"vivo",64
"ENSBTAG00000025257-ENSBTAG00000001338",0,"vivo",64
"ENSBTAG00000014113-ENSBTAG00000014162",0,"vivo",64
"ENSBTAG00000014113-ENSBTAG00000019428",0,"vivo",64
"ENSBTAG00000014113-ENSBTAG00000001338",0,"vivo",64
"ENSBTAG00000014113-ENSBTAG00000003220",0,"vivo",64
"ENSBTAG00000010562-ENSBTAG00000011515",0,"vivo",64
"ENSBTAG00000010562-ENSBTAG00000020755",0,"vivo",64
"ENSBTAG00000017866-ENSBTAG00000006240",0,"vivo",64
"ENSBTAG00000017866-ENSBTAG00000014031",0,"vivo",64
"ENSBTAG00000011238-ENSBTAG00000017256",0,"vivo",64
"ENSBTAG00000006984-ENSBTAG00000021818",0.000348333333333333,"vivo",64
"ENSBTAG00000040131-ENSBTAG00000017256",0,"vivo",64
"ENSBTAG00000022514-ENSBTAG00000013730",0,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000021190",0.00431980039208001,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000010444",0.0147144653524492,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000021527",0,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000018993",0.00034,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000005903",0.000386458333333333,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000000253",0,"vivo",64
"ENSBTAG00000015991-ENSBTAG00000024015",0,"vivo",64
"ENSBTAG00000017564-ENSBTAG00000017846",0,"vivo",64
"ENSBTAG00000017564-ENSBTAG00000000561",0,"vivo",64
"ENSBTAG00000017564-ENSBTAG00000018035",0,"vivo",64
"ENSBTAG00000017564-ENSBTAG00000019832",0,"vivo",64
"ENSBTAG00000021302-ENSBTAG00000019289",0.000990100806451613,"vivo",64
"ENSBTAG00000021302-ENSBTAG00000015910",0.00164848348147355,"vivo",64
"ENSBTAG00000021217-ENSBTAG00000010682",0.00605355275101243,"vivo",64
"ENSBTAG00000021217-ENSBTAG00000019289",0.0160287907174485,"vivo",64
"ENSBTAG00000021217-ENSBTAG00000015910",0.00311875,"vivo",64
"ENSBTAG00000023907-ENSBTAG00000015996",0,"vivo",64
"ENSBTAG00000023907-ENSBTAG00000020644",0,"vivo",64
"ENSBTAG00000023907-ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000023907-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000023907-ENSBTAG00000013755",0,"vivo",64
"ENSBTAG00000023907-ENSBTAG00000000782",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000017866",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000011578",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000010682",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000004885",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000001462",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000013745",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000013103-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000013472-ENSBTAG00000017866",0,"vivo",64
"ENSBTAG00000013472-ENSBTAG00000011578",0,"vivo",64
"ENSBTAG00000013472-ENSBTAG00000001462",4e-04,"vivo",64
"ENSBTAG00000013472-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000013472-ENSBTAG00000008165",0,"vivo",64
"ENSBTAG00000013472-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000013472-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000013155-ENSBTAG00000010682",0,"vivo",64
"ENSBTAG00000013155-ENSBTAG00000008373",0,"vivo",64
"ENSBTAG00000013155-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000013155-ENSBTAG00000008165",0,"vivo",64
"ENSBTAG00000013155-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000021466-ENSBTAG00000010682",0,"vivo",64
"ENSBTAG00000021466-ENSBTAG00000004885",0,"vivo",64
"ENSBTAG00000021466-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000021466-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000012849-ENSBTAG00000003585",0,"vivo",64
"ENSBTAG00000012849-ENSBTAG00000019289",0.000178136373035566,"vivo",64
"ENSBTAG00000012849-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000012849-ENSBTAG00000015910",5.36538461538461e-05,"vivo",64
"ENSBTAG00000025210-ENSBTAG00000013755",0,"vivo",64
"ENSBTAG00000021316-ENSBTAG00000003585",0,"vivo",64
"ENSBTAG00000021316-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000021316-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000021316-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000014575-ENSBTAG00000003585",0.000479166666666667,"vivo",64
"ENSBTAG00000014575-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000014575-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000014575-ENSBTAG00000015910",0.000359642857142857,"vivo",64
"ENSBTAG00000013760-ENSBTAG00000003585",0,"vivo",64
"ENSBTAG00000013760-ENSBTAG00000019289",7.33333333333333e-05,"vivo",64
"ENSBTAG00000013760-ENSBTAG00000019929",0,"vivo",64
"ENSBTAG00000013760-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000010179-ENSBTAG00000026676",0,"vivo",64
"ENSBTAG00000011802-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000011802-ENSBTAG00000017266",0,"vivo",64
"ENSBTAG00000011802-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000019269-ENSBTAG00000019289",0,"vivo",64
"ENSBTAG00000019269-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000004630-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000012164-ENSBTAG00000010498",0.0035875,"vivo",64
"ENSBTAG00000000283-ENSBTAG00000012771",0,"vivo",64
"ENSBTAG00000001725-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000001725-ENSBTAG00000001338",0,"vivo",64
"ENSBTAG00000001725-ENSBTAG00000014798",0,"vivo",64
"ENSBTAG00000001725-ENSBTAG00000015127",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000018424",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000034883",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000003255",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000014798",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000001060",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000015910",0,"vivo",64
"ENSBTAG00000005077-ENSBTAG00000015127",0,"vivo",64
"ENSBTAG00000031998-ENSBTAG00000039292",0.00055823275862069,"vivo",64
"ENSBTAG00000031998-ENSBTAG00000015708",0.000373605769230769,"vivo",64
"ENSBTAG00000037778-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000009812-ENSBTAG00000003220",0,"vivo",64
"ENSBTAG00000009812-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000019716-ENSBTAG00000003220",0.000535416666666667,"vivo",64
"ENSBTAG00000019716-ENSBTAG00000039292",0,"vivo",64
"ENSBTAG00000003505-ENSBTAG00000011628",0,"vivo",64
"ENSBTAG00000003505-ENSBTAG00000006161",0,"vivo",64
"ENSBTAG00000014218-ENSBTAG00000005903",0,"vivo",64
"ENSBTAG00000014218-ENSBTAG00000011761",0,"vivo",64
"ENSBTAG00000005850-ENSBTAG00000022799",0,"vivo",64
"ENSBTAG00000010361-ENSBTAG00000022799",0,"vivo",64
"ENSBTAG00000012829-ENSBTAG00000016933",0,"vivo",64
