"dataset","seed","accuracy","kappa"
"vivo",64,0.625,0.25
"vitro",64,0.5625,0.125
"vivo",28,0.625,0.25
"vitro",28,0.53125,0.0625
"vivo",21,0.59375,0.1875
"vitro",21,0.8125,0.625
"vivo",94,0.625,0.25
"vitro",94,0.625,0.25
"vivo",41,0.46875,-0.0625
"vitro",41,0.6875,0.375
"vivo",12,0.5,0
"vitro",12,0.78125,0.5625
"vivo",53,0.65625,0.3125
"vitro",53,0.6875,0.375
"vivo",22,0.5,0
"vitro",22,0.625,0.25
"vivo",17,0.53125,0.0625
"vitro",17,0.46875,-0.0625
"vivo",62,0.59375,0.1875
"vitro",62,0.625,0.25
