"dataset","seed","accuracy","kappa"
"vivo",746,0.6875,0.375
"vitro",746,0.625,0.25
"vivo",213,0.84375,0.6875
"vitro",213,0.53125,0.0625
"vivo",409,0.6875,0.375
"vitro",409,0.65625,0.3125
"vivo",228,0.625,0.25
"vitro",228,0.5,0
"vivo",158,0.84375,0.6875
"vitro",158,0.28125,-0.4375
"vivo",777,0.6875,0.375
"vitro",777,0.5,0
"vivo",222,0.71875,0.4375
"vitro",222,0.53125,0.0625
"vivo",983,0.78125,0.5625
"vitro",983,0.75,0.5
"vivo",335,0.6875,0.375
"vitro",335,0.40625,-0.1875
"vivo",381,0.875,0.75
"vitro",381,0.59375,0.1875
