"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.635625,0.132450021544244,0.27125,0.264900043088488,0.74,0.136028844176069
"vivo",0.6278125,0.144001961331866,0.255625,0.288003922663732,0.71908203125,0.13558843926664
