"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.653125,0.120311372649841,0.30625,0.240622745299682,0.72890625,0.126214968077384
"vivo",0.65,0.115102988304677,0.3,0.230205976609354,0.72158203125,0.142068457696378
