"feature","shap_importance","dataset","seed"
"ENSBTAG00000003835-ENSBTAG00000000231",0,"vivo",893
"ENSBTAG00000003835-ENSBTAG00000002081",0,"vivo",893
"ENSBTAG00000003835-ENSBTAG00000006420",0,"vivo",893
"ENSBTAG00000015362-ENSBTAG00000011909",0.017946837350663,"vivo",893
"ENSBTAG00000015362-ENSBTAG00000018114",0.0224348976915941,"vivo",893
"ENSBTAG00000015362-ENSBTAG00000018105",0.0172072260110597,"vivo",893
"ENSBTAG00000015362-ENSBTAG00000000231",0.0191452426579606,"vivo",893
"ENSBTAG00000015362-ENSBTAG00000002081",0.000358949829931973,"vivo",893
"ENSBTAG00000015362-ENSBTAG00000006420",0.018457236486353,"vivo",893
"ENSBTAG00000015362-ENSBTAG00000008997",0.0155354383877792,"vivo",893
"ENSBTAG00000004237-ENSBTAG00000011628",0,"vivo",893
"ENSBTAG00000004237-ENSBTAG00000010444",0,"vivo",893
"ENSBTAG00000007153-ENSBTAG00000012219",0,"vivo",893
"ENSBTAG00000006276-ENSBTAG00000047138",0,"vivo",893
"ENSBTAG00000017280-ENSBTAG00000039292",0,"vivo",893
"ENSBTAG00000017280-ENSBTAG00000037735",0,"vivo",893
"ENSBTAG00000017280-ENSBTAG00000005397",0,"vivo",893
"ENSBTAG00000017280-ENSBTAG00000047793",0,"vivo",893
"ENSBTAG00000017280-ENSBTAG00000017060",0,"vivo",893
"ENSBTAG00000037533-ENSBTAG00000037735",0,"vivo",893
"ENSBTAG00000009876-ENSBTAG00000006420",0,"vivo",893
"ENSBTAG00000009876-ENSBTAG00000020736",0,"vivo",893
"ENSBTAG00000012210-ENSBTAG00000039292",0,"vivo",893
"ENSBTAG00000012210-ENSBTAG00000037735",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000020661",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000014600",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000026813",0.000725998409580117,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000011628",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000010785",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000014773",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000012687",0.000223763331090012,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000004588",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000010986",0.0476052434053774,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000020667",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000014567",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000012100",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000004337",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000011050",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000011425",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000011515",0,"vivo",893
"ENSBTAG00000025644-ENSBTAG00000019021",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000020661",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000014600",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000026813",0.000739350273921044,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000011628",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000012687",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000010986",0.0673619891114595,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000020667",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000014567",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000012100",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000004337",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000011050",0,"vivo",893
"ENSBTAG00000014583-ENSBTAG00000011515",0,"vivo",893
"ENSBTAG00000015114-ENSBTAG00000008165",0,"vivo",893
"ENSBTAG00000015114-ENSBTAG00000019929",0,"vivo",893
"ENSBTAG00000015114-ENSBTAG00000017489",0,"vivo",893
