"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000014556-ENSBTAG00000026676",3.90922348883206,13.5111377465823
"vitro","ENSBTAG00000017473-ENSBTAG00000015910",3.89727994259265,11.8242298854504
"vitro","ENSBTAG00000017473-ENSBTAG00000019289",3.88493385312976,11.8195979110418
"vitro","ENSBTAG00000012817-ENSBTAG00000007909",3.82538454298563,11.8113570459278
"vitro","ENSBTAG00000008237-ENSBTAG00000013205",3.73168296588792,13.0653878428387
"vitro","ENSBTAG00000021466-ENSBTAG00000004885",3.69891470721468,14.3079508799236
"vitro","ENSBTAG00000032436-ENSBTAG00000010444",3.68031733392657,12.2292721445959
"vitro","ENSBTAG00000001764-ENSBTAG00000021190",3.66488461075034,9.06682984449607
"vitro","ENSBTAG00000038735-ENSBTAG00000016948",3.64551153930946,9.17078592538273
"vitro","ENSBTAG00000021048-ENSBTAG00000016948",3.63207829418781,11.9055722553882
"vitro","ENSBTAG00000004630-ENSBTAG00000019929",3.59544828425814,11.2787239090999
"vitro","ENSBTAG00000010663-ENSBTAG00000019929",3.59489232927905,10.5467239272451
"vitro","ENSBTAG00000011741-ENSBTAG00000015910",3.54945516084893,12.5291749248221
"vitro","ENSBTAG00000000277-ENSBTAG00000011238",3.53852457951923,12.644695191847
"vitro","ENSBTAG00000012398-ENSBTAG00000008008",3.53016497995205,13.5853754463841
"vitro","ENSBTAG00000015789-ENSBTAG00000006732",3.41778906803766,12.524245449487
"vitro","ENSBTAG00000022120-ENSBTAG00000017060",3.39270760947793,10.1709638180471
"vitro","ENSBTAG00000014583-ENSBTAG00000014567",3.37036327937056,12.4353449584719
"vitro","ENSBTAG00000017664-ENSBTAG00000015910",3.35564720978365,11.6223653262243
"vitro","ENSBTAG00000021457-ENSBTAG00000023147",3.33772477845136,10.1195483875355
"vitro","ENSBTAG00000005108-ENSBTAG00000015996",3.32959884673828,12.0200209441307
"vitro","ENSBTAG00000013155-ENSBTAG00000019289",3.32352397633778,11.9395574864742
"vitro","ENSBTAG00000023652-ENSBTAG00000005828",3.30036225141462,9.56661681862727
