"feature","importance"
"ENSBTAG00000020457-ENSBTAG00000008997",0.125
"ENSBTAG00000012849-ENSBTAG00000003585",0.0625
"ENSBTAG00000000575-ENSBTAG00000015910",0.0625
"ENSBTAG00000005339-ENSBTAG00000015910",0.0625
"ENSBTAG00000020457-ENSBTAG00000015910",0.0625
"ENSBTAG00000039355-ENSBTAG00000011515",0.0625
"ENSBTAG00000019839-ENSBTAG00000015910",0.03125
"ENSBTAG00000000442-ENSBTAG00000007348",0.03125
"ENSBTAG00000003253-ENSBTAG00000007665",0.03125
"ENSBTAG00000010161-ENSBTAG00000015133",0.03125
"ENSBTAG00000015991-ENSBTAG00000024015",0.03125
"ENSBTAG00000019604-ENSBTAG00000009851",0.03125
"ENSBTAG00000021048-ENSBTAG00000020704",0.03125
"ENSBTAG00000009393-ENSBTAG00000039292",0.03125
"ENSBTAG00000000575-ENSBTAG00000012119",0.03125
"ENSBTAG00000020645-ENSBTAG00000010860",0
"ENSBTAG00000038735-ENSBTAG00000019903",0
"ENSBTAG00000012829-ENSBTAG00000016933",0
"ENSBTAG00000011412-ENSBTAG00000019929",0
"ENSBTAG00000021945-ENSBTAG00000011741",0
"ENSBTAG00000017664-ENSBTAG00000015910",0
"ENSBTAG00000017664-ENSBTAG00000019712",0
"ENSBTAG00000020556-ENSBTAG00000017033",0
"ENSBTAG00000001725-ENSBTAG00000039292",0
"ENSBTAG00000005108-ENSBTAG00000009851",0
"ENSBTAG00000047567-ENSBTAG00000019866",0
"ENSBTAG00000024394-ENSBTAG00000019866",0
"ENSBTAG00000014921-ENSBTAG00000017745",0
"ENSBTAG00000014465-ENSBTAG00000019929",0
"ENSBTAG00000007737-ENSBTAG00000002081",0
"ENSBTAG00000016177-ENSBTAG00000011628",0
"ENSBTAG00000013191-ENSBTAG00000019929",0
"ENSBTAG00000013688-ENSBTAG00000011971",0
"ENSBTAG00000013898-ENSBTAG00000047704",0
"ENSBTAG00000005339-ENSBTAG00000001694",0
"ENSBTAG00000005850-ENSBTAG00000022799",0
"ENSBTAG00000019866-ENSBTAG00000009851",0
"ENSBTAG00000010452-ENSBTAG00000011515",0
"ENSBTAG00000006295-ENSBTAG00000020704",0
"ENSBTAG00000002006-ENSBTAG00000003585",0
"ENSBTAG00000005111-ENSBTAG00000008997",0
"ENSBTAG00000014051-ENSBTAG00000015910",0
"ENSBTAG00000010726-ENSBTAG00000012314",0
"ENSBTAG00000014051-ENSBTAG00000020148",0
"ENSBTAG00000013718-ENSBTAG00000005072",0
"ENSBTAG00000005111-ENSBTAG00000002081",0
"ENSBTAG00000004630-ENSBTAG00000003585",0
"ENSBTAG00000023652-ENSBTAG00000003166",0
"ENSBTAG00000000575-ENSBTAG00000020679",0
"ENSBTAG00000007737-ENSBTAG00000006378",0
"ENSBTAG00000017664-ENSBTAG00000011154",0
"ENSBTAG00000005108-ENSBTAG00000015996",-0.03125
"ENSBTAG00000007737-ENSBTAG00000011909",-0.03125
"ENSBTAG00000005947-ENSBTAG00000015910",-0.03125
"ENSBTAG00000014218-ENSBTAG00000011761",-0.03125
"ENSBTAG00000005339-ENSBTAG00000007213",-0.03125
"ENSBTAG00000032808-ENSBTAG00000010785",-0.03125
"ENSBTAG00000012057-ENSBTAG00000005072",-0.03125
"ENSBTAG00000001492-ENSBTAG00000007213",-0.03125
"ENSBTAG00000013003-ENSBTAG00000012687",-0.03125
