"NOT_PREGNANT","PREGNANT"
100,100
95.221843003413,95.221843003413
87.7133105802048,87.7133105802048
82.5938566552902,82.5938566552902
68.9419795221844,68.9419795221844
50.5119453924914,50.5119453924914
43.0034129692833,43.0034129692833
40.2730375426621,40.2730375426621
34.1296928327646,34.1296928327646
28.6689419795222,28.6689419795222
28.6689419795222,28.6689419795222
25.5972696245734,25.5972696245734
25.0853242320819,25.0853242320819
23.8907849829351,23.8907849829351
21.5017064846416,21.5017064846416
17.4061433447099,17.4061433447099
15.3583617747441,15.3583617747441
14.3344709897611,14.3344709897611
14.3344709897611,14.3344709897611
10.2389078498293,10.2389078498293
7.50853242320817,7.50853242320817
3.5836177474403,3.5836177474403
2.04778156996585,2.04778156996585
1.02389078498297,1.02389078498297
0,0
