"Sample","ENSBTAG00000012817-ENSBTAG00000007909","ENSBTAG00000012817-ENSBTAG00000022799","ENSBTAG00000015991-ENSBTAG00000021190","ENSBTAG00000012817-ENSBTAG00000005397","ENSBTAG00000016800-ENSBTAG00000000782","ENSBTAG00000014583-ENSBTAG00000010986","ENSBTAG00000014737-ENSBTAG00000000782","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000005339-ENSBTAG00000011628","ENSBTAG00000038045-ENSBTAG00000018572","ENSBTAG00000007446-ENSBTAG00000015591","ENSBTAG00000019866-ENSBTAG00000000782","ENSBTAG00000009357-ENSBTAG00000012119","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000021697-ENSBTAG00000019929","ENSBTAG00000015991-ENSBTAG00000010444","ENSBTAG00000002317-ENSBTAG00000012119","ENSBTAG00000015362-ENSBTAG00000002081","ENSBTAG00000032436-ENSBTAG00000010444","ENSBTAG00000008027-ENSBTAG00000017981","ENSBTAG00000015089-ENSBTAG00000023144","ENSBTAG00000023600-ENSBTAG00000005910","ENSBTAG00000008027-ENSBTAG00000007175","ENSBTAG00000005111-ENSBTAG00000002081","ENSBTAG00000012398-ENSBTAG00000014357"
"Zo_NP_3.NP_Hols_7",23.4986875249056,17.9253140807163,71.8452423783902,21.0212210493019,59.3749239103689,62.6679525049526,15.4238218185662,68.220330506497,58.4666376162297,10.4252594190683,68.9920600641668,15.4238218185662,12.1353162658223,14.2070058330542,18.4661253805875,87.7548421770879,12.1353162658223,12.1166565162073,90.7442235973837,7.06936369174073,75.614811663739,15.6975888787227,7.87703885633351,50.5215584697903,19.1600676127221
"Zo_NP_10.NP_Hols_7",95.0785812485961,72.5280264875914,71.6636689180474,85.0544470350702,57.2328652989697,61.2987692590995,15.4238218185662,66.4096557872757,60.504529405423,10.4252594190683,20.5489576164746,15.4238218185662,12.1353162658223,14.2070058330542,18.4661253805875,87.5330606112048,58.5126375275698,12.1166565162073,90.1875375056554,11.3298974200719,70.9082883100728,15.6975888787227,12.6243387817841,44.6481438221004,19.1600676127221
"Zo_NP_11.NP_Hols_7",96.8054308974343,73.845305262961,72.7462477507587,86.5992349364653,15.4238218185662,63.985978060167,15.4238218185662,68.9328737326317,63.8207050442639,10.4252594190683,20.5489576164746,15.4238218185662,12.1353162658223,14.2070058330542,18.4661253805875,88.8553685534411,12.1353162658223,40.0296849891022,92.3918894100289,7.06936369174073,76.8078866317809,15.6975888787227,7.87703885633351,55.5416176918698,19.1600676127221
"Zo_NP_13.NP_Hols_7",84.8108026252852,64.6955398204513,71.437911544604,75.869200246408,65.8547945993757,63.2247662001235,15.4238218185662,67.362563691746,54.9579925901417,10.4252594190683,20.5489576164746,15.4238218185662,12.1353162658223,14.2070058330542,18.4661253805875,87.2573109300708,51.425848174997,51.8745241599921,90.7539199435203,7.06936369174073,75.7388799249651,15.6975888787227,7.87703885633351,57.9223985462082,19.1600676127221
"Zo_NP_14.NP_Hols_7",98.7828742225316,75.3537423891458,71.0259543333437,88.3681964244326,60.122804034402,62.5170902572739,15.4238218185662,68.0365785751301,62.0447017810423,10.4252594190683,20.5489576164746,38.7382159666244,12.1353162658223,14.2070058330542,18.4661253805875,86.7541288283602,55.8548901934574,12.1166565162073,91.7871238203918,7.06936369174073,75.3702250734182,15.6975888787227,7.87703885633351,52.6293944283734,19.1600676127221
"SW_NP_3.NP_Hols_7",98.3838368893495,75.0493479620256,70.5486414601916,88.0112295947382,70.3182484827945,62.7860558213529,15.4238218185662,67.0896367248677,57.6904339344466,10.4252594190683,20.5489576164746,15.4238218185662,12.1353162658223,14.2070058330542,18.4661253805875,86.1711185347635,47.0418115501824,12.1166565162073,88.538592733379,7.06936369174073,73.8092341477444,15.6975888787227,7.87703885633351,54.374413474743,19.1600676127221
"SW_NP_5.NP_Hols_7",87.4163088756109,66.6830771170283,70.9197931790407,78.20000798941,60.5304114200756,60.2846343982218,15.4238218185662,67.4075025628325,57.9621896061293,10.4252594190683,20.5489576164746,15.4238218185662,12.1353162658223,14.2070058330542,18.4661253805875,86.6244590682927,22.8743086978549,24.8213773347238,90.253955707146,28.5906714826918,73.2362665358978,15.6975888787227,31.8571571669098,54.3439820373961,19.1600676127221
"Zo_PR_2.PR_Hols_2",104.499875833353,82.7645788603738,82.3136861064295,93.3800077386181,74.7859400576082,59.5258597538655,16.2323123093275,64.0780823407845,51.1232488035363,11.1197240332285,19.2656522093799,55.6147637734165,14.8393471040843,15.4818309431243,79.4001175500282,86.8755920951871,72.9633267218257,64.5044966354662,91.7572785749579,21.1346972214402,77.5893645789912,55.8002852449824,20.1836288900268,67.5655366900231,21.1975642132638
"Zo_PR_3.PR_Hols_2",113.532817588169,89.9187272672094,84.3545031808896,101.451751022911,80.5323620014195,58.8487295581885,16.2323123093275,63.9823370966024,56.982502081158,46.1973600773893,19.2656522093799,70.4808146244839,14.8393471040843,50.5402850544994,77.9492219623281,89.0295132726745,69.6258677219351,51.0664108897074,92.1660421077904,39.0235888741174,79.0033697485254,16.3102707586525,37.2675145302361,62.9950684824227,21.1975642132638
"SW_PR_1.PR_Hols_2",102.643381292429,81.2942231531466,83.3899830763944,91.7210634268126,74.1243612939857,60.87754977693,16.2323123093275,65.6113318522885,56.9497674901257,11.1197240332285,19.2656522093799,16.2323123093275,14.8393471040843,15.4818309431243,19.3249757517644,88.011538508947,63.392610364243,14.4021425063078,91.2815230972227,8.47926284822058,81.302488336948,16.3102707586525,8.09769322911612,68.2814034627389,21.1975642132638
