"Sample","ENSBTAG00000020556-ENSBTAG00000018517","ENSBTAG00000010123-ENSBTAG00000018517","ENSBTAG00000000283-ENSBTAG00000012771","ENSBTAG00000008300-ENSBTAG00000011741","ENSBTAG00000009357-ENSBTAG00000012771","ENSBTAG00000000016-ENSBTAG00000016455","ENSBTAG00000020645-ENSBTAG00000011628","ENSBTAG00000020645-ENSBTAG00000021527","ENSBTAG00000014113-ENSBTAG00000019428","ENSBTAG00000008300-ENSBTAG00000033669","ENSBTAG00000008300-ENSBTAG00000015910","ENSBTAG00000001764-ENSBTAG00000021190","ENSBTAG00000000073-ENSBTAG00000014611","ENSBTAG00000007737-ENSBTAG00000011628","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000019665-ENSBTAG00000005273","ENSBTAG00000020645-ENSBTAG00000011461","ENSBTAG00000003658-ENSBTAG00000018517","ENSBTAG00000006354-ENSBTAG00000017060","ENSBTAG00000025257-ENSBTAG00000019428"
"Zo_IVT_NP_6.NP_Hols_7",50.9083502833131,49.9059108020233,55.3557984378247,103.579162605827,56.8764679333681,85.8527971292146,66.43842740432,63.1209916710884,34.1996077035389,83.4427969836872,160.03988455412,58.4906740273781,99.4277983474714,71.1254483410077,53.1382088052634,85.745503784095,63.0764827382789,46.9384755049899,59.1251629406398,32.4290162310825
"Zo_IVT_NP_15.NP_Hols_7",50.9083502833131,49.9059108020233,55.3557984378247,105.803954935275,56.8764679333681,85.8527971292146,68.4570289574677,65.0387994338772,34.1996077035389,85.2350773034603,163.477405177035,58.4906740273781,98.2138157951098,72.4460422584211,54.2795723418703,86.6255435024582,64.9929381842774,46.9384755049899,59.1251629406398,32.4290162310825
"Zo_IVT_NP_21.NP_Hols_7",50.9083502833131,49.9059108020233,55.3557984378247,106.368447378408,56.8764679333681,85.8527971292146,68.5020809731928,65.0816018905344,34.1996077035389,85.6898292742833,164.349600927202,58.4906740273781,100.698406352335,70.3797230670946,54.5691684011313,84.6974748944935,65.0357104593483,46.9384755049899,59.1251629406398,32.4290162310825
"Zo_IVT_NP_28.NP_Hols_7",50.9083502833131,49.9059108020233,55.3557984378247,108.660930534288,56.8764679333681,85.8527971292146,67.5972486266218,64.221950070902,34.1996077035389,87.5366409471347,167.891710463321,58.4906740273781,96.5302538140671,72.4808267128138,55.745258703032,83.8338736111346,64.1766648118318,46.9384755049899,59.1251629406398,32.4290162310825
"SW_IVT_NP_1.NP_Hols_7",49.0371379605364,50.4572483628439,52.9977739300234,104.93852920534,40.980800164535,85.5913773731144,64.9085168601931,61.6674733611854,36.2351104278154,84.537895151465,162.140238217731,52.4901602477337,96.8930381904849,68.6860727767788,53.8355914099358,81.980220447086,61.6239893575964,47.7966480635263,47.5140153237839,35.2670961195407
"Zo_IVT_NP_6.NP_Hols_11",50.4378413132744,49.444666653281,51.327391793807,99.9086045991414,52.7373976322074,79.9357235514056,70.1305990148476,63.5750757334899,33.6158670536925,84.3079034083884,160.536774053159,51.8640020421158,106.367874871688,75.0780909818785,54.7692886519021,83.819946957535,59.8721775630296,46.5046572091282,55.4547188511292,31.8754971623052
"Zo_IVT_NP_15.NP_Hols_11",50.4378413132744,49.444666653281,51.327391793807,102.054556464034,52.7373976322074,79.9357235514056,72.2613799743823,65.5066799515747,33.6158670536925,86.1187654784809,163.98496743996,51.8640020421158,105.06915613938,76.4720740441197,55.9456863965507,84.6802239313512,61.6912764692028,46.5046572091282,55.4547188511292,31.8754971623052
"Zo_IVT_NP_21.NP_Hols_11",50.4378413132744,49.444666653281,51.327391793807,102.599044861907,52.7373976322074,79.9357235514056,72.3089356582397,65.5497903234419,33.6158670536925,86.5782321624466,164.85987117077,51.8640020421158,107.727171522309,74.2909236420832,56.2441716206245,82.7954532866184,61.7318758992382,46.5046572091282,55.4547188511292,31.8754971623052
"Zo_IVT_NP_28.NP_Hols_11",50.4378413132744,49.444666653281,51.327391793807,104.81028877824,52.7373976322074,79.9357235514056,71.3538192150575,64.6839542823615,33.6158670536925,88.4441909480645,168.412978196908,51.8640020421158,103.268081257761,76.5087915691767,57.4563620702793,81.9512455956137,60.9164700409842,46.5046572091282,55.4547188511292,31.8754971623052
"SW_IVT_NP_1.NP_Hols_11",48.5839232492552,49.9909086007799,49.1409677662094,101.219799019711,37.998505042455,79.6923211457385,68.5156670080166,62.1111010051837,35.616626523212,85.4143551800106,162.643648864186,46.543313503366,103.656188042761,72.5031524075433,55.4880774487939,80.1392192731672,58.4934713032309,47.354898300933,44.5643822396571,34.6651348986555
