"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.84375,NA,0.6875,NA,0.8125,NA
"vivo",0.4375,NA,-0.125,NA,0.4921875,NA
