"dataset","feature","mean_importance","sd_importance"
"vitro","ENSBTAG00000012817.ENSBTAG00000007909",5.04677908088148,NA
"vitro","ENSBTAG00000000442.ENSBTAG00000007348",4.99522547745059,NA
"vitro","ENSBTAG00000007740.ENSBTAG00000013320",4.95582782688725,NA
"vitro","ENSBTAG00000011034.ENSBTAG00000020148",4.86683058901169,NA
"vitro","ENSBTAG00000021105.ENSBTAG00000000477",4.82316766934559,NA
"vitro","ENSBTAG00000005947.ENSBTAG00000018517",4.7247137135296,NA
"vitro","ENSBTAG00000015114.ENSBTAG00000019929",4.64990878322753,NA
"vitro","ENSBTAG00000012829.ENSBTAG00000017745",4.62892506387908,NA
"vitro","ENSBTAG00000008096.ENSBTAG00000019733",4.60283426355513,NA
"vitro","ENSBTAG00000025471.ENSBTAG00000010497",4.10737271830242,NA
"vitro","ENSBTAG00000007446.ENSBTAG00000003060",4.02247403135818,NA
"vitro","ENSBTAG00000010663.ENSBTAG00000019929",3.91968904364098,NA
"vitro","ENSBTAG00000014921.ENSBTAG00000017745",3.8723176428553,NA
"vitro","ENSBTAG00000032436.ENSBTAG00000006161",3.83206064756134,NA
"vitro","ENSBTAG00000013472.ENSBTAG00000019929",3.7664112115414,NA
"vitro","ENSBTAG00000010673.ENSBTAG00000006359",3.68278533006444,NA
"vitro","ENSBTAG00000023907.ENSBTAG00000020644",3.65224473469336,NA
"vitro","ENSBTAG00000005710.ENSBTAG00000015457",3.63078698444027,NA
"vitro","ENSBTAG00000023907.ENSBTAG00000019929",3.60844987298702,NA
"vitro","ENSBTAG00000014575.ENSBTAG00000019929",3.54575664575078,NA
"vitro","ENSBTAG00000038045.ENSBTAG00000018572",3.54112641030449,NA
"vitro","ENSBTAG00000005077.ENSBTAG00000009851",3.50679735907528,NA
"vitro","ENSBTAG00000005198.ENSBTAG00000014064",3.34971212110526,NA
"vitro","ENSBTAG00000004630.ENSBTAG00000015910",3.28907952124359,NA
"vitro","ENSBTAG00000013103.ENSBTAG00000019929",3.26653320836932,NA
"vitro","ENSBTAG00000011851.ENSBTAG00000002699",3.21626997055196,NA
