"Sample","ENSBTAG00000015043-ENSBTAG00000022799","ENSBTAG00000009212-ENSBTAG00000012314","ENSBTAG00000017745-ENSBTAG00000015361","ENSBTAG00000031998-ENSBTAG00000015708","ENSBTAG00000017280-ENSBTAG00000037735","ENSBTAG00000012817-ENSBTAG00000022799","ENSBTAG00000007338-ENSBTAG00000017593","ENSBTAG00000000310-ENSBTAG00000022799","ENSBTAG00000007338-ENSBTAG00000004917","ENSBTAG00000012529-ENSBTAG00000012899","ENSBTAG00000017549-ENSBTAG00000002699","ENSBTAG00000001292-ENSBTAG00000032007","ENSBTAG00000014737-ENSBTAG00000015910","ENSBTAG00000014737-ENSBTAG00000000782","ENSBTAG00000011409-ENSBTAG00000001941","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000017280-ENSBTAG00000039292","ENSBTAG00000001321-ENSBTAG00000013205","ENSBTAG00000007273-ENSBTAG00000012314","ENSBTAG00000017745-ENSBTAG00000010423","ENSBTAG00000010303-ENSBTAG00000007626","ENSBTAG00000014737-ENSBTAG00000000802","ENSBTAG00000010963-ENSBTAG00000000973","ENSBTAG00000015978-ENSBTAG00000039292","ENSBTAG00000017280-ENSBTAG00000005397","ENSBTAG00000001292-ENSBTAG00000034385","ENSBTAG00000010303-ENSBTAG00000017060","ENSBTAG00000017280-ENSBTAG00000047793","ENSBTAG00000010726-ENSBTAG00000025101","ENSBTAG00000014737-ENSBTAG00000037649","ENSBTAG00000015043-ENSBTAG00000007909","ENSBTAG00000022635-ENSBTAG00000012897","ENSBTAG00000010161-ENSBTAG00000015133","ENSBTAG00000005850-ENSBTAG00000022799","ENSBTAG00000010303-ENSBTAG00000020892","ENSBTAG00000006505-ENSBTAG00000006240","ENSBTAG00000017745-ENSBTAG00000016933","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000007273-ENSBTAG00000034385","ENSBTAG00000022635-ENSBTAG00000015910","ENSBTAG00000022635-ENSBTAG00000009757","ENSBTAG00000025775-ENSBTAG00000016948","ENSBTAG00000045582-ENSBTAG00000012314","ENSBTAG00000010303-ENSBTAG00000007103","ENSBTAG00000014737-ENSBTAG00000011971","ENSBTAG00000014737-ENSBTAG00000001462","ENSBTAG00000007273-ENSBTAG00000011738","ENSBTAG00000021457-ENSBTAG00000011986","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000008300-ENSBTAG00000015910","ENSBTAG00000018103-ENSBTAG00000011154","ENSBTAG00000017745-ENSBTAG00000018474","ENSBTAG00000010303-ENSBTAG00000011628","ENSBTAG00000000476-ENSBTAG00000003781","ENSBTAG00000031998-ENSBTAG00000039292","ENSBTAG00000017246-ENSBTAG00000010444","ENSBTAG00000006354-ENSBTAG00000025101","ENSBTAG00000025775-ENSBTAG00000019903","ENSBTAG00000025775-ENSBTAG00000020704","ENSBTAG00000003658-ENSBTAG00000018517"
"Zo_IVT_PR_1.PR_Hols_4",63.1317363172234,48.6148633253783,11.8224537155187,43.115069034636,50.6910852469353,61.4558059022271,35.9212304709497,59.9740711464204,31.3824886860439,58.6648090073196,52.963262752725,51.0533451734628,79.8487014281839,49.3881596674469,52.6547302272678,63.8343878907707,30.9645159863717,44.8171092767418,55.9846136245955,19.1307128563363,38.8816935917087,31.6994669755321,27.1708772758551,54.5383654552755,68.5129557654757,39.5643666076515,50.5095452065465,47.9839209528856,40.5001531368296,61.3259440088897,87.1859724988881,40.8286023178649,26.6059041858214,60.9883571636418,36.5683692116666,51.0038843977801,20.1966268974809,54.0358264212629,42.2272755611987,82.8402550649468,94.2432863170413,50.5161514490192,60.8222004962333,33.9464364794293,34.9762171595089,25.9164860556256,27.7824579512064,73.6030450618258,46.3526304933471,142.812468663004,105.68464896522,18.7380757766953,34.4824692540005,23.6252830855829,29.0881225528061,92.0969305733888,45.6758406291119,83.1263017554882,56.7560445073992,51.6216773454613
"Zo_IVT_PR_2.PR_Hols_4",63.1317363172234,48.6148633253783,11.8224537155187,43.115069034636,50.6910852469353,61.4558059022271,35.9212304709497,59.9740711464204,31.3824886860439,58.6648090073196,52.963262752725,51.0533451734628,79.8487014281839,49.3881596674469,52.6547302272678,61.6123442868229,30.9645159863717,44.8171092767418,55.9846136245955,19.1307128563363,38.8816935917087,31.6994669755321,27.1708772758551,28.9522003337379,68.5129557654757,39.5643666076515,50.5095452065465,47.9839209528856,40.5001531368296,61.3259440088897,87.1859724988881,40.8286023178649,26.6059041858214,60.9883571636418,36.5683692116666,51.0038843977801,20.1966268974809,54.0358264212629,42.2272755611987,82.8402550649468,94.2432863170413,50.5161514490192,60.8222004962333,33.9464364794293,34.9762171595089,25.9164860556256,27.7824579512064,73.6030450618258,50.4655922457815,155.484505074529,107.745907535551,18.7380757766953,34.4824692540005,23.6252830855829,29.0881225528061,86.9924762274148,45.6758406291119,83.1263017554882,56.7560445073992,51.6216773454613
"Zo_IVT_PR_5.PR_Hols_4",69.0126406896588,55.5705668941755,11.8224537155187,51.5697576736636,54.7022489272387,65.5888230648208,41.9355988517372,64.18008738052,36.6369258305735,65.0415607946303,55.2714864330644,56.4486641510364,93.7112209241577,57.9624296807923,58.3049353469062,24.9275637220102,33.4147247616951,50.2704267035855,60.4899746945752,19.1307128563363,45.5177941294342,37.2028060543213,30.6639989598612,32.1244512837732,73.9343563620101,43.7455300019142,59.1302195944777,51.7808678919216,43.3976812414467,71.9727307346181,95.3075987489152,44.2903426723358,32.1515302067739,67.8146967859745,42.8096450454187,56.6015526958901,20.1966268974809,59.1665089786642,45.6255150253566,89.8640432343378,102.233904875123,53.8385733554404,62.1813404371753,39.7402161367805,41.0484322813189,30.415842798908,30.0182509017667,79.9136973596172,50.1054051963372,154.374768665525,107.28168044318,18.7380757766953,40.3677358568773,29.3916160901617,34.792184375838,85.3704798701374,47.3475719849324,88.5934768674112,60.4888610459572,56.6166780339293
"SW_IVT_PR_1.PR_Hols_4",66.7029262995395,52.4336536546052,55.7510840749803,51.8306766146891,56.1715783319114,62.4628095799522,35.4486646670378,73.0787252753734,30.9696328122267,59.9692518601649,59.1010559698293,50.5755164405629,90.9936551728673,56.2815561182807,54.9160673962166,60.5724848810455,34.312260760749,48.0446700543284,14.485642216895,90.2146040519406,42.8900956126092,36.1239483616342,26.2928804097477,52.0509540357643,75.9202696644548,39.1940678329113,55.7166888358008,53.1717275601277,43.9636282336489,69.8855673603457,92.1178449571714,49.6387970092271,30.9886505162459,70.8004907654485,40.3382853729404,52.7412558302508,95.241129403996,57.6958811985662,10.9260235263109,100.715928832132,114.579561713949,51.3183538784368,72.2847352212756,37.446051645769,39.8580538761313,29.5338027201234,7.18852412710589,80.9821116988748,50.012244924718,154.087741840302,104.47507381895,88.3630473984106,38.0373452554113,26.8854310058764,34.9682166147474,92.8492547999227,48.3801505798628,84.4463572091196,57.6573371728532,54.8653300414632
"SW_IVT_PR_3.PR_Hols_4",69.1911415655261,58.4959530943654,60.5728231301611,53.393045667569,67.8365793755455,71.6960518223511,45.8822882859317,73.2680879225561,40.0849406923167,70.6940391467322,63.5922254374032,59.3054539213263,93.4555850640863,57.8043133376569,61.354715418765,62.3381991861917,41.4377959418781,50.9975282513819,74.3395758341245,98.016986497453,43.4783661779768,37.1013201145482,32.4653927119142,50.0055612512755,91.6864284794322,45.9594315084405,56.4808859674158,64.213757638324,44.5122302504725,71.7763955386662,95.554111412153,12.4860041464853,34.8103736706103,65.7102833318659,40.891555903196,58.0279355804713,103.478240501049,53.7338261805504,56.0717945630527,25.3338030085893,28.8210224433299,51.1830213184302,72.4571270674747,37.9596529716183,40.9364558158824,30.3328710901092,36.8911385826681,75.8340725864605,51.8774868142952,159.83455267,106.814549315569,96.0052944281309,38.5590566267402,30.9654480640759,36.0222885088773,93.673289133746,34.6231544151122,84.2236621918278,57.5052879652491,55.2248092121002
"Zo_IVT_PR_1.PR_Hols_5",63.483935300304,53.9033090642291,12.7751178068362,42.5523897211423,47.8663155355115,61.7986552139331,32.2685437569635,60.3086541644264,34.6634836714478,56.6007264979034,55.9211425847692,56.7780699844305,80.6977141836394,48.3663608795879,55.0964606432161,66.6344152077943,34.7074669949049,45.9328389717344,62.0747591297386,19.6225256547457,38.2920502850465,26.5852927019813,24.6218377281407,61.1308931755351,67.3684446874661,38.6126490663667,47.3329501508983,45.6747152735305,57.2430094364272,64.1523344104378,86.2681381328179,37.7988521249983,24.4461791024285,61.3285986748979,39.4333578420965,50.7030535758188,20.1021517101494,54.7445337313852,41.2115019669744,83.7210763176078,91.5872525816647,51.4714385208554,67.4385907324663,35.4572634643723,33.6798460689312,25.9899107001176,29.4352870398132,75.2928120274493,46.4839532894985,144.330960577891,100.451476158184,20.5099792467337,35.7520316118351,20.9769040364789,32.6042575278622,88.4502109451801,64.5583380219701,78.3897134063721,58.257664314498,50.2249083251246
"Zo_IVT_PR_2.PR_Hols_5",63.483935300304,53.9033090642291,12.7751178068362,42.5523897211423,47.8663155355115,61.7986552139331,32.2685437569635,60.3086541644264,34.6634836714478,56.6007264979034,55.9211425847692,56.7780699844305,80.6977141836394,48.3663608795879,55.0964606432161,64.3149040319585,34.7074669949049,45.9328389717344,62.0747591297386,19.6225256547457,38.2920502850465,26.5852927019813,24.6218377281407,32.4519052051499,67.3684446874661,38.6126490663667,47.3329501508983,45.6747152735305,57.2430094364272,64.1523344104378,86.2681381328179,37.7988521249983,24.4461791024285,61.3285986748979,39.4333578420965,50.7030535758188,20.1021517101494,54.7445337313852,41.2115019669744,83.7210763176078,91.5872525816647,51.4714385208554,67.4385907324663,35.4572634643723,33.6798460689312,25.9899107001176,29.4352870398132,75.2928120274493,50.6085675766875,157.13773581871,102.410667660079,20.5099792467337,35.7520316118351,20.9769040364789,32.6042575278622,83.5478753206322,64.5583380219701,78.3897134063721,58.257664314498,50.2249083251246
"Zo_IVT_PR_5.PR_Hols_5",69.3976480296831,61.6156713662395,12.7751178068362,50.8967392489096,51.6539564086686,65.9547296299248,37.6713349955012,64.5381348987423,40.4672648178121,62.7531164905744,58.3582753979125,62.7783780437,94.7076306399184,56.7632365788831,61.0086797858572,26.0209847083273,37.4538538668196,51.5219176800963,67.0702245818505,19.6225256547457,44.8275139445151,31.2007608535686,27.7872517261893,36.0076137844917,72.6992806167526,42.6932349236563,55.4114618342342,49.2889357645874,61.3383823125381,75.2898102938343,94.3042654491633,41.0037086306184,29.5416408464252,68.1930210431425,46.1636132144103,56.2677057384898,20.1021517101494,59.9425077965724,44.5279970640457,90.8195468004337,99.3526736398904,54.8566891781483,68.9455812963972,41.5089022539021,39.5269984258406,30.5020146834621,31.8040913902748,81.7483432738682,50.2473600723096,156.016199839398,101.96942763934,20.5099792467337,41.8539797084239,26.0968348174668,38.9978190337779,81.9901044040523,66.9211669587669,83.5453654817731,62.0892416335017,55.0847552840552
"SW_IVT_PR_1.PR_Hols_5",67.0750482176371,58.1375169028913,60.2435572221188,51.1542530303493,53.041407171797,62.8112767582328,31.8440312856018,73.4864164657041,34.2074642975895,57.8592733916099,62.4017178327859,56.2466612560704,91.9611696411742,55.117138852934,57.4626616244436,63.2294323028199,38.4598828671635,49.2407504336927,16.061426403384,92.5338431314968,42.239664639472,30.2959586508689,23.826210257462,58.3428066514819,74.6520191751038,38.2512577977906,52.212611387684,50.6128609059515,62.1382930907937,73.1064537239602,91.1480912065769,45.9552725613043,28.4731575131516,71.1954721536351,43.4986321823803,52.4301776539506,94.7956132498492,58.4525919861573,10.6631989410067,101.786817985325,111.350396081151,52.2888110213856,80.148048492494,39.1126332128881,38.3807406339342,29.6174756748815,7.61618253667856,82.8412860990677,50.1539358659961,155.726121124396,99.3017953847058,96.7188034629228,39.437789677547,23.8715914703178,39.1951298241249,89.1727457367503,68.3806159157562,79.634551279649,59.1828028791894,53.3807949152678
"SW_IVT_PR_3.PR_Hols_5",69.5771447252541,64.8592883527909,65.4538364032419,52.6962321646745,64.0563739644131,72.0960293616325,41.2167013159964,73.6768355281807,44.2757647763286,68.2067161298868,67.1437090756808,65.9555059861926,94.4492766629325,56.6083915276696,64.1998857226149,65.0725977820406,46.4467436089532,52.2671205468141,82.4264197776458,100.53680940123,42.8190140450511,31.1156479582608,29.4196474783481,56.0501694085647,90.1548038118722,44.8538812139591,52.9287474088712,61.1234980078794,62.913688441023,75.0844264004299,94.5481829954631,11.5594607106745,31.9846536103705,66.0768674988391,44.095249293654,57.6856755396232,102.994193030861,54.4385726041197,54.7229922180998,25.6031714706154,28.0087671529105,52.1509192512795,80.3391935524652,39.6490929834836,39.4191722963869,30.4188079054411,39.0858596929582,77.575059126048,52.0244622189971,161.534036463126,101.52542738209,105.083714025026,39.9787092185059,27.4942412386617,40.3766165779264,89.9641511636082,48.9364459489126,79.4245455628799,59.0267308383562,53.7305473704081
