"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.721875,0.116415279757904,0.44375,0.232830559515808,0.8361328125,0.121284187452349
"vivo",0.7875,0.100778221853732,0.575,0.201556443707464,0.8447265625,0.130829410696653
