"ENSBTAG00000001941-ENSBTAG00000023144","ENSBTAG00000010452-ENSBTAG00000011515","ENSBTAG00000021105-ENSBTAG00000014031","ENSBTAG00000010138-ENSBTAG00000019866","ENSBTAG00000005339-ENSBTAG00000019866","ENSBTAG00000005339-ENSBTAG00000003166","ENSBTAG00000006045-ENSBTAG00000011944","ENSBTAG00000015089-ENSBTAG00000023144","ENSBTAG00000047567-ENSBTAG00000019866","ENSBTAG00000025644-ENSBTAG00000011515"
15.2481382832337,14.7716072627555,44.2505244592097,9.08829791150465,12.9392000878452,12.9392000878452,25.9502353543132,24.6036563215884,18.1651946068739,26.1033200996816
14.8039643786527,14.2568622588304,45.7837626157391,8.65932337618368,13.2772024316262,13.2772024316262,25.9090084833325,24.4366485548429,17.6658200122273,26.2057131474979
14.9288284412073,14.4206932140447,44.5370085529918,9.05608850491368,13.0400634524381,13.0400634524381,25.6908584657867,23.392985219963,17.7547199950302,26.4709880531564
15.126137091579,14.3276522603501,45.017781631353,9.85860772809847,13.4992380578865,13.4992380578865,25.9290833470812,25.0897289847776,18.462075799846,25.6734916283992
15.1813935667149,14.2982376633,44.8756866078998,9.66606317498043,12.9868977637721,12.9868977637721,24.8806931799202,23.2539513307541,18.1055976317688,24.8114300317377
15.1513731261657,14.300498154574,44.6730385889777,9.39518343647944,13.95470644021,13.95470644021,25.4597144672007,24.6663641428642,18.966576644188,25.4361420330501
14.7965037974391,14.442731465587,46.5792038680183,9.88643408076136,12.6937079547928,12.6937079547928,25.2480150919014,22.0822171591905,17.5920888251538,25.4111649340203
66.6203568641691,33.9047450089102,17.8161686033559,9.08829791150465,12.9392000878452,12.9392000878452,25.9502353543132,107.495376409977,18.1651946068739,59.914022632942
64.6797249336814,32.723269100957,18.4334817276558,8.65932337618368,13.2772024316262,13.2772024316262,25.9090084833325,106.765705888042,17.6658200122273,60.1490417554482
65.2252661828741,33.0993044681517,17.9315129745103,9.05608850491368,13.0400634524381,13.0400634524381,25.6908584657867,102.20585585755,17.7547199950302,60.7579178156918
66.0873237308833,32.8857508748097,18.1250820751869,9.85860772809847,13.4992380578865,13.4992380578865,25.9290833470812,109.619067426027,18.462075799846,58.9274526235197
66.3287437668398,32.8182365959107,18.067871704768,9.66606317498043,12.9868977637721,12.9868977637721,24.8806931799202,101.59840548274,18.1055976317688,56.9487932876141
66.1975820193887,32.8234250211697,17.9862814565987,9.39518343647944,13.95470644021,13.95470644021,25.4597144672007,107.769351983518,18.966576644188,58.3826725352644
64.6471290473096,33.149888083441,18.7537426881272,9.88643408076136,12.6937079547928,12.6937079547928,25.2480150919014,96.4790035459573,17.5920888251538,58.3253434878151
