"ENSBTAG00000021466-ENSBTAG00000010682","ENSBTAG00000008817-ENSBTAG00000017266","ENSBTAG00000005947-ENSBTAG00000013125","ENSBTAG00000020244-ENSBTAG00000006359","ENSBTAG00000013103-ENSBTAG00000010682","ENSBTAG00000020221-ENSBTAG00000012314","ENSBTAG00000013162-ENSBTAG00000002144","ENSBTAG00000020194-ENSBTAG00000014064","ENSBTAG00000001321-ENSBTAG00000005273","ENSBTAG00000025471-ENSBTAG00000012642","ENSBTAG00000005111-ENSBTAG00000006420","ENSBTAG00000021217-ENSBTAG00000010682","ENSBTAG00000008121-ENSBTAG00000015127","ENSBTAG00000007153-ENSBTAG00000012219","ENSBTAG00000014113-ENSBTAG00000001338","ENSBTAG00000000575-ENSBTAG00000015296","ENSBTAG00000025471-ENSBTAG00000004211","ENSBTAG00000020221-ENSBTAG00000002144","ENSBTAG00000017753-ENSBTAG00000015228","ENSBTAG00000017246-ENSBTAG00000012314","ENSBTAG00000013155-ENSBTAG00000010682","ENSBTAG00000007737-ENSBTAG00000018035","ENSBTAG00000000575-ENSBTAG00000015910","ENSBTAG00000008096-ENSBTAG00000013674","ENSBTAG00000016515-ENSBTAG00000006359","ENSBTAG00000016542-ENSBTAG00000015910","ENSBTAG00000005947-ENSBTAG00000019929","ENSBTAG00000023600-ENSBTAG00000005910","ENSBTAG00000000793-ENSBTAG00000017266","ENSBTAG00000008237-ENSBTAG00000005273","ENSBTAG00000014113-ENSBTAG00000014162","ENSBTAG00000007338-ENSBTAG00000017593","ENSBTAG00000004237-ENSBTAG00000011628","ENSBTAG00000005947-ENSBTAG00000015910","ENSBTAG00000007737-ENSBTAG00000006161","ENSBTAG00000019694-ENSBTAG00000013745","ENSBTAG00000007708-ENSBTAG00000000244","ENSBTAG00000032436-ENSBTAG00000012314","ENSBTAG00000024394-ENSBTAG00000019866","ENSBTAG00000017473-ENSBTAG00000017266","ENSBTAG00000010673-ENSBTAG00000006359","ENSBTAG00000017473-ENSBTAG00000015910","ENSBTAG00000001725-ENSBTAG00000001338","ENSBTAG00000045520-ENSBTAG00000039292","ENSBTAG00000015801-ENSBTAG00000015510","ENSBTAG00000000575-ENSBTAG00000026676","ENSBTAG00000017246-ENSBTAG00000002144","ENSBTAG00000004630-ENSBTAG00000013745","ENSBTAG00000003837-ENSBTAG00000002606","ENSBTAG00000005339-ENSBTAG00000015910","ENSBTAG00000007737-ENSBTAG00000011628","ENSBTAG00000011966-ENSBTAG00000017266","ENSBTAG00000010562-ENSBTAG00000011515","ENSBTAG00000021499-ENSBTAG00000008849","ENSBTAG00000001941-ENSBTAG00000011409","ENSBTAG00000005339-ENSBTAG00000000782","ENSBTAG00000011851-ENSBTAG00000007338","ENSBTAG00000017455-ENSBTAG00000013755","ENSBTAG00000017060-ENSBTAG00000017846","ENSBTAG00000008300-ENSBTAG00000017266","ENSBTAG00000007897-ENSBTAG00000002144","ENSBTAG00000010303-ENSBTAG00000011628","ENSBTAG00000001321-ENSBTAG00000002144","ENSBTAG00000007897-ENSBTAG00000017981","ENSBTAG00000014051-ENSBTAG00000013745","ENSBTAG00000011585-ENSBTAG00000015046","ENSBTAG00000047330-ENSBTAG00000017851","ENSBTAG00000037899-ENSBTAG00000022799","ENSBTAG00000010303-ENSBTAG00000007103","ENSBTAG00000017753-ENSBTAG00000015996","ENSBTAG00000000575-ENSBTAG00000020679","ENSBTAG00000002006-ENSBTAG00000008165","ENSBTAG00000021105-ENSBTAG00000014031","ENSBTAG00000023907-ENSBTAG00000000782","ENSBTAG00000013066-ENSBTAG00000012687","ENSBTAG00000020645-ENSBTAG00000017489","ENSBTAG00000021048-ENSBTAG00000017981","ENSBTAG00000020194-ENSBTAG00000009155","ENSBTAG00000026236-ENSBTAG00000019929","ENSBTAG00000005947-ENSBTAG00000018517","ENSBTAG00000016260-ENSBTAG00000011628","ENSBTAG00000005339-ENSBTAG00000007213","ENSBTAG00000011082-ENSBTAG00000012687","ENSBTAG00000008300-ENSBTAG00000017489","ENSBTAG00000020342-ENSBTAG00000007047","ENSBTAG00000016043-ENSBTAG00000018035","ENSBTAG00000001321-ENSBTAG00000013205","ENSBTAG00000008300-ENSBTAG00000019289","ENSBTAG00000013155-ENSBTAG00000008165","ENSBTAG00000001725-ENSBTAG00000014798","ENSBTAG00000005111-ENSBTAG00000011909","ENSBTAG00000005850-ENSBTAG00000022799","ENSBTAG00000025257-ENSBTAG00000001338","ENSBTAG00000011104-ENSBTAG00000023147","ENSBTAG00000008300-ENSBTAG00000013745","ENSBTAG00000009972-ENSBTAG00000018105","ENSBTAG00000016648-ENSBTAG00000017266","ENSBTAG00000026779-ENSBTAG00000007103","ENSBTAG00000032436-ENSBTAG00000007909","ENSBTAG00000025471-ENSBTAG00000006378","ENSBTAG00000017685-ENSBTAG00000007421","ENSBTAG00000010963-ENSBTAG00000003255","ENSBTAG00000012066-ENSBTAG00000013569","ENSBTAG00000020244-ENSBTAG00000015510","ENSBTAG00000038221-ENSBTAG00000006359","ENSBTAG00000022120-ENSBTAG00000013745","ENSBTAG00000017753-ENSBTAG00000020979","ENSBTAG00000013162-ENSBTAG00000012314","ENSBTAG00000017060-ENSBTAG00000007103","ENSBTAG00000003253-ENSBTAG00000011434","ENSBTAG00000020661-ENSBTAG00000017851","ENSBTAG00000015509-ENSBTAG00000012687","ENSBTAG00000000310-ENSBTAG00000022799","ENSBTAG00000010334-ENSBTAG00000046199","ENSBTAG00000011802-ENSBTAG00000019289","ENSBTAG00000017455-ENSBTAG00000017266","ENSBTAG00000025775-ENSBTAG00000020704","ENSBTAG00000000575-ENSBTAG00000012897","ENSBTAG00000032436-ENSBTAG00000006378","ENSBTAG00000005691-ENSBTAG00000014064"
157.859531579664,84.2177705887819,56.3922466900327,138.970486194854,113.298045249492,71.293814017241,120.096676652784,49.9393365282407,27.7978683171428,24.2968760256027,34.6480271643534,55.5998143864578,9.20772491140057,65.4654609364218,27.698304163979,42.5484346345393,26.4035389828342,87.8920763801085,85.9457925004448,98.9757738349561,65.6967610628058,161.435534321994,73.8001459254962,56.4304549410166,90.7415006687281,72.0761604635458,15.2647113999526,74.0209102772244,64.7209038644368,70.3604316135358,32.3969252011644,42.9728313544565,12.8663244389905,84.4118183462433,28.5759113516819,78.1210851668152,53.3609347109492,91.8782746060755,32.5227816410575,89.7675244987795,104.634131554876,92.2528861543302,36.4954284704421,27.2695200633026,43.852404257409,57.6455171688854,122.018808975188,56.7030784864927,7.0688190932826,73.6994958418032,28.5759113516819,82.3638297857181,54.4451934110235,77.5371866231292,58.415589640849,43.3660928143307,57.0199282984004,52.6933093773037,77.8397784234384,91.9560854366467,68.0579138796683,13.9105585233212,34.286502575891,52.766982499246,50.4171879854104,32.2662551303666,51.6245802114251,33.2780443689022,39.5091439378742,105.50515472546,47.9862445938723,51.0732510283441,65.6289414997661,62.193459440631,54.1143428133869,72.0408784429319,57.3127860634509,52.9874131173992,23.2538992093588,49.2125241975218,11.1620725343505,42.5853389417754,48.1546393753001,56.1276528174876,84.4437166884842,54.3513580049604,26.2758877129984,56.8137756170185,41.0123715255298,42.4950167220389,56.3008123504562,40.0452947390099,26.6391477438876,101.848175581783,97.5644229263235,32.5289501970709,117.947111235904,48.3530451343877,93.8359952526162,26.2208234093039,81.3663418957987,37.6335917251838,14.6146839274352,85.4064446247383,56.5747364546669,56.338474506828,97.0980984931812,97.4166327843183,38.7722800469961,44.8425030977458,60.0398787967112,59.2956456185152,100.839820658409,35.2453768385561,63.7046969122875,80.6443837719903,36.0877074937022,70.0459895101988,90.1390141326386,45.5774202189494
157.072325336787,84.7406666031602,58.8366981313794,121.835843455942,120.166473041392,68.3930094307908,120.836687459613,53.5860636963696,24.8503695434996,22.9054056837781,33.6750304952794,54.5229756814533,14.0244423273346,57.7023526857742,27.8366520249961,42.7221845520786,24.8914210720744,84.3159212565463,86.9599093948638,95.6697690674121,70.3062651652968,156.148279540933,74.1015146921519,56.494582260333,86.757695062422,67.8356872197193,15.9263953720145,80.8127368817247,65.868173810712,67.466598057188,32.5587417975372,37.3388336982883,11.0476105401872,88.0708424698491,27.6400075895274,96.912706727338,57.8247228913835,91.5263432647044,34.65760252724,83.0682778907476,105.660180305966,85.3681598783043,36.9554617019394,27.8030338387053,44.3706636187138,57.88091722392,117.943117029857,57.6058905775643,11.7994166735702,69.9751885701563,27.6400075895274,88.6663153184602,50.9834218885093,74.8848557039644,55.6817548227284,41.1746442438004,57.1719757022996,51.6395603610995,76.3685754668798,94.4829062580867,66.7731003743528,14.9199537563966,30.6509927180134,51.7708348378639,56.1608172144229,31.5778076829359,52.1946993192414,36.7698470550576,42.3760555350556,106.750062204262,48.1822002409559,49.8621555277591,66.3841719035589,60.7332739138553,53.2790190907068,71.822843876334,52.6386281207888,56.8567204093537,23.0379563686438,51.3457540787175,11.8396112930927,40.4333447432419,48.3228357129459,57.6699598994424,82.4883466464624,55.0620208915969,23.4897695140468,58.3749363655652,43.8899364426052,43.0306761370531,54.7197554370769,39.6180700653548,29.4351281882578,104.989500403932,100.245352786608,31.4347919814454,121.838552817199,47.4404141047356,93.4765650410701,24.7191695310926,84.0604440213336,32.8737730771845,13.6869215675714,74.8760870192126,54.136342592376,50.5646933604572,98.2438069593331,98.0168938659277,38.0394684409898,36.9483372296364,59.2495937205062,58.8322615161437,95.7978378645402,34.7593213010245,64.385501264371,79.0316754212271,26.4172344152275,70.3320278804912,89.7937448696972,49.3803329412438
156.077413028766,78.6908685467274,54.3838680689712,109.630351003494,117.571549543033,62.6550511254494,121.609265947203,48.1960841941995,25.9045378070939,24.5948206281464,31.1086881444356,53.4214977896829,17.2372551994869,59.0628181855536,24.5218837353689,37.319548095427,26.7273169006084,77.2420807475088,85.7837633297583,96.2972161996118,45.7372125016552,159.00769147362,64.7306562267824,50.7170420695821,82.0052264184116,69.0469204843406,14.7210671610406,69.5305042038657,66.7227287925833,68.6477758475789,28.6816704901211,38.0509736967044,11.4971283248233,81.4055382052272,28.1461557696637,93.0913101961371,52.1780485065869,89.0468521853713,34.3480936610716,78.7953011188616,106.003737062307,80.976878712004,34.8509330943363,23.6507443255946,43.0897000093742,50.5613113372597,118.716643204995,63.4592302352572,14.1960803010175,70.6919988160302,28.1461557696637,83.0946550287561,45.8616375142307,74.6652602115632,52.7817277696805,41.5964281284494,57.7511113542943,51.2842261735855,71.3700147833669,93.8357723079201,68.879716467611,13.0489371805051,31.9512270551499,53.4041463543192,58.0766763085644,32.4329735678657,51.6764235293975,33.2780443689022,37.0619437340727,105.306251297777,42.0890916063505,50.0955893192335,65.7118212703391,61.7439843435918,53.4947213348966,73.3643035375849,55.1058616236092,51.1377603584068,24.1967086049154,47.4598474150193,12.24444537864,40.8475349209197,46.3182083403184,57.2749658160287,90.1857345734608,52.2849170620005,24.4862202709463,57.9751137451878,28.5522683510492,40.5801780302961,50.5496144233762,37.654824754685,22.9528730569166,104.264704898031,99.5587505883499,31.1378854794454,119.004845045419,44.0164023342551,90.9442415495075,26.5423607460719,80.6190298092537,30.3176671833305,13.5610850903806,67.375014354071,55.738056759544,53.1096492726484,96.9150444550907,98.6435722796879,35.5496669721471,29.0611663720968,57.2213591766427,62.5952345251667,97.0405182625148,29.4922832274105,62.8915562426198,78.4878548314061,26.4172344152275,61.4378577466072,87.3611906842817,49.1080739142002
154.43420728953,78.28329233521,56.2720740841974,107.010745181562,122.179210318127,72.6109439023652,118.981252411222,50.2590677654461,34.437686747371,26.3884570365212,35.4193801711645,59.6150972589752,13.4155314601332,60.9541741900229,40.1271061804683,38.8195277851136,28.6764707251434,89.5158537310841,86.5975155479355,96.6242884785559,52.8429536400421,156.637908275821,67.3323669814783,53.0819664513244,85.6458335759325,69.6517986758414,15.2321821028607,73.2384475006621,77.4114136469102,68.3245409619156,46.9340956677927,44.2435323293866,10.8468556435226,84.2319356714187,27.7266774009923,66.2388550803136,61.8434131066679,91.535065868534,32.0868326316534,88.410309531057,97.8595723073482,90.8580944565157,42.2635931322775,31.4749888045498,45.2619410648725,52.593515475849,119.119862784689,74.4550540543898,8.98459930438578,71.5187216121852,27.7266774009923,87.4776842185625,51.8771718302881,73.9561995426091,52.9359599409772,42.0828865105629,59.0881925394471,51.719802022645,82.2589759744988,95.4344694329361,71.8776465420161,14.9767342376928,42.4762007611677,55.728515626786,73.5978922151963,31.4608399652551,52.8046670663819,36.7512866025194,42.5373249912483,106.305195529823,43.7807729312544,55.7332388939592,66.2348788170199,59.9396426890375,58.3753043277801,74.1494133723061,58.0516911395546,53.3266593375159,23.5003653612261,49.1076516730228,12.1478956003183,41.3252352102232,44.4721156710025,58.2507698290762,91.4150313376744,56.691335392867,32.5521647827685,58.9628463058872,32.988153633935,49.2114265309739,57.5542113011795,54.9709623058888,40.8245607193012,101.225307865828,101.254951135552,49.7997364544193,115.489207979404,52.294534638981,93.4854735040888,28.478026198492,83.3209170174123,34.8468837277918,14.7934537659667,65.7650954015262,54.8706897221628,67.5351626917485,97.8343889713358,96.5118544276854,40.9734986077766,29.3059732995362,57.3166751696388,57.6228526897142,89.1282648566497,37.3418407772532,63.0520180529048,79.1544811327045,41.9205427529278,63.9072214849387,89.8023023541867,49.3086599049221
158.47867409997,91.9914523782397,52.7516656742506,114.875795209407,117.880571641576,72.428346656992,116.934836599706,14.2387305095991,30.9789853127941,25.2314889317343,33.7666803640049,52.4144002374912,4.00722941234599,48.5697660571419,28.7651977029122,52.2992468224853,27.4191875902891,89.2907451258234,83.94596445393,95.2394946638952,55.7570229309351,158.40581549189,90.7129035520333,57.2260524588705,88.9875416417802,77.8449692193805,14.2792493586986,69.3638781085819,64.8321150148326,69.0772649644146,33.644801965525,35.320055884942,10.589922357012,78.962344678912,28.0396169288141,36.613938513663,61.2528758037016,90.6805424883394,47.0122555023832,88.5506057876661,101.246449798674,91.0022750458893,41.4941146809916,11.3382926506308,43.8457530111742,70.8561232985533,117.412668333016,22.7378870962562,8.33448352327799,81.6757435543411,28.0396169288141,88.4417257065172,58.4382068653226,75.4813718905124,57.5865824973576,48.0594586869343,58.1965419915975,54.6245541679811,69.5568276633949,97.9739793720441,66.814451455124,17.0137414888396,38.2101622904147,51.8028953526666,22.7378870962562,32.0561418828903,58.4373480404237,42.0691686365912,48.3228879902555,103.050210029119,58.9832380827905,48.9034347414244,68.3544517660258,68.4601965913341,57.2085702311515,73.6684877048925,62.1107399351441,15.1077997472551,22.1351965306785,46.0354530246529,11.7374594349679,47.1942064576549,45.3256872585606,59.8008220253173,89.9763833368158,66.1936795628958,29.2828331386696,60.5318468475324,34.8073132161705,48.3154513081833,54.8686805702911,17.5362962462701,29.0626565895337,100.34489870102,103.949344013937,20.2280163669977,116.482652703212,54.2587616723334,92.6127421408695,27.2294436097738,85.6510845957877,38.1531874942574,14.0595864278393,70.5986825757989,56.643574514321,22.7378870962562,94.8387732257003,94.8519006038936,34.6465117960014,35.9212829965308,59.0065804594553,58.5611782792385,90.083665159787,31.5471576530835,62.2980512275213,83.6000540059828,14.8830582275878,86.0984082207651,88.9639551456189,51.1186992537781
141.873910336456,15.6512776530437,56.3922466900327,133.884283253091,101.824936081927,71.293814017241,120.096676652784,49.9393365282407,27.7978683171428,24.2968760256027,34.6480271643534,49.9695077139334,47.7391453655581,65.4654609364218,27.698304163979,42.5484346345393,26.4035389828342,87.8920763801085,85.9457925004448,98.9757738349561,59.0439886343919,160.308372969008,72.0011468867673,56.4304549410166,87.4204380440054,70.3191863849297,15.2647113999526,74.0209102772244,12.0279227205425,70.3604316135358,32.3969252011644,42.9728313544565,73.7305029266891,82.3541424682639,28.5759113516819,76.2648621992282,53.3609347109492,91.8782746060755,32.5227816410575,16.6826602073927,100.804610321302,90.0040714476608,36.4954284704421,27.2695200633026,43.852404257409,57.6455171688854,122.018808975188,55.3557654480888,7.0688190932826,71.9029503131798,163.754328249575,15.3067358531575,54.4451934110235,77.5371866231292,58.415589640849,43.3660928143307,57.0199282984004,52.6933093773037,78.3676721874856,17.0893887951918,68.0579138796683,79.7144888409238,34.286502575891,52.766982499246,49.2192330146131,32.2662551303666,51.6245802114251,33.2780443689022,39.5091439378742,138.682389858217,47.9862445938723,51.0732510283441,65.6289414997661,62.193459440631,54.1143428133869,72.0408784429319,57.3127860634509,52.9874131173992,23.2538992093588,49.2125241975218,63.9642833168301,42.5853389417754,48.1546393753001,56.1276528174876,18.1430342437205,53.971870610919,26.2758877129984,56.8137756170185,41.0123715255298,42.4950167220389,35.9617629417775,40.0452947390099,26.6391477438876,101.848175581783,95.2462098309921,32.5289501970709,21.9196373095807,48.3530451343877,93.8359952526162,40.2270083673847,81.3663418957987,37.6335917251838,78.4198375915943,85.4064446247383,54.5041486711448,54.9998247669392,97.0980984931812,97.4166327843183,38.7722800469961,44.8425030977458,60.0398787967112,59.2956456185152,100.839820658409,35.2453768385561,63.7046969122875,14.9871889596441,36.0877074937022,70.0459895101988,138.28791030471,45.5774202189494
141.166420412974,15.748454182979,58.8366981313794,117.376754030804,107.997833587382,68.3930094307908,120.836687459613,53.5860636963696,24.8503695434996,22.9054056837781,33.6750304952794,49.0017149151594,72.7123037859822,57.7023526857742,27.8366520249961,42.7221845520786,24.8914210720744,84.3159212565463,86.9599093948638,95.6697690674121,63.1867120112335,155.05803440517,72.2951692977389,56.494582260333,83.5824363731176,66.1820815991696,15.9263953720145,80.8127368817247,12.2411347344276,67.466598057188,32.5587417975372,37.3388336982883,63.3083585859043,85.9239719053485,27.6400075895274,94.6099789593587,57.8247228913835,91.5263432647044,34.65760252724,15.4376525564482,101.793106550853,83.2871716142139,36.9554617019394,27.8030338387053,44.3706636187138,57.88091722392,117.943117029857,56.2371259613273,11.7994166735702,68.2694291113652,158.3911295053,16.4780082614345,50.9834218885093,74.8848557039644,55.6817548227284,41.1746442438004,57.1719757022996,51.6395603610995,76.8864918275717,17.5589805924973,66.7731003743528,85.4988306348332,30.6509927180134,51.7708348378639,54.8263887618577,31.5778076829359,52.1946993192414,36.7698470550576,42.3760555350556,140.318771936059,48.1822002409559,49.8621555277591,66.3841719035589,60.7332739138553,53.2790190907068,71.822843876334,52.6386281207888,56.8567204093537,23.0379563686438,51.3457540787175,67.84692079199,40.4333447432419,48.3228357129459,57.6699598994424,17.7229160037523,54.6775715680512,23.4897695140468,58.3749363655652,43.8899364426052,43.0306761370531,34.9518735362307,39.6180700653548,29.4351281882578,104.989500403932,97.8634385333818,31.4347919814454,22.6428342338596,47.4404141047356,93.4765650410701,37.9232270489731,84.0604440213336,32.8737730771845,73.4416270503776,74.8760870192126,52.1549979738966,49.3632335373601,98.2438069593331,98.0168938659277,38.0394684409898,36.9483372296364,59.2495937205062,58.8322615161437,95.7978378645402,34.7593213010245,64.385501264371,14.6874785066754,26.4172344152275,70.3320278804912,137.758211091511,49.3803329412438
140.272257747164,14.6241419569001,54.3838680689712,105.617972339159,105.665684618916,62.6550511254494,121.609265947203,48.1960841941995,25.9045378070939,24.5948206281464,31.1086881444356,48.0117780130867,89.36972374714,59.0628181855536,24.5218837353689,37.319548095427,26.7273169006084,77.2420807475088,85.7837633297583,96.2972161996118,41.1056406956626,157.897481596907,63.1527408057773,50.7170420695821,79.0039040853772,67.3637890755773,14.7210671610406,69.5305042038657,12.3999477402523,68.6477758475789,28.6816704901211,38.0509736967044,65.8843213243588,79.421145313562,28.1461557696637,90.8793820374352,52.1780485065869,89.0468521853713,34.3480936610716,14.6435500125998,102.124089418791,79.0029350952905,34.8509330943363,23.6507443255946,43.0897000093742,50.5613113372597,118.716643204995,61.9513853248013,14.1960803010175,68.9687659372735,161.291612860421,15.4425545611888,45.8616375142307,74.6652602115632,52.7817277696805,41.5964281284494,57.7511113542943,51.2842261735855,71.8540319081222,17.438715319955,68.879716467611,74.7769656780785,31.9512270551499,53.4041463543192,56.6967254257153,32.4329735678657,51.6764235293975,33.2780443689022,37.0619437340727,138.420939099968,42.0890916063505,50.0955893192335,65.7118212703391,61.7439843435918,53.4947213348966,73.3643035375849,55.1058616236092,51.1377603584068,24.1967086049154,47.4598474150193,70.1668234860969,40.8475349209197,46.3182083403184,57.2749658160287,19.3767273022521,51.9198577948206,24.4862202709463,57.9751137451878,28.5522683510492,40.5801780302961,32.2882241800722,37.654824754685,22.9528730569166,104.264704898031,97.1931505832842,31.1378854794454,22.1162096650348,44.0164023342551,90.9442415495075,40.7202989454374,80.6190298092537,30.3176671833305,72.7664105247652,67.375014354071,53.6980907493435,51.8477191475117,96.9150444550907,98.6435722796879,35.5496669721471,29.0611663720968,57.2213591766427,62.5952345251667,97.0405182625148,29.4922832274105,62.8915562426198,14.5864132922293,26.4172344152275,61.4378577466072,134.026277275271,49.1080739142002
138.795450984976,14.5483967975752,56.2720740841974,103.094241887621,109.806751332626,72.6109439023652,118.981252411222,50.2590677654461,34.437686747371,26.3884570365212,35.4193801711645,53.5781835824765,69.5552932666945,60.9541741900229,40.1271061804683,38.8195277851136,28.6764707251434,89.5158537310841,86.5975155479355,96.6242884785559,47.4918200479866,155.544244496266,65.6910306134268,53.0819664513244,82.5112680821278,67.9539223736716,15.2321821028607,73.2384475006621,14.3863643033053,68.3245409619156,46.9340956677927,44.2435323293866,62.1579321710983,82.1786447273041,27.7266774009923,64.6649639357629,61.8434131066679,91.535065868534,32.0868326316534,16.4304313945639,94.2779942458639,88.6432800745358,42.2635931322775,31.4749888045498,45.2619410648725,52.593515475849,119.119862784689,72.6859390825026,8.98459930438578,69.775336015613,158.887791066896,16.2571095693712,51.8771718302881,73.9561995426091,52.9359599409772,42.0828865105629,59.0881925394471,51.719802022645,82.8168398499279,17.7358218856099,71.8776465420161,85.8242113185117,42.4762007611677,55.728515626786,71.8491441325996,31.4608399652551,52.8046670663819,36.7512866025194,42.5373249912483,139.734012132237,43.7807729312544,55.7332388939592,66.2348788170199,59.9396426890375,58.3753043277801,74.1494133723061,58.0516911395546,53.3266593375159,23.5003653612261,49.1076516730228,69.6135447508312,41.3252352102232,44.4721156710025,58.2507698290762,19.6408461042596,56.29551000924,32.5521647827685,58.9628463058872,32.988153633935,49.2114265309739,36.7623630407034,54.9709623058888,40.8245607193012,101.225307865828,98.8490479728091,49.7997364544193,21.4628533548065,52.294534638981,93.4854735040888,43.6899246179604,83.3209170174123,34.8468837277918,79.3790852751931,65.7650954015262,52.8624686162071,65.9304701834396,97.8343889713358,96.5118544276854,40.9734986077766,29.3059732995362,57.3166751696388,57.6228526897142,89.1282648566497,37.3418407772532,63.0520180529048,14.7103010805131,41.9205427529278,63.9072214849387,137.771339664736,49.3086599049221
142.430355484446,17.0959614914142,52.7516656742506,110.671437697753,105.943413642066,72.428346656992,116.934836599706,14.2387305095991,30.9789853127941,25.2314889317343,33.7666803640049,47.1066640399871,20.7762188021348,48.5697660571419,28.7651977029122,52.2992468224853,27.4191875902891,89.2907451258234,83.94596445393,95.2394946638952,50.1107965592765,157.299807982078,88.5016284353803,57.2260524588705,85.7306724426319,75.9473710095217,14.2792493586986,69.3638781085819,12.0485905271205,69.0772649644146,33.644801965525,35.320055884942,60.6855753591073,77.0375086180653,28.0396169288141,35.743960409061,61.2528758037016,90.6805424883394,47.0122555023832,16.4565044626412,97.540914868854,88.7839460266626,41.4941146809916,11.3382926506308,43.8457530111742,70.8561232985533,117.412668333016,22.1976156935696,8.33448352327799,79.6847639661698,160.681091778482,16.4362698688133,58.4382068653226,75.4813718905124,57.5865824973576,48.0594586869343,58.1965419915975,54.6245541679811,70.0285481167943,18.2077718657835,66.814451455124,97.4972862362578,38.2101622904147,51.8028953526666,22.1976156935696,32.0561418828903,58.4373480404237,42.0691686365912,48.3228879902555,135.455461293975,58.9832380827905,48.9034347414244,68.3544517660258,68.4601965913341,57.2085702311515,73.6684877048925,62.1107399351441,15.1077997472551,22.1351965306785,46.0354530246529,67.2615393250328,47.1942064576549,45.3256872585606,59.8008220253173,19.3317474410573,65.7315077261399,29.2828331386696,60.5318468475324,34.8073132161705,48.3154513081833,35.046998457402,17.5362962462701,29.0626565895337,100.34489870102,101.479419800618,20.2280163669977,21.6474780378937,54.2587616723334,92.6127421408695,41.7743958239288,85.6510845957877,38.1531874942574,75.4412815049937,70.5986825757989,54.5704673156979,22.1976156935696,94.8387732257003,94.8519006038936,34.6465117960014,35.9212829965308,59.0065804594553,58.5611782792385,90.083665159787,31.5471576530835,62.2980512275213,15.5364793903886,14.8830582275878,86.0984082207651,136.485178675533,51.1186992537781
