gene,shap,seed
ENSBTAG00000005947-ENSBTAG00000015910,0.030172631124003268,seed_064
ENSBTAG00000000575-ENSBTAG00000015296,0.026486678662883404,seed_064
ENSBTAG00000007446-ENSBTAG00000008733,0.03593740349812741,seed_094
ENSBTAG00000021217-ENSBTAG00000010682,0.035744441032578664,seed_094
ENSBTAG00000005077-ENSBTAG00000015127,0.03366794783161826,seed_094
ENSBTAG00000000793-ENSBTAG00000018169,0.029153368017404025,seed_094
ENSBTAG00000008096-ENSBTAG00000019733,0.027141128972860862,seed_094
ENSBTAG00000000793-ENSBTAG00000015910,0.027126775064494294,seed_094
ENSBTAG00000006045-ENSBTAG00000034385,0.02705107367617991,seed_094
ENSBTAG00000025644-ENSBTAG00000020667,0.02530929996888242,seed_094
ENSBTAG00000014583-ENSBTAG00000020667,0.023782947567680006,seed_094
ENSBTAG00000020457-ENSBTAG00000015910,0.02246860063322699,seed_094
