"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.640625,0.106484626563859,0.28125,0.212969253127717,0.705078125,0.139875510437456
"vivo",0.546875,0.181770087152241,0.09375,0.363540174304482,0.7150390625,0.110372013683825
