"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.6890625,0.139258406014981,0.378125,0.278516812029962,0.715234375,0.181266561752687
"vivo",0.6421875,0.128731204803955,0.284375,0.25746240960791,0.721337890625,0.15066622847378
