"ENSBTAG00000000575-ENSBTAG00000015296","ENSBTAG00000017753-ENSBTAG00000015228","ENSBTAG00000005198-ENSBTAG00000015457","ENSBTAG00000000575-ENSBTAG00000020679","ENSBTAG00000011741-ENSBTAG00000015910","ENSBTAG00000017753-ENSBTAG00000020979","ENSBTAG00000000476-ENSBTAG00000003781","ENSBTAG00000000073-ENSBTAG00000014611","ENSBTAG00000016648-ENSBTAG00000017266","ENSBTAG00000021945-ENSBTAG00000011741","ENSBTAG00000007375-ENSBTAG00000015228","ENSBTAG00000011104-ENSBTAG00000020979","ENSBTAG00000017564-ENSBTAG00000017846","ENSBTAG00000007773-ENSBTAG00000017060","ENSBTAG00000017060-ENSBTAG00000010303","ENSBTAG00000009761-ENSBTAG00000002144","ENSBTAG00000007148-ENSBTAG00000034848","ENSBTAG00000008300-ENSBTAG00000017489","ENSBTAG00000013155-ENSBTAG00000008165","ENSBTAG00000007244-ENSBTAG00000011741","ENSBTAG00000021499-ENSBTAG00000008036","ENSBTAG00000005198-ENSBTAG00000019866","ENSBTAG00000000575-ENSBTAG00000012897","ENSBTAG00000014583-ENSBTAG00000020667","ENSBTAG00000013155-ENSBTAG00000008373","ENSBTAG00000025644-ENSBTAG00000020667","ENSBTAG00000013155-ENSBTAG00000015910","ENSBTAG00000000575-ENSBTAG00000015910","ENSBTAG00000020645-ENSBTAG00000010860","ENSBTAG00000011238-ENSBTAG00000017256","ENSBTAG00000007773-ENSBTAG00000010347","ENSBTAG00000000575-ENSBTAG00000026676","ENSBTAG00000045582-ENSBTAG00000002144","ENSBTAG00000012829-ENSBTAG00000017745","ENSBTAG00000005710-ENSBTAG00000015457","ENSBTAG00000021217-ENSBTAG00000010682","ENSBTAG00000019770-ENSBTAG00000012314","ENSBTAG00000008300-ENSBTAG00000011741","ENSBTAG00000005077-ENSBTAG00000015127","ENSBTAG00000005947-ENSBTAG00000017060","ENSBTAG00000020221-ENSBTAG00000012314","ENSBTAG00000009761-ENSBTAG00000012314","ENSBTAG00000013162-ENSBTAG00000002144","ENSBTAG00000005947-ENSBTAG00000013125","ENSBTAG00000021697-ENSBTAG00000007173","ENSBTAG00000045582-ENSBTAG00000012314","ENSBTAG00000010963-ENSBTAG00000003255","ENSBTAG00000015089-ENSBTAG00000002135","ENSBTAG00000007244-ENSBTAG00000015910","ENSBTAG00000014113-ENSBTAG00000014162","ENSBTAG00000021466-ENSBTAG00000010682","ENSBTAG00000008300-ENSBTAG00000013125","ENSBTAG00000003658-ENSBTAG00000015910","ENSBTAG00000020221-ENSBTAG00000002144","ENSBTAG00000010963-ENSBTAG00000009024","ENSBTAG00000017473-ENSBTAG00000017266","ENSBTAG00000005947-ENSBTAG00000019712","ENSBTAG00000010123-ENSBTAG00000012314","ENSBTAG00000010123-ENSBTAG00000014611","ENSBTAG00000001292-ENSBTAG00000034385"
42.5484346345393,85.9457925004448,36.8496477370836,47.9862445938723,85.7750025905691,97.0980984931812,31.5819712807905,103.240256805261,120.371620619853,70.4180417665817,67.4767786090028,98.2749490674931,101.960591308731,49.5993066464538,42.889326016498,104.567813871458,45.6642705080482,56.1276528174876,41.0123715255298,66.7496086759628,126.449167075522,36.0507704863546,70.0459895101988,63.9210760861885,43.7003543070738,87.2013426356336,68.3420339397004,75.5031512010184,81.4255082606986,58.756843202137,95.8014938503769,57.6455171688854,102.220634135977,46.6075924146779,38.373139636219,57.9928847496257,24.4223144875784,64.9044967729338,80.5546544829658,47.9513394721078,71.293814017241,84.8203681308004,120.096676652784,56.3922466900327,78.2942148888982,82.9164491153621,37.6335917251838,87.8151160034795,99.4312690462005,32.3969252011644,164.653960135506,63.1331312771057,101.46140008552,87.8920763801085,39.7258100831978,91.6127770296859,15.2647113999526,83.8610227370837,126.831171975598,133.318115652806
43.9043763656624,85.9162379397189,31.6307911930861,49.5154795028317,87.3886438601688,97.0647089395474,35.1937974140323,105.518045655194,124.49254692769,69.4058659523023,68.367591457093,98.2456362218045,95.2287402938426,44.5977461635132,41.2685991368761,102.233364085512,53.658538279172,58.151503379721,37.3663675354063,61.3596944434672,123.034987802439,30.9450554789483,72.2782286299335,65.5685310477526,39.8153883749229,89.1993077288788,62.2664201878306,77.9093002033051,82.8024761005999,47.1455316120975,86.1409361078225,59.4825756414905,97.3017823693594,45.9079540795716,43.1929493248777,62.1616458901308,28.8387375728228,67.2448227208674,103.835501053754,45.4991017052786,73.2923765782546,82.92677503656,122.092597020046,53.5083398250309,81.7707774544696,78.9265137597448,33.5203752000194,84.8409508104791,91.402367861343,26.5452733355321,158.987381143804,65.4095853388176,99.2858822229076,90.3559340890053,35.3839215995533,76.5630291464794,14.4840720641842,74.2739157830661,112.331658719653,152.765550768949
41.0926220040481,86.7624417271131,31.066334826693,46.3443750029077,81.452744715718,98.0207159330634,31.9756613091826,104.403698413097,118.496291638349,66.8276928111156,70.7618923189708,96.9521371029693,100.297685088814,44.3987048065255,44.4497812651947,104.105499531534,60.8501514659876,56.0871938138225,30.1789776892291,65.711001310538,127.139527714294,30.3928361725499,67.6493364459891,68.0521786680392,32.1569313987031,89.3727127065623,50.2895258378041,72.9197790486831,83.246100122336,54.4687063372305,85.7564859889258,55.6731514941789,99.0432948677702,49.2163985477693,38.1997082672317,51.9266926441134,24.0555538539164,64.8577110774521,103.908337773707,47.0676331941721,71.692774626086,84.4453610320315,122.38510626443,55.3529809891056,85.5171570233596,80.3391447190299,35.8251418880798,84.1745972780556,97.8841431463883,29.4641617850111,166.340533082829,63.0876224510367,98.8547098753565,88.3839209642231,37.8168204948958,85.8797215564154,14.9833945182238,84.5204952273504,127.828556291891,131.025860856545
52.2992468224853,83.94596445393,35.3259257265697,58.9832380827905,84.0340018842742,94.8387732257003,36.2400779434608,106.688654101953,118.877058819538,72.6550921265055,68.2867527994465,96.8244129332188,99.0405961519111,44.125006838492,38.3254618493419,100.858712902615,50.5566380051862,59.8008220253173,34.8073132161705,67.3121895839389,123.096504025411,34.5600818133456,86.0984082207651,63.6837982512059,37.0886116419061,83.9743345850956,58.0020733423944,92.8061860431412,83.265143121758,57.3432987722535,85.2278359739502,70.8561232985533,99.0313198995865,45.8985533891706,48.4543803978978,54.6703672617644,26.8140778831863,69.152050109455,104.902339187768,44.8556880943035,72.428346656992,81.8117242855884,116.934836599706,52.7516656742506,79.9249430530429,80.3294312022977,38.1531874942574,89.0780151402577,100.269298432901,33.644801965525,165.299751155133,67.2647609134813,88.7832059215231,89.2907451258234,40.2742924867106,90.3708434555235,14.2792493586986,86.0542121584698,130.148145410933,126.03323604978
42.1761737403321,88.8098223532959,35.4547054475217,47.5664077073783,86.1141331513254,100.333764191861,31.6007483063533,102.647071197077,118.836030813677,70.7277999289323,66.142067302158,98.9081507501875,98.3364783011597,53.5874410613488,44.7062346416905,103.330292618145,52.3742819024468,58.9207729867702,34.7806917465184,71.4756680098246,122.128786008321,34.6860696707184,69.4331495099811,63.9885699343227,37.0602453803928,87.8208789135432,57.9577119627712,74.8425658981049,80.2017054982524,56.0652184542704,103.504610294049,57.1411702533609,100.700738516616,46.3761752380386,37.1795935418943,55.0741269060916,25.4486614684141,68.1343852488177,92.6024299910365,51.2974041351592,68.1334874476852,83.8165505660117,121.974100136953,60.3273214136358,83.6359921133628,81.6835830815261,38.4505751003379,84.3347199708923,106.471281511813,33.644801965525,164.113768841647,66.2748700363133,92.7275516855463,83.9959786882343,40.5882131894308,86.2321356654192,16.3298893901685,78.8851733469189,119.305711527695,139.866701973873
42.5484346345393,85.9457925004448,36.8496477370836,47.9862445938723,84.4663912910841,97.0980984931812,31.5819712807905,106.322868490255,119.793972004433,70.4180417665817,67.4767786090028,98.2749490674931,103.335210170354,49.5993066464538,42.889326016498,104.567813871458,43.4048179501402,56.1276528174876,41.0123715255298,66.7496086759628,121.916146625092,36.0507704863546,70.0459895101988,63.9210760861885,43.7003543070738,87.2013426356336,67.2993856722306,74.3512506026587,81.4255082606986,58.756843202137,95.016550581305,57.6455171688854,102.220634135977,46.2522948897527,38.373139636219,57.9557467723688,24.4223144875784,64.9044967729338,82.3574974206039,47.9513394721078,71.293814017241,84.8203681308004,120.096676652784,56.3922466900327,78.5297829125728,82.9164491153621,37.6335917251838,87.8151160034795,97.9143133100745,32.3969252011644,164.548517630737,63.1331312771057,99.9134720108662,87.8920763801085,39.7258100831978,91.1731385706085,82.9463850729791,83.8610227370837,130.618175852303,133.318115652806
43.9043763656624,85.9162379397189,31.6307911930861,49.5154795028317,86.0554143253595,97.0647089395474,35.1937974140323,108.668668973847,123.895122493321,69.4058659523023,68.367591457093,98.2456362218045,96.5126012532218,44.5977461635132,41.2685991368761,102.233364085512,51.0035320736724,58.151503379721,37.3663675354063,61.3596944434672,118.624360759765,30.9450554789483,72.2782286299335,65.5685310477526,39.8153883749229,89.1993077288788,61.3164634571358,76.7206906142426,82.8024761005999,47.1455316120975,85.4351459862719,59.4825756414905,97.3017823693594,45.5579900154825,43.1929493248777,62.1218382861241,28.8387375728228,67.2448227208674,106.159377941469,45.4991017052786,73.2923765782546,82.92677503656,122.092597020046,53.5083398250309,82.01680559929,78.9265137597448,33.5203752000194,84.8409508104791,90.007903649503,26.5452733355321,158.885567451132,65.4095853388176,97.7711445553797,90.3559340890053,35.3839215995533,76.1956125780966,78.7044961010093,74.2739157830661,115.685727127456,152.765550768949
41.0926220040481,86.7624417271131,31.066334826693,46.3443750029077,80.2100751862533,98.0207159330634,31.9756613091826,107.521048859947,117.927642496261,66.8276928111156,70.7618923189708,96.9521371029693,101.649884874344,44.3987048065255,44.4497812651947,104.105499531534,57.8393066884567,56.0871938138225,30.1789776892291,65.711001310538,122.581758829642,30.3928361725499,67.6493364459891,68.0521786680392,32.1569313987031,89.3727127065623,49.5222924974425,71.8072912149661,83.246100122336,54.4687063372305,85.0538458342597,55.6731514941789,99.0432948677702,48.8412136544118,38.1997082672317,51.8934393866013,24.0555538539164,64.8577110774521,106.233844774133,47.0676331941721,71.692774626086,84.4453610320315,122.38510626443,55.3529809891056,85.7744571022843,80.3391447190299,35.8251418880798,84.1745972780556,96.3907908655006,29.4641617850111,166.234010516118,63.0876224510367,97.3465503132089,88.3839209642231,37.8168204948958,85.4675953260443,81.4177470405901,84.5204952273504,131.645340688743,131.025860856545
52.2992468224853,83.94596445393,35.3259257265697,58.9832380827905,82.7519518570464,94.8387732257003,36.2400779434608,109.874230174389,118.306582422537,72.6550921265055,68.2867527994465,96.8244129332188,100.375848034911,44.125006838492,38.3254618493419,100.858712902615,48.0551127691723,59.8008220253173,34.8073132161705,67.3121895839389,118.683671714776,34.5600818133456,86.0984082207651,63.6837982512059,37.0886116419061,83.9743345850956,57.1171748722454,91.3903047251555,83.265143121758,57.3432987722535,84.5295272785785,70.8561232985533,99.0313198995865,45.5486609881273,48.4543803978978,54.6353569865425,26.8140778831863,69.152050109455,107.250092307191,44.8556880943035,72.428346656992,81.8117242855884,116.934836599706,52.7516656742506,80.1654175364263,80.3294312022977,38.1531874942574,89.0780151402577,98.7395574482574,33.644801965525,165.193895093213,67.2647609134813,87.4287004949482,89.2907451258234,40.2742924867106,89.9371648830528,77.5915171159658,86.0542121584698,134.034189539831,126.03323604978
42.1761737403321,88.8098223532959,35.4547054475217,47.5664077073783,84.8003479658549,100.333764191861,31.6007483063533,105.711971177899,118.265751305035,70.7277999289323,66.142067302158,98.9081507501875,99.6622373628058,53.5874410613488,44.7062346416905,103.330292618145,49.7828202652304,58.9207729867702,34.7806917465184,71.4756680098246,117.750644994301,34.6860696707184,69.4331495099811,63.9885699343227,37.0602453803928,87.8208789135432,57.0734902842386,73.7007434036864,80.2017054982524,56.0652184542704,102.656552044612,57.1411702533609,100.700738516616,46.0226418452177,37.1795935418943,55.0388580678313,25.4486614684141,68.1343852488177,94.6749065970005,51.2974041351592,68.1334874476852,83.8165505660117,121.974100136953,60.3273214136358,83.8876322300454,81.6835830815261,38.4505751003379,84.3347199708923,104.846921058895,33.644801965525,164.008672269177,66.2748700363133,91.3128700388608,83.9959786882343,40.5882131894308,85.8183182430457,88.734418756209,78.8851733469189,122.868015534121,139.866701973873
