"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.7,0.10227448090528,0.4,0.20454896181056,0.828515625,0.126247706292764
"vivo",0.765625,0.108503472166665,0.53125,0.21700694433333,0.866796875,0.10550009179375
