"Sample","ENSBTAG00000000073-ENSBTAG00000014611","ENSBTAG00000015978-ENSBTAG00000011628","ENSBTAG00000013472-ENSBTAG00000017866","ENSBTAG00000021697-ENSBTAG00000002804","ENSBTAG00000009972-ENSBTAG00000011909","ENSBTAG00000021697-ENSBTAG00000005990","ENSBTAG00000020645-ENSBTAG00000011628","ENSBTAG00000047330-ENSBTAG00000017851","ENSBTAG00000012829-ENSBTAG00000017745","ENSBTAG00000005339-ENSBTAG00000011628","ENSBTAG00000019665-ENSBTAG00000005273","ENSBTAG00000021697-ENSBTAG00000007173","ENSBTAG00000009357-ENSBTAG00000012771","ENSBTAG00000021697-ENSBTAG00000019929","ENSBTAG00000019910-ENSBTAG00000015510","ENSBTAG00000016177-ENSBTAG00000011628","ENSBTAG00000021807-ENSBTAG00000016247","ENSBTAG00000010123-ENSBTAG00000018517","ENSBTAG00000003329-ENSBTAG00000006420","ENSBTAG00000013472-ENSBTAG00000001462","ENSBTAG00000025644-ENSBTAG00000011628","ENSBTAG00000005198-ENSBTAG00000011628","ENSBTAG00000015991-ENSBTAG00000011628","ENSBTAG00000000277-ENSBTAG00000027676","ENSBTAG00000005947-ENSBTAG00000019929","ENSBTAG00000009212-ENSBTAG00000012314","ENSBTAG00000005339-ENSBTAG00000001694","ENSBTAG00000007737-ENSBTAG00000011628","ENSBTAG00000021217-ENSBTAG00000019289","ENSBTAG00000005339-ENSBTAG00000007213","ENSBTAG00000013472-ENSBTAG00000011578","ENSBTAG00000000793-ENSBTAG00000019289","ENSBTAG00000013155-ENSBTAG00000019289","ENSBTAG00000007273-ENSBTAG00000034385","ENSBTAG00000008300-ENSBTAG00000033669","ENSBTAG00000000073-ENSBTAG00000018517","ENSBTAG00000005339-ENSBTAG00000019929","ENSBTAG00000008237-ENSBTAG00000005273","ENSBTAG00000012398-ENSBTAG00000012314","ENSBTAG00000012817-ENSBTAG00000007909"
"Zo_NP_1.NP_Hols_4",109.159633070349,73.9004129120849,72.3319254623496,16.0742688154836,17.2763134438733,13.4200415765324,73.9321858517009,70.0992226116394,19.1189312154926,69.459924553252,90.3229266826314,15.3313125818718,14.8181203940018,19.9179891841891,57.8411909112734,13.299711996601,37.0501350144612,11.2830072968978,15.0405381778675,45.112546448325,78.8410109206192,13.299711996601,76.3367504385509,74.9851112693981,116.686066987443,16.9866375314151,86.2980164860031,78.2657896306743,26.2681024473576,87.8151551576353,95.3359476808974,9.33618299487419,9.33618299487419,9.77046964559302,91.2349973255557,65.9197418693706,104.024961317948,87.3015914042649,16.9866375314151,98.0344226978214
"Zo_NP_8.NP_Hols_4",109.16555216225,75.2308431720136,75.3600038841813,16.0742688154836,17.2763134438733,13.4200415765324,73.6238765532962,70.0207934825104,19.1189312154926,62.477940038687,88.5122412999444,15.3313125818718,14.8181203940018,19.9179891841891,59.0967720016917,13.299711996601,18.046334091427,11.2830072968978,15.0405381778675,47.0011223099638,77.8685159143132,13.299711996601,76.3612820677673,84.9656974977356,112.645549488525,16.9866375314151,77.6234977816095,78.2830856784645,24.0908674707404,78.9881364501117,99.3270584408019,9.33618299487419,9.33618299487419,9.77046964559302,92.2444734101818,65.9233163135061,93.56856255677,92.9057824020151,16.9866375314151,53.2850097324111
"Zo_NP_12.NP_Hols_4",107.738867747172,73.3037122492333,74.1111622584406,47.4640599208543,17.2763134438733,39.6266645059043,73.3322519442856,70.5077458130428,19.1189312154926,69.103637016373,88.9204414627109,45.2702606510079,14.8181203940018,58.8137876125744,56.3884585890857,13.299711996601,44.1769956704278,11.2830072968978,15.0405381778675,46.2222349032245,78.5085789867344,13.299711996601,76.3599893364508,77.6826516095336,117.028679500244,16.9866375314151,85.8553596888774,76.8007367757228,9.33618299487419,87.3647163537784,97.6810425338243,9.33618299487419,9.33618299487419,9.77046964559302,91.1160087363184,65.061764605006,103.491375981075,84.4045445136991,16.9866375314151,88.343979551748
"Zo_NP_14.NP_Hols_4",108.039682918619,76.2420599368742,70.896923523001,16.0742688154836,17.2763134438733,13.4200415765324,73.7428551822036,71.0806747717946,19.1189312154926,67.8060531999978,86.4330069173688,15.3313125818718,14.8181203940018,19.9179891841891,58.1186259525915,13.299711996601,57.2838979578789,11.2830072968978,15.0405381778675,44.217553107162,77.7089437190228,13.299711996601,75.7392509449088,82.716212590741,115.401732570061,16.9866375314151,84.2432227581545,77.2623790294372,42.7347056026678,85.7242376907521,93.4445661237599,9.33618299487419,9.33618299487419,9.77046964559302,93.2052317473202,65.2434220354538,101.548081237043,86.5883086379663,16.9866375314151,94.3892941763985
"SW_NP_1.NP_Hols_4",107.616465707719,74.6725895011739,74.1830028006501,16.0742688154836,17.2763134438733,13.4200415765324,70.9441680084656,75.4179677795481,19.1189312154926,60.0819604056255,83.8055820061476,15.3313125818718,14.8181203940018,19.9179891841891,60.1867102907877,39.3698255078823,18.046334091427,11.2830072968978,15.0405381778675,46.2670409798855,74.9979326336259,13.299711996601,76.0343002245862,68.1582891816236,113.931896392534,16.9866375314151,74.6466979764852,75.9641595971935,39.2556980298255,75.95900383033,97.7757308215987,29.9120526478291,9.33618299487419,25.462110661054,93.3593299025022,64.9878479874975,89.9802821166332,83.911570448589,16.9866375314151,92.9850964113473
"SW_NP_3.NP_Hols_4",108.952152072458,76.2612957530947,72.3242274715356,16.0742688154836,17.2763134438733,13.4200415765324,73.0884740248463,65.9585703106758,19.1189312154926,63.0474564338269,84.9704872491206,15.3313125818718,14.8181203940018,19.9179891841891,56.5013378677856,13.299711996601,18.046334091427,11.2830072968978,15.0405381778675,45.1077453046262,76.6273806468002,13.299711996601,75.2302634935155,77.9427950432131,114.230320350364,16.9866375314151,78.3310732011474,78.1794907748232,40.246647398691,79.7081512057524,95.3258014661408,9.33618299487419,9.33618299487419,9.77046964559302,94.2010330822451,65.7944474410271,94.4214848908412,87.6772118134801,16.9866375314151,94.008004883841
"SW_NP_5.NP_Hols_4",108.348412259607,75.0787323187493,73.4932967129283,16.0742688154836,17.2763134438733,13.4200415765324,73.2646487381592,68.5698209164853,19.1189312154926,63.344446813385,83.71641295559,15.3313125818718,14.8181203940018,19.9179891841891,55.3891293229671,13.299711996601,56.1446761522615,28.3649689948024,15.0405381778675,45.8368796407651,76.9904356244301,13.299711996601,75.6260449150592,72.8372553757487,113.183706587886,16.9866375314151,78.7000583510181,78.5466098648472,39.3057039995809,80.0836231981129,96.8666746465565,9.33618299487419,9.33618299487419,9.77046964559302,93.8097720622793,65.4298587052461,94.8662652867895,88.9347191653559,16.9866375314151,83.5282811845226
"Zo_NP_1.NP_Hols_5",113.750886608141,75.2887408107734,71.8059927054601,13.4757744927087,16.0592382980273,11.56672900755,75.32111065177,75.4147669902958,17.7729574941023,70.7648313500895,93.5566313586904,14.8649505359122,15.6933691954947,19.9224214431735,64.3172968532383,13.5495666385685,31.586295598676,11.4568460422242,14.3090213974767,42.2925580712061,80.3221552161472,13.5495666385685,77.7708485193714,70.5993843696267,116.71203260395,15.5504993906052,88.7218993429344,79.736127548629,32.079675377714,91.1527634226861,110.018904539768,11.4017264986199,11.4017264986199,9.10995780359862,87.76711977325,66.9353758149377,104.04810951655,90.4271274638227,15.5504993906052,93.2319861423139
"Zo_NP_8.NP_Hols_5",113.757054657015,76.6441651590209,74.8120536623577,13.4757744927087,16.0592382980273,11.56672900755,75.0070093099445,75.3303906694444,17.7729574941023,63.6516799920954,91.6811205545527,14.8649505359122,15.6933691954947,19.9224214431735,65.7134572787666,13.5495666385685,15.3850139240193,11.4568460422242,14.3090213974767,44.0630789260137,79.3313904614679,13.5495666385685,77.7958410113069,79.9962263751965,112.670615987164,15.5504993906052,79.8037363691141,79.7537485281041,29.4207474475046,81.9902544396958,114.624697468699,11.4017264986199,11.4017264986199,9.10995780359862,88.7382252812763,66.939005330994,93.5893839408068,96.2319574277861,15.5504993906052,50.6747237577767
"Zo_NP_12.NP_Hols_5",112.270363903661,74.6808302487513,73.5722924905791,39.791232518504,16.0592382980273,34.1542078837082,74.7099061039318,75.8542680417504,17.7729574941023,70.4018504280465,92.1039349334831,43.8931879923175,15.6933691954947,58.8268751755878,62.701911441175,13.5495666385685,37.6621473407026,11.4568460422242,14.3090213974767,43.332879824569,79.9834780596711,13.5495666385685,77.7945239941322,73.1391510526632,117.054721356746,15.5504993906052,88.2668094880659,78.2435515220005,11.4017264986199,90.6852047006106,112.72517403241,11.4017264986199,11.4017264986199,9.10995780359862,87.652653986333,66.0641795844561,103.514405443374,87.4263616790529,15.5504993906052,84.0162511357194
