"Sample","ENSBTAG00000015978-ENSBTAG00000011628","ENSBTAG00000045582-ENSBTAG00000012314","ENSBTAG00000025257-ENSBTAG00000019428","ENSBTAG00000012228-ENSBTAG00000001814","ENSBTAG00000011563-ENSBTAG00000010497","ENSBTAG00000021457-ENSBTAG00000023147","ENSBTAG00000014556-ENSBTAG00000026676","ENSBTAG00000013155-ENSBTAG00000010682","ENSBTAG00000016542-ENSBTAG00000019569","ENSBTAG00000045582-ENSBTAG00000002144","ENSBTAG00000017664-ENSBTAG00000011154","ENSBTAG00000010738-ENSBTAG00000019428","ENSBTAG00000017866-ENSBTAG00000008008","ENSBTAG00000013155-ENSBTAG00000019289","ENSBTAG00000016515-ENSBTAG00000000815","ENSBTAG00000012228-ENSBTAG00000014966","ENSBTAG00000006505-ENSBTAG00000006240","ENSBTAG00000010673-ENSBTAG00000000815","ENSBTAG00000025644-ENSBTAG00000010785","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000004362-ENSBTAG00000015996","ENSBTAG00000015978-ENSBTAG00000013290","ENSBTAG00000046421-ENSBTAG00000007213","ENSBTAG00000011238-ENSBTAG00000017256","ENSBTAG00000015362-ENSBTAG00000008997","ENSBTAG00000010673-ENSBTAG00000006359","ENSBTAG00000009478-ENSBTAG00000018035","ENSBTAG00000017473-ENSBTAG00000018169","ENSBTAG00000019267-ENSBTAG00000014357","ENSBTAG00000025775-ENSBTAG00000016948","ENSBTAG00000016515-ENSBTAG00000006359","ENSBTAG00000017664-ENSBTAG00000014357","ENSBTAG00000016542-ENSBTAG00000018169","ENSBTAG00000011010-ENSBTAG00000009757","ENSBTAG00000004777-ENSBTAG00000017753","ENSBTAG00000007740-ENSBTAG00000013320","ENSBTAG00000011238-ENSBTAG00000002951","ENSBTAG00000017664-ENSBTAG00000019712","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000006295-ENSBTAG00000016948","ENSBTAG00000017122-ENSBTAG00000011154","ENSBTAG00000014737-ENSBTAG00000000782","ENSBTAG00000004777-ENSBTAG00000014420","ENSBTAG00000046421-ENSBTAG00000006240","ENSBTAG00000001292-ENSBTAG00000034385","ENSBTAG00000034077-ENSBTAG00000018999","ENSBTAG00000004362-ENSBTAG00000014357","ENSBTAG00000009478-ENSBTAG00000018114","ENSBTAG00000019267-ENSBTAG00000011578","ENSBTAG00000013155-ENSBTAG00000008373","ENSBTAG00000000073-ENSBTAG00000014611","ENSBTAG00000012228-ENSBTAG00000010146","ENSBTAG00000017473-ENSBTAG00000019289","ENSBTAG00000034077-ENSBTAG00000017846","ENSBTAG00000013155-ENSBTAG00000015910","ENSBTAG00000010963-ENSBTAG00000000973","ENSBTAG00000016542-ENSBTAG00000015910","ENSBTAG00000017473-ENSBTAG00000015910","ENSBTAG00000016800-ENSBTAG00000000782","ENSBTAG00000017473-ENSBTAG00000017266","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000009478-ENSBTAG00000000231","ENSBTAG00000009478-ENSBTAG00000014354","ENSBTAG00000005108-ENSBTAG00000015996","ENSBTAG00000008300-ENSBTAG00000033669","ENSBTAG00000016542-ENSBTAG00000019289","ENSBTAG00000005108-ENSBTAG00000011154","ENSBTAG00000020645-ENSBTAG00000011628","ENSBTAG00000014737-ENSBTAG00000015910","ENSBTAG00000014737-ENSBTAG00000037649","ENSBTAG00000000016-ENSBTAG00000004211","ENSBTAG00000000559-ENSBTAG00000020661","ENSBTAG00000007338-ENSBTAG00000017593","ENSBTAG00000009478-ENSBTAG00000006420","ENSBTAG00000007740-ENSBTAG00000011154","ENSBTAG00000015978-ENSBTAG00000039292","ENSBTAG00000017664-ENSBTAG00000011578","ENSBTAG00000013066-ENSBTAG00000002402","ENSBTAG00000007319-ENSBTAG00000007909","ENSBTAG00000020676-ENSBTAG00000011578","ENSBTAG00000000016-ENSBTAG00000010497","ENSBTAG00000016542-ENSBTAG00000017266","ENSBTAG00000038735-ENSBTAG00000016948","ENSBTAG00000020221-ENSBTAG00000005092","ENSBTAG00000008237-ENSBTAG00000005273","ENSBTAG00000034077-ENSBTAG00000023731","ENSBTAG00000016515-ENSBTAG00000015510","ENSBTAG00000022120-ENSBTAG00000013745","ENSBTAG00000007740-ENSBTAG00000026676","ENSBTAG00000003837-ENSBTAG00000011761","ENSBTAG00000008237-ENSBTAG00000013205","ENSBTAG00000005108-ENSBTAG00000001060","ENSBTAG00000014737-ENSBTAG00000000802","ENSBTAG00000014113-ENSBTAG00000019428","ENSBTAG00000020221-ENSBTAG00000005903","ENSBTAG00000013066-ENSBTAG00000021527","ENSBTAG00000026779-ENSBTAG00000007103","ENSBTAG00000002317-ENSBTAG00000011154","ENSBTAG00000014737-ENSBTAG00000001462","ENSBTAG00000019993-ENSBTAG00000027516","ENSBTAG00000010663-ENSBTAG00000013745","ENSBTAG00000016800-ENSBTAG00000007338","ENSBTAG00000004226-ENSBTAG00000026278","ENSBTAG00000010738-ENSBTAG00000003220","ENSBTAG00000020645-ENSBTAG00000014600","ENSBTAG00000017664-ENSBTAG00000015910","ENSBTAG00000021333-ENSBTAG00000017801","ENSBTAG00000031998-ENSBTAG00000039292","ENSBTAG00000018103-ENSBTAG00000011154","ENSBTAG00000010123-ENSBTAG00000014269","ENSBTAG00000005250-ENSBTAG00000006240","ENSBTAG00000005850-ENSBTAG00000022799","ENSBTAG00000009212-ENSBTAG00000012314","ENSBTAG00000008300-ENSBTAG00000015910","ENSBTAG00000001292-ENSBTAG00000032719","ENSBTAG00000001321-ENSBTAG00000005273","ENSBTAG00000010963-ENSBTAG00000009024","ENSBTAG00000006295-ENSBTAG00000019903","ENSBTAG00000025644-ENSBTAG00000011628","ENSBTAG00000013688-ENSBTAG00000019866"
"Zo_IVT_NP_13.NP_Hols_1",69.7260989716046,88.6594621272211,30.0378534156497,63.5754316426693,32.4104101770693,40.1161850278052,55.2356811094461,63.3846286359436,79.5768849649269,59.1359245871598,58.1247789675224,36.0796524290005,57.5430576135002,46.7979294253153,43.8789641747765,64.4310272368152,51.3457040471488,40.7328352459122,104.849894247553,50.8229857016118,65.8675049481202,91.7227372099289,47.4710323696373,50.0833048337975,55.4890437904852,51.1025630988109,48.5297122337,66.4426394464241,83.4679832444279,48.7115658759025,55.0496306460035,64.8727739330333,79.9237642587559,95.992059581247,81.8622886402659,60.4089124867934,54.932234162485,76.2274108771934,70.3039525807186,44.2226208157132,94.042027526625,48.7056817109369,32.9948579244489,46.6275670017271,34.9872539608473,62.500069030272,60.8203348947344,45.215839999739,65.1849863081379,41.2423181188089,101.998968676764,34.6678493039208,44.095972465915,67.3070002895476,85.4863120440749,24.841260762231,96.8942313371135,80.5506164140029,55.0828181714458,79.91126273047,50.202182237469,59.6031579954667,48.0103991598299,69.6329510046605,83.3859353371116,53.042987718274,57.6091199593137,68.1203589629082,80.1389814534944,68.3333312829695,103.885212570937,57.7163819707183,33.1754127189403,53.2331864947002,52.4888455561494,59.3417633249328,50.6629094920416,60.1175653911157,97.6899306526547,51.6968860091943,56.1990672081321,96.1251536257765,41.9625466830451,41.0272060812408,70.6513947116202,25.3621230265364,34.750074480536,44.1803585252822,48.3133700220447,74.4453494407617,65.4387843376134,55.5911537818207,27.2706676583987,31.6778898179155,40.755816849641,40.5554389521588,31.5183654256706,59.2404286867036,25.3243567585547,38.6862096989577,44.0648152289482,48.6765881927834,45.4196780007055,37.6376662603503,64.0459306974533,89.8184620232734,103.029039497707,32.0169281729337,98.2195707043402,62.9212768695642,52.5219342145049,60.5634662802777,53.4702328266469,158.864913711754,40.9249611199583,52.8052708225181,29.4847586227753,71.373697834299,68.6217734873195,64.1335769899382
"Zo_IVT_NP_18.NP_Hols_1",68.5659205795221,87.9809780723314,30.0378534156497,63.5754316426693,32.4104101770693,40.1161850278052,55.2356811094461,63.3846286359436,79.5768849649269,58.683375237763,58.1247789675224,36.0796524290005,57.5430576135002,46.7979294253153,43.8789641747765,64.4310272368152,51.3457040471488,40.7328352459122,108.296112449853,50.8229857016118,65.8675049481202,90.1965549145885,47.4710323696373,50.6909241399439,55.4890437904852,51.1025630988109,48.5297122337,66.4426394464241,83.4679832444279,48.7115658759025,55.0496306460035,64.8727739330333,79.9237642587559,95.992059581247,81.8622886402659,60.4089124867934,55.5986815169007,76.2274108771934,72.6147108586936,44.2226208157132,96.3626963401185,48.7056817109369,32.9948579244489,46.6275670017271,34.9872539608473,62.500069030272,60.8203348947344,45.215839999739,65.1849863081379,41.2423181188089,93.2653633997286,34.6678493039208,44.095972465915,67.3070002895476,85.4863120440749,24.841260762231,96.8942313371135,80.5506164140029,55.0828181714458,79.91126273047,49.3364622198544,59.6031579954667,48.0103991598299,69.6329510046605,81.9479724798919,53.042987718274,57.6091199593137,66.7390832980329,80.1389814534944,68.3333312829695,103.885212570937,57.7163819707183,33.1754127189403,53.2331864947002,52.4888455561494,58.3543707621322,50.6629094920416,60.1175653911157,97.6899306526547,51.6968860091943,56.1990672081321,96.1251536257765,41.9625466830451,41.0272060812408,82.7544549700263,25.3621230265364,34.750074480536,44.1803585252822,48.3133700220447,74.4453494407617,76.6488892946032,55.5911537818207,27.2706676583987,31.6778898179155,40.755816849641,40.5554389521588,31.5183654256706,59.2404286867036,25.3243567585547,38.6862096989577,44.0648152289482,48.6765881927834,45.4196780007055,37.6376662603503,62.747272163448,89.8184620232734,103.029039497707,32.0169281729337,95.3779678363181,62.9212768695642,52.5219342145049,60.5634662802777,53.4702328266469,156.125340853222,40.9249611199583,52.8052708225181,29.4847586227753,71.373697834299,70.8772417122829,64.1335769899382
"Zo_IVT_NP_20.NP_Hols_1",70.5534485594273,92.3390159052482,30.0378534156497,63.5754316426693,32.4104101770693,40.1161850278052,55.2356811094461,63.3846286359436,79.5768849649269,61.5901895861914,58.1247789675224,36.0796524290005,57.5430576135002,46.7979294253153,43.8789641747765,64.4310272368152,51.3457040471488,40.7328352459122,108.727133738331,50.8229857016118,65.8675049481202,92.811092502192,47.4710323696373,44.4344240085507,55.4890437904852,51.1025630988109,48.5297122337,66.4426394464241,83.4679832444279,48.7115658759025,55.0496306460035,64.8727739330333,79.9237642587559,95.992059581247,81.8622886402659,60.4089124867934,48.7364440628064,76.2274108771934,72.9037192591682,44.2226208157132,96.9663339818391,48.7056817109369,32.9948579244489,46.6275670017271,34.9872539608473,62.500069030272,60.8203348947344,45.215839999739,65.1849863081379,41.2423181188089,105.910012103705,34.6678493039208,44.095972465915,67.3070002895476,85.4863120440749,24.841260762231,96.8942313371135,80.5506164140029,55.0828181714458,79.91126273047,50.3213084047898,59.6031579954667,48.0103991598299,69.6329510046605,83.5838041635738,53.042987718274,57.6091199593137,68.4765002260496,80.1389814534944,68.3333312829695,103.885212570937,57.7163819707183,33.1754127189403,53.2331864947002,52.4888455561494,60.0458954096425,50.6629094920416,60.1175653911157,97.6899306526547,51.6968860091943,56.1990672081321,96.1251536257765,41.9625466830451,41.0272060812408,86.2256035508001,25.3621230265364,34.750074480536,44.1803585252822,48.3133700220447,74.4453494407617,79.8639389664212,55.5911537818207,27.2706676583987,31.6778898179155,40.755816849641,40.5554389521588,31.5183654256706,59.2404286867036,25.3243567585547,38.6862096989577,44.0648152289482,48.6765881927834,45.4196780007055,37.6376662603503,64.3807703695413,89.8184620232734,103.029039497707,32.0169281729337,100.186995522457,62.9212768695642,52.5219342145049,60.5634662802777,53.4702328266469,159.241888724568,40.9249611199583,52.8052708225181,29.4847586227753,71.373697834299,71.1593349412593,64.1335769899382
"SW_IVT_NP_5.NP_Hols_1",68.1840345548123,84.1766764634545,20.5897854081788,46.7540678393568,21.1946887860356,37.7412002543522,51.2699718985316,49.7445717724274,73.2033790023976,56.1459033464206,59.1341631036765,37.75189659246,58.8620281859493,36.727247744392,43.1877726163842,47.3832821980825,44.3322063275549,36.9730392233091,108.74004555607,47.4074382807065,71.2294551499389,89.6941945071482,51.0083395895438,45.7901251870245,37.3025770919502,46.3856016517676,40.5785985507278,63.9020417085762,18.3642503326034,42.4585036051788,54.1824761743625,65.9993424987892,73.522475891217,90.4978503622845,24.1490150306906,49.278644671688,50.2234005413657,77.5511619631552,72.9123768913822,44.6124684532501,94.5536275409289,48.1561348525737,9.7333379409221,50.1020233421242,27.9467524976445,64.5070296523062,65.7714197615495,37.8076715280671,14.3417075621015,32.3671763623614,103.87033670067,25.4951155866357,42.4098545026839,69.4683178891,67.0900828253042,20.8040350621956,89.1337370499349,77.4705654776055,41.9913764494796,76.8556590546813,50.9748228720862,49.8377696741032,40.1443697911333,57.1749852666591,84.6692931340347,48.794646021539,47.3023265189279,65.7969736263203,79.2347722535993,67.5623253918926,104.469048958501,38.5111892535654,27.7058514137365,44.5114550430907,42.8178403303333,58.0293591749408,51.5427121861948,58.4490572215209,97.0840360230615,46.8087371730331,56.5149067734681,88.4262566401386,38.5943071193488,12.8005781516975,77.3192182931501,26.1765346423186,34.2026832969433,44.4724194614375,39.4116910270255,69.45755261139,71.6146605695546,45.6453927712966,26.9629723503629,9.16600186317989,12.7159041170644,39.4298597512556,35.95074012878,58.1655411772241,25.038621702441,29.7988539916569,37.8298058586141,37.107704488131,62.891643395722,39.3821223039323,61.8615121401228,91.3782327838764,23.7124121996862,29.0406540461564,98.3763493119941,48.5561464758895,48.9922093376443,64.324168584949,37.3543913358983,161.30993666251,32.6896120705867,50.8356301103675,24.6928671640216,72.0028977091532,71.1677854202853,43.1580626558375
"SW_IVT_NP_6.NP_Hols_1",68.1123351149326,86.2007438943986,26.5366430441451,18.9256786086849,31.6266129368035,30.0689022029158,46.0802906407685,18.8522729276979,73.6678820872591,57.495957769082,54.2203435115021,36.9970177876786,60.6958079665408,13.9189478105878,17.6082325084524,19.1803796278588,42.8788321586199,39.1788238294967,105.796970346503,54.1633863175131,19.8882060045348,89.5998758950476,45.7745087545078,44.5675919773753,45.3738764672741,49.1529328807274,41.4041747741733,54.6916259435544,18.3642503326034,46.4846656607696,22.0909201971651,60.5150531266273,73.9890037663443,90.4726150139093,24.1490150306906,72.294396589737,48.8825049921059,71.1069611991681,70.9389860600436,28.0241580923392,91.7257430624482,41.0496674434012,9.7333379409221,44.9611872205059,23.7826556035642,23.6996042271884,18.3642503326034,38.57687292467,14.3417075621015,12.2665613742481,100.354045954602,10.3202220893766,36.2971798203133,25.5223601082572,25.4259008993128,15.2440773037324,89.6993242726719,66.3044728376527,45.3063618592498,65.7781949414591,51.3371438075048,50.8517247918743,40.961111580856,81.527783386037,85.2711090062847,49.1042664777339,67.4500187818954,65.0133864135735,67.5419873484728,57.5920596104865,104.853287342607,55.1952835359934,27.5897047061651,45.4170456811853,62.8160524823768,57.9683379611539,47.2597127205511,60.6354418119031,97.3025425689562,43.7923312649674,56.7227692616694,88.9873546324971,45.8721465798299,45.3255643298633,73.8521638265198,9.6171458274557,13.9448914222787,47.327696252802,57.819050023852,68.889102093515,68.4034029510087,65.0873398055586,22.9840092369636,37.4016601525659,45.0257420594666,40.9047994998019,10.6294231625713,55.3214475951551,21.3436376750946,39.2458595967429,52.1836774109298,40.0371511833641,15.8394162076769,38.5946458564447,61.124792999369,83.7850560652941,23.7124121996862,33.6711675176434,96.5537249362975,69.1957116724744,55.9740002231514,54.0224466985222,52.8762563423757,162.456502042257,27.8188238778157,36.4819549771036,18.0936041865819,45.2299695234828,69.241612372268,64.5750118628107
"Zo_IVT_NP_13.NP_Hols_7",70.2823315449464,84.8143315493719,32.4290162310825,64.8935009810656,35.436618320508,36.9175889927245,59.4905064005843,65.7469654638769,86.9867387060182,61.5327831121807,60.4406648707347,38.9517725531709,58.6306588826893,48.2769290171852,45.496546879146,63.8552300901265,47.9207855087711,42.2344370050439,99.5393181672416,51.7835732345913,73.4287565635656,91.4288024351805,46.1421219035369,53.6318684561287,60.1922661501589,56.3314376762968,48.3752141017357,67.1208928613191,87.0850796245967,51.6827744609203,60.6823738340174,67.6840443943972,80.7396344061705,100.451136592378,84.4761524709923,61.3848967906108,52.5017994932689,76.4123051022752,66.1832294193577,46.9200219001779,97.7889769297378,48.6137885754714,31.1899681668635,43.5173629138248,36.9060650457842,62.1294563013086,63.4559923604739,40.5304507588267,72.2161128747263,41.1036074080128,96.4358030666223,32.7948043540696,45.4895795353107,63.6459449899573,86.7278222493764,25.9201410368104,98.3014177528504,81.7204459449546,54.9788932761515,78.9050677233651,53.5141377828077,60.5264995402276,49.540493231476,77.6264565076687,84.0331173211391,54.7193558428957,59.90446028026,68.6637819153143,81.3028328460505,67.251570435522,103.204934121982,55.8850665528764,28.5329327391111,50.5258726435388,54.5801769927352,56.488661944365,56.1276238234411,62.1288402354433,103.645276361791,57.2731293930755,61.4464575962746,94.9148029651735,44.5220923825512,45.1979201164529,71.253657654476,22.8126599368825,38.8583328708192,47.9576450498227,52.0349670864965,74.3637300453513,57.3885374724106,51.9084968813707,26.430861363811,34.1996077035389,42.0767343405028,37.267948557853,30.9687668030704,61.6007658119846,26.9950638884139,43.7714053645732,47.8322231524359,49.1388232307241,45.4725294157708,32.6949852292634,73.7619432850837,91.12288766242,100.49640709865,30.4775815668756,102.132967421786,64.0791433102387,49.0185574568791,63.6933636526144,51.1512470995348,161.17209490745,46.1978490290832,53.2554057127588,30.2452013653718,77.3311401033242,69.1691964210143,65.8508287456587
"Zo_IVT_NP_18.NP_Hols_7",69.1128979525576,84.1652731161073,32.4290162310825,64.8935009810656,35.436618320508,36.9175889927245,59.4905064005843,65.7469654638769,86.9867387060182,61.0618913292519,60.4406648707347,38.9517725531709,58.6306588826893,48.2769290171852,45.496546879146,63.8552300901265,47.9207855087711,42.2344370050439,102.810987753313,51.7835732345913,73.4287565635656,89.9075109451393,46.1421219035369,54.2825395491564,60.1922661501589,56.3314376762968,48.3752141017357,67.1208928613191,87.0850796245967,51.6827744609203,60.6823738340174,67.6840443943972,80.7396344061705,100.451136592378,84.4761524709923,61.3848967906108,53.1387603944195,76.4123051022752,68.358547301639,46.9200219001779,100.202108962647,48.6137885754714,31.1899681668635,43.5173629138248,36.9060650457842,62.1294563013086,63.4559923604739,40.5304507588267,72.2161128747263,41.1036074080128,88.1785407679529,32.7948043540696,45.4895795353107,63.6459449899573,86.7278222493764,25.9201410368104,98.3014177528504,81.7204459449546,54.9788932761515,78.9050677233651,52.5913041879488,60.5264995402276,49.540493231476,77.6264565076687,82.5839940247982,54.7193558428957,59.90446028026,67.2714872700442,81.3028328460505,67.251570435522,103.204934121982,55.8850665528764,28.5329327391111,50.5258726435388,54.5801769927352,55.5487423740447,56.1276238234411,62.1288402354433,103.645276361791,57.2731293930755,61.4464575962746,94.9148029651735,44.5220923825512,45.1979201164529,83.4598896155575,22.8126599368825,38.8583328708192,47.9576450498227,52.0349670864965,74.3637300453513,67.2195808651908,51.9084968813707,26.430861363811,34.1996077035389,42.0767343405028,37.267948557853,30.9687668030704,61.6007658119846,26.9950638884139,43.7714053645732,47.8322231524359,49.1388232307241,45.4725294157708,32.6949852292634,72.2662732856188,91.12288766242,100.49640709865,30.4775815668756,99.1781455765654,64.0791433102387,49.0185574568791,63.6933636526144,51.1512470995348,158.39273547279,46.1978490290832,53.2554057127588,30.2452013653718,77.3311401033242,71.4426574049785,65.8508287456587
"Zo_IVT_NP_20.NP_Hols_7",71.1162812265227,88.3343043373358,32.4290162310825,64.8935009810656,35.436618320508,36.9175889927245,59.4905064005843,65.7469654638769,86.9867387060182,64.0865227711023,60.4406648707347,38.9517725531709,58.6306588826893,48.2769290171852,45.496546879146,63.8552300901265,47.9207855087711,42.2344370050439,103.220178105659,51.7835732345913,73.4287565635656,92.5136699829931,46.1421219035369,47.5827462117129,60.1922661501589,56.3314376762968,48.3752141017357,67.1208928613191,87.0850796245967,51.6827744609203,60.6823738340174,67.6840443943972,80.7396344061705,100.451136592378,84.4761524709923,61.3848967906108,46.5801373858526,76.4123051022752,68.6306160626489,46.9200219001779,100.829797550108,48.6137885754714,31.1899681668635,43.5173629138248,36.9060650457842,62.1294563013086,63.4559923604739,40.5304507588267,72.2161128747263,41.1036074080128,100.133532745642,32.7948043540696,45.4895795353107,63.6459449899573,86.7278222493764,25.9201410368104,98.3014177528504,81.7204459449546,54.9788932761515,78.9050677233651,53.6411229824029,60.5264995402276,49.540493231476,77.6264565076687,84.2325218638965,54.7193558428957,59.90446028026,69.0227642576813,81.3028328460505,67.251570435522,103.204934121982,55.8850665528764,28.5329327391111,50.5258726435388,54.5801769927352,57.1589399588479,56.1276238234411,62.1288402354433,103.645276361791,57.2731293930755,61.4464575962746,94.9148029651735,44.5220923825512,45.1979201164529,86.960627763075,22.8126599368825,38.8583328708192,47.9576450498227,52.0349670864965,74.3637300453513,70.039116717429,51.9084968813707,26.430861363811,34.1996077035389,42.0767343405028,37.267948557853,30.9687668030704,61.6007658119846,26.9950638884139,43.7714053645732,47.8322231524359,49.1388232307241,45.4725294157708,32.6949852292634,74.1475794157979,91.12288766242,100.49640709865,30.4775815668756,104.178781035229,64.0791433102387,49.0185574568791,63.6933636526144,51.1512470995348,161.554544695282,46.1978490290832,53.2554057127588,30.2452013653718,77.3311401033242,71.7270010028267,65.8508287456587
"SW_IVT_NP_5.NP_Hols_7",68.7279654725121,80.5259627680916,22.2288349289454,47.7233904482967,23.1736683623981,34.7319696056979,55.2193171175681,51.5985454631581,80.0197595631661,58.4215722908119,61.4902662521562,40.7571356851086,59.9745588580606,37.8879739793241,44.7798747851192,46.9598346781458,41.3751099527734,38.3360374139086,103.232435948581,48.3034697427365,79.4062311374912,89.4067604023595,49.5804052692802,49.0345031896322,40.4643240363515,51.1318311661138,40.44941341063,64.5543604359584,19.1600676127221,45.048300671857,59.7264910932532,68.859432961821,74.273001017254,94.7017072840719,24.9200933621769,50.0748050681109,48.0013046127602,77.7392670270733,68.6387662453629,47.3336486675102,98.3209608023936,48.0652785485851,9.2009034022763,46.7600621841448,29.4794403313475,64.1245160540383,68.6216331618348,33.8899370040027,15.8886644115431,32.2583155067046,98.2051040758359,24.1176578425229,43.7501735781429,65.6897012182125,68.0644262085957,21.7075746721653,90.4282184884031,78.5956636991938,41.9121512110905,75.8879383884542,54.337751329763,50.6098308330408,41.4237730725535,63.7383802222005,85.3264356232946,50.3367497521425,49.1870096630228,66.3218620181573,80.3854918953224,66.4927700665594,103.784947334886,37.2892461547193,23.8287674539351,42.2477078074165,44.5238465223298,55.2393570668315,57.1023257336034,60.4045109678512,103.002445356479,51.8577242807388,61.7917875710012,87.3128459031768,40.948403822747,14.1018500650322,77.978320638385,23.545204890633,38.2462274540521,48.2746763093368,42.4475884103862,69.3814016698817,62.8046604665843,42.6215965514394,26.1326416014326,9.89566128717871,13.1280332671761,36.2336106529783,35.3238523765318,60.4830511834182,26.6904782214021,33.7158312385327,41.0641394101165,37.4600808938895,62.9648256043056,34.2103545452961,71.2461400797585,92.705310836853,23.1295200006567,27.6444041622763,102.295992614353,49.4496682747153,45.7242762337862,67.6484176512105,35.734344147517,163.652626711881,36.9014342818709,51.2689749341628,25.329722017372,78.0128582313145,71.7355188946546,44.3136704099607
"SW_IVT_NP_6.NP_Hols_7",68.6556940579408,82.462247086172,28.649092066901,19.3180527701795,34.5796367675989,27.6714092384474,49.6298727605735,19.5548946766261,80.5275151568765,59.8263462342179,56.3806636268832,39.9421647657817,61.8429982709257,14.3588415918708,18.2573538561382,19.0089714052096,40.0186803720324,40.6231374999767,100.438425503672,55.1871095978812,22.1712700115675,89.3127440437769,44.4930909987108,47.725349560479,49.2197425296219,54.182318992965,41.2723613476413,55.2499237831863,19.1600676127221,49.3200423356814,24.3512892277532,63.1374811655203,74.7442912577401,94.6752996891349,24.9200933621769,73.4624062992473,46.7197359610935,71.2794354618716,66.7810417031391,29.733518438586,95.3804039333084,40.9722189298258,9.2009034022763,41.9621358592161,25.0869712624159,23.559070382438,19.1600676127221,34.5794316441291,15.8886644115431,12.2253051227846,94.8805967174592,9.76263803804448,37.444314208512,24.1341126550885,25.7951590260315,15.9061425050351,91.0020196847252,67.2674068760593,45.2208822293272,64.9499551031061,54.7239754259162,51.6394936232952,42.2665444682031,90.8867546164927,85.9329223598654,50.6561554388801,70.1374534774437,65.5320238213713,68.5228937014834,56.6803400434644,104.166669585218,53.443961462775,23.7288740110688,43.1072422493778,65.3188544374719,55.1812697009713,52.357343946061,62.6640425710582,103.234272436147,48.515956154822,62.0190584885027,87.8668788839322,48.6701620671254,49.9332377583229,74.4817115050048,8.65040663573808,15.5934984553155,51.3740705978846,62.2728731941252,68.813574382174,59.9884501711012,60.7756044886841,22.2762115448114,40.3790186793133,46.4850500754193,37.5889893665363,10.4440735655892,57.5256393857597,22.7517274434109,44.4046196993148,56.6452234025151,40.4173457447205,15.8578473282228,33.5262916535933,70.3976578282627,85.0018590793625,23.1295200006567,32.0522864944441,100.400748778015,70.4690391758281,52.2403599003817,56.8143066159584,50.583031172427,164.815843559986,31.4030799420169,36.7929428869011,18.5602571501396,49.005238851569,69.7939800050513,66.304083555077
