"ENSBTAG00000005710-ENSBTAG00000015457","ENSBTAG00000002278-ENSBTAG00000019929","ENSBTAG00000014575-ENSBTAG00000019929","ENSBTAG00000007244-ENSBTAG00000019929","ENSBTAG00000005947-ENSBTAG00000019929","ENSBTAG00000020221-ENSBTAG00000005092","ENSBTAG00000015150-ENSBTAG00000017745","ENSBTAG00000013155-ENSBTAG00000008165","ENSBTAG00000021697-ENSBTAG00000007173","ENSBTAG00000012066-ENSBTAG00000019929"
38.373139636219,118.649274983021,94.2880665198003,97.5405333906278,84.717524442345,72.938955466033,52.2971006164642,41.0123715255298,77.1692214201749,81.1099411184073
38.7235210534553,114.482216446013,97.8132442535722,106.468329472512,95.5829940600279,71.8169394931904,55.3788520690651,30.4053370394426,84.373925010792,72.557215472318
42.5095254960883,120.69946595827,103.330295363398,98.531112315547,88.7181469817851,73.7880990888884,20.9710936516785,39.9861930920491,76.9354552829449,79.6529527061497
39.5475467716375,122.840213660124,99.5966750594879,103.016310651803,91.5536879397017,69.45877024873,20.9710936516785,35.7120340654974,81.2577833746833,78.876854028023
37.1795935418943,130.53100796145,93.983152791929,104.44667647378,90.629148976684,69.7057027344677,20.9710936516785,34.7806917465184,82.4342437464976,78.4057346295882
38.373139636219,120.676427173419,95.8990014420853,99.2070375133343,86.1649442876236,72.938955466033,53.824859126322,41.0123715255298,75.3603003126149,82.4957245108866
38.7235210534553,116.438173411307,99.4844077087798,108.287367198019,97.2160531394133,71.8169394931904,56.996637979132,30.4053370394426,82.3961186902035,73.7968734331011
42.5095254960883,122.761646168239,105.095719000502,100.214540724034,90.2339184520099,73.7880990888884,21.5837235376513,39.9861930920491,75.132013879496,81.0138430914723
39.5475467716375,124.938969073721,101.298308870837,104.7763697825,93.1179053280716,69.45877024873,21.5837235376513,35.7120340654974,79.3530224247228,80.2244845755964
37.1795935418943,132.761162496669,95.5888781878058,106.231173758099,92.1775703883464,69.7057027344677,21.5837235376513,34.7806917465184,80.5019054287781,79.7453159857897
38.373139636219,120.96230495131,96.1261824589282,99.4420551393922,86.3690657004132,72.938955466033,56.82551694838,41.0123715255298,79.1802394379807,82.6911536842643
38.7235210534553,116.714010930333,99.7200824140784,108.543895773096,97.446354200671,71.8169394931904,60.1741178714937,30.4053370394426,86.5726964938659,73.9716953654908
42.5095254960883,123.052463749094,105.344686684725,100.451945086141,90.4476791068591,73.7880990888884,22.7869848171726,39.9861930920491,78.9403813912397,81.2057617452132
39.5475467716375,125.234944648134,101.538280637671,105.024580940806,93.338498036031,69.45877024873,22.7869848171726,35.7120340654974,83.375348686943,80.4145332696132
37.1795935418943,133.07566854407,95.8153245346813,106.482831290626,92.3959354792861,69.7057027344677,22.7869848171726,34.7806917465184,84.5824674347447,79.9342295479924
47.6192474388441,21.5138245828788,17.7783985547198,19.534909397126,17.5553648392811,74.9174327449484,11.2816078057346,49.5566580452011,14.2895485675431,13.6759311268188
