"Sample","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000008300-ENSBTAG00000015910","ENSBTAG00000012398-ENSBTAG00000008008","ENSBTAG00000008300-ENSBTAG00000033669","ENSBTAG00000017866-ENSBTAG00000008008","ENSBTAG00000009565-ENSBTAG00000002804","ENSBTAG00000008300-ENSBTAG00000014357","ENSBTAG00000005250-ENSBTAG00000008008","ENSBTAG00000007737-ENSBTAG00000007909","ENSBTAG00000007737-ENSBTAG00000018035"
"Zo_IVT_NP_10.NP_Hols_6",54.0605568566969,158.97267029204,52.877306110305,85.248932688751,59.6221190173402,90.182471725786,119.626639759389,52.6592473182579,135.026240087624,81.2822443298009
"Zo_IVT_NP_13.NP_Hols_6",54.1477222255409,159.228992317706,52.877306110305,85.3863851142054,59.6221190173402,92.278725010357,119.819521608643,52.6592473182579,137.293197771484,82.6468932174935
"Zo_IVT_NP_15.NP_Hols_6",54.9222192015393,161.506509597707,52.877306110305,86.6077014382224,59.6221190173402,91.2442869890945,121.533349140758,52.6592473182579,139.118745788058,83.7458250978648
"Zo_IVT_NP_28.NP_Hols_6",56.4052586606828,165.867595695903,52.877306110305,88.9463294209571,59.6221190173402,93.9806162171608,124.81505834694,52.6592473182579,139.185542669119,83.7860350630041
"SW_IVT_NP_6.NP_Hols_6",55.3718838275258,162.828811669408,52.1554978417937,87.3167845787244,62.8887799244388,83.32148400847,122.528378998997,56.1203383924336,137.718821756282,82.9031076592382
"Zo_IVT_PR_1.PR_Hols_1",43.7397172485302,141.465406640847,55.4119191589244,76.695381680205,88.8069225342277,16.3989345506533,109.691251545656,55.1834079686683,137.219276928848,78.1026848995987
"Zo_IVT_PR_2.PR_Hols_1",47.6208299748365,154.017915540852,55.4119191589244,83.5007165248869,62.4800369402473,16.3989345506533,119.424376017388,55.1834079686683,125.941130094857,71.6833714609823
"Zo_IVT_PR_5.PR_Hols_1",47.2809467895329,152.918646591623,60.6313154012665,82.9047485519935,63.9815212176139,41.4622572269273,118.572010837169,60.4230529870592,137.783130410086,78.4236199151466
"SW_IVT_PR_1.PR_Hols_1",47.1930379935045,152.634327113589,59.7116768808375,82.7506049249065,65.2261472024922,83.5849774365267,118.351551573488,58.9211928669506,135.722625505041,77.2508184769333
"SW_IVT_PR_4.PR_Hols_1",45.8643386606658,148.336974427118,60.4317923306491,80.4207978552523,66.0868867168548,82.3514386691639,115.019415430064,60.1674409629749,129.668985043831,73.8051978322293
