"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.665625,0.186368111319149,0.33125,0.372736222638298,0.7599609375,0.174640516386233
"vivo",0.58125,0.187615705040324,0.1625,0.375231410080648,0.735546875,0.141993366593951
