"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.375,-0.25,0.46875
"vitro",64,0.5,0,0.66015625
"vivo",28,0.3125,-0.375,0.65625
"vitro",28,0.53125,0.0625,0.599609375
"vivo",21,0.375,-0.25,0.6171875
"vitro",21,0.875,0.75,0.91015625
"vivo",94,0.59375,0.1875,0.7265625
"vitro",94,0.75,0.5,0.78125
"vivo",41,0.71875,0.4375,0.83203125
"vitro",41,0.46875,-0.0625,0.640625
"vivo",12,0.5,0,0.671875
"vitro",12,0.65625,0.3125,0.82421875
"vivo",53,0.71875,0.4375,0.8046875
"vitro",53,0.84375,0.6875,0.9765625
"vivo",22,0.875,0.75,0.96875
"vitro",22,0.96875,0.9375,0.9921875
"vivo",17,0.59375,0.1875,0.7421875
"vitro",17,0.4375,-0.125,0.44921875
"vivo",62,0.75,0.5,0.8671875
"vitro",62,0.625,0.25,0.765625
