	nonPR_Hols_1	nonPR_Hols_2	nonPR_Hols_3	nonPR_Hols_4	nonPR_Hols_5	nonPR_Hols_6	nonPR_Hols_7	nonPR_Hols_8	nonPR_Hols_9	nonPR_Hols_10	nonPR_Hols_11	PR_Hols_1	PR_Hols_2	PR_Hols_3	PR_Hols_4	PR_Hols_5	PR_Hols_6	PR_Hols_7	PR_Hols_8	PR_Jap_1	PR_Jap_2	PR_Jap_3	PR_Jap_4	PR_Jap_5	PR_Jap_6	nonPR_Jap_1	nonPR_Jap_2	nonPR_Jap_3	nonPR_Jap_4	nonPR_Jap_5	nonPR_Sim_1	nonPR_Sim_2	nonPR_Sim_3	PR_Sim_1	PR_Sim_2	PR_Sim_3	PR_Cont_1	PR_Cont_2	PR_Cont_3	PR_Cont_4	PR_Cont_5	PR_Cont_6	nonPR_Cont_1	nonPR_Cont_2	nonPR_Cont_3	nonPR_Cont_4	nonPR_Cont_5	nonPR_Cont_6	nonPR_Sim2_1	nonPR_Sim2_2	nonPR_Sim2_3	PR_Sim2_1	PR_Sim2_2	PR_Sim2_3	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
nonPR_Hols_11	65431.9645991376	65763.1839520534	66217.0806238295	67166.8582032433	66403.2195972265	66080.4761982504	65615.3150841083	65705.8533747779	65470.4235786014	66052.602699606	64247.8566878197	67470.3667967231	67790.1988892997	65996.0841333479	65649.260507304	65768.2739712139	66209.8155601734	66141.4667721179	66754.6832394607	67321.9240222144	67111.2334268565	67216.5265107853	67159.5758249403	67440.331297035	66547.0858048961	66457.1113156719	66648.6134063116	66654.2730155258	67272.9714276928	65983.2478331305	62306.2736243144	62608.9043145891	63000.5413901689	62223.3144770276	62346.187252596	62665.9657679797	62024.0461090033	62311.7927221668	62825.8369368825	63815.2976692695	63209.9999005539	62297.2735851999	62084.0687173437	62725.9255487331	62445.4860180042	62056.7549143703	63316.2400164039	61417.598801421	62078.1553250457	61800.8974543198	63265.8445198423	63505.6150727344	63414.2922456747	61396.9181495652	54726.5843912489	54839.8658176062	52371.0597366202	52487.3480182713	57042.4803695404	52377.8150074325	53975.2000166743	59388.495354566	52001.4336765866	55159.3019100219	58764.2835032622	56292.2588108191	57965.148366759	59934.5188800666	57921.2127565579	55960.9621657568	61550.7774435603	62746.2044634517	63474.668489275	60968.1520543846	57183.4377173146	59207.8888655476	56568.3669386071	55513.9710775798	56758.6669233106	56758.625263504	57521.2317045996
PR_Hols_1	69142.2837003999	69522.915093364	69993.1820882588	71049.4875927561	70245.6892993786	69887.2296132191	69372.1442080669	69463.3060837477	69221.6540930077	69832.3405580683	67902.6346274162	71362.633012138	71724.3505747878	69776.1035919628	69461.1521589713	69532.5548155387	70003.4502393418	69961.4238587427	70605.8508650913	71208.8970891302	70998.7268391945	71097.791421144	71045.5183341874	71321.3654461953	70356.7416847612	70281.4615442938	70498.0378136593	70486.0202736146	71148.4452739682	69785.7964813954	65888.4509502666	66209.1048230783	66640.2416491007	65798.4755959832	65940.5443098361	66278.8843489164	65559.6076450093	65906.2576645138	66446.8195769496	67543.1306054018	66846.2704915737	65924.4582682559	65673.3909055692	66341.4797293346	66049.0675044388	65604.7815485573	66963.3692378644	64960.7965049515	65637.0582472744	65342.6030750948	66927.615508827	67194.6239055712	67107.4878360484	64939.2398048173	57790.7719627173	58012.8913297188	55257.3958238116	55443.5851866964	60282.1863125752	55347.7901001939	56997.4882764515	62963.4785898521	54934.9161447782	58311.14331101	62063.5445187453	59525.7011019559	61206.2909560126	63315.1450832713	61251.9015086789	59105.965427479	65046.0193755375	66274.9292021753	67125.7524382495	64409.020188361	60441.935967916	62536.8635286775	59719.0344262888	58598.1617457352	59952.9044733775	60100.0189170325	60824.2768254701
PR_Hols_2	67835.9480619904	68186.499242351	68668.3872421909	69680.8757152895	68872.4282888972	68558.0200443593	68060.5781209444	68134.1223755711	67904.0218394766	68513.5611454651	66604.403785658	69999.3335552599	70357.5467145757	68454.0722881979	68138.6566458695	68223.2613294084	68689.2422474071	68635.6232067316	69261.601094358	69835.3168422546	69627.8241018054	69744.2511274892	69686.4308244447	69953.510116545	69004.8847293162	68936.3108996323	69149.188564145	69138.655156802	69810.9301607336	68453.2032085334	64639.4741280315	64947.9469249852	65377.1063739123	64535.1628800583	64668.7223994375	65005.2234061937	64322.5871764921	64644.5829141816	65192.8484892269	66248.9210107205	65582.9031566714	64644.4707887894	64405.3101853132	65094.9622470567	64779.9329723112	64357.6964976707	65675.5392879227	63704.4441011458	64397.2469745035	64092.5459407564	65643.6246786834	65907.1048508398	65815.1656781052	63693.642651752	56718.0337483103	57006.2494267867	54293.838649572	54369.7604743289	59120.5508019934	54335.6662837492	55864.0504470293	61756.6854715382	53880.4912221003	57208.3392562569	60888.8239940975	58419.2189328204	60028.4044169204	62172.036578963	60127.7851386571	57985.6771523292	63847.066699791	65057.1496252199	65856.6644962557	63266.3472587452	59340.4485684814	61380.7848748404	58595.7102754956	57506.3239869367	58892.3092908779	58923.291594378	59770.8956286634
PR_Hols_3	67166.1087362582	67513.2041360074	67987.6947863844	68974.580047181	68205.9994967517	67865.999975536	67379.2104071894	67456.6900309626	67230.6991917871	67826.6303163117	65953.6817733185	69293.4126480957	69639.5681510542	67771.5100883685	67450.7000181437	67535.9783578997	67989.6340152366	67941.4887870316	68557.6731445526	69110.4401616692	68890.6702818701	69006.227433878	68950.3120894327	69220.253825159	68281.1790052496	68208.9513122304	68421.4409921264	68409.2377949386	69064.7083524376	67719.7029923633	63986.24061175	64297.5755479799	64714.5977918531	63908.1844726378	64036.8613878467	64367.5603761257	63693.5999795182	64001.4566445133	64540.167634255	65590.7382161654	64927.3468006436	64001.542550688	63775.6986279737	64435.1977466927	64142.9868535543	63720.4835995447	65032.6932344177	63084.4059166241	63745.5101660227	63457.1245643436	64987.199421497	65231.962266553	65162.471277157	63065.2204359764	56158.6989635394	56439.2380823319	53756.6267698609	53919.14248045	58608.9087789986	53820.3435616399	55419.8417249476	61231.5021503069	53440.715326071	56690.7162973775	60283.9272501708	57816.5236943689	59450.2668995585	61552.7971088372	59538.5017898953	57467.4457581754	63199.8850404083	64449.5620609601	65180.8356544688	62617.1461430549	58797.2078950222	60757.4435476791	58050.1235013239	57036.0049077183	58297.7686765444	58374.9436974416	59159.0316553271
PR_Hols_4	67394.4552482457	67745.7521782733	68215.9032021223	69229.5381922529	68454.9000480505	68098.0458054894	67604.8512637246	67676.7492004752	67452.2775441373	68058.0489978783	66159.185677756	69547.2429354236	69885.5965958686	68006.7460243456	67686.8375637068	67768.2821860057	68228.130567162	68168.1032239159	68795.9848926625	69373.5260987293	69156.8611664225	69269.2257575418	69215.1851575716	69482.6331312865	68546.6891135072	68462.9496248131	68685.2684827808	68672.4526130266	69336.580870813	67990.4346040286	64199.3567952305	64508.4912879303	64933.229156547	64096.4114855435	64221.4276917721	64562.5905260468	63879.7921769244	64197.4970527203	64748.7566527597	65793.2132169572	65119.5050116211	64199.6411598353	63974.3716334454	64652.8591963786	64340.3493064245	63917.6389159225	65228.6811330751	63271.705900972	63950.672013904	63649.6805257641	65193.7249748555	65455.2698865553	65367.7974101532	63256.751027297	56339.7334424333	56609.0074299562	53890.0808184261	54021.3958699051	58788.0998530193	53961.4099639881	55559.5887616047	61355.1123294132	53538.7374506998	56852.2720347475	60488.4204122303	58008.5204582542	59668.9808867477	61752.5479026483	59729.4528141692	57650.5693283176	63420.1301037387	64693.8448377533	65450.4178074229	62813.4480490257	58959.6907197037	60985.8039864432	58230.4173447713	57164.5876594588	58469.7250374626	58512.3202613584	59332.2174090052
PR_Hols_5	67115.1574070881	67469.8659091313	67933.4016018491	68939.0398630926	68154.2960734244	67812.9757260744	67326.3069251495	67398.2505489467	67177.0399330941	67773.1062112994	65886.7489178189	69248.9166743397	69594.7020375259	67720.5273564011	67400.0245369994	67487.7831991618	67948.3221676136	67887.6120503237	68514.4990502205	69101.6513640789	68885.9212786489	68999.143067174	68936.1465933081	69213.4474215234	68268.496990321	68191.8903311611	68413.5741571165	68403.7274521265	69059.3987920768	67719.7827701314	63901.9655687464	64209.3637346083	64627.0474037872	63801.5172690792	63935.2587424311	64266.8528992423	63589.8280954133	63913.9610656612	64455.8664738048	65486.4460315539	64831.7111538305	63912.7000671399	63687.6368990734	64351.6300266059	64050.7523694108	63631.2033361882	64930.9788596187	62984.348677298	63658.2127638984	63355.1510698775	64888.4158496861	65152.2811498178	65059.3039371971	62970.9108083813	56083.7229072401	56307.8489494097	53685.0171201947	53773.2868060417	58489.2202160253	53711.2430538081	55315.5807762052	61068.471161603	53299.4885328929	56616.3757870554	60280.709041661	57769.172075579	59420.5955191913	61494.7468351947	59410.0782658757	57385.5543267196	63180.8450631634	64390.3540996327	65236.1360344156	62567.1737264969	58644.820856796	60746.8674059007	57965.9355150716	56908.0671278407	58245.0881898119	58263.4622158622	59077.7663707534
PR_Hols_6	67470.9931057669	67821.9104134269	68292.6895206407	69294.0384399328	68524.9109932619	68174.2091541832	67682.3125918904	67755.6913835652	67539.9278094605	68130.138508043	66234.973394609	69623.5696788994	69977.278837828	68080.16551434	67765.6853202983	67848.5848952521	68313.1886141433	68255.2674876808	68882.3011044525	69465.5639970336	69244.3134429678	69353.6511716399	69289.6908306687	69572.6963995709	68623.4598878773	68536.1332157522	68762.8511316581	68756.5207003771	69415.1883158198	68059.4148986678	64297.3358428232	64607.2333047927	65028.7950312629	64204.8505347704	64332.8801943955	64673.9367179422	63987.0670288518	64313.1105175847	64851.4980593162	65891.7067130753	65233.0899736416	64312.3435466941	64082.0339950496	64760.8885592848	64451.3731272665	64020.6564733931	65338.3685624381	63373.8817704854	64049.6181312664	63767.2342559163	65296.5190992766	65544.1246245541	65464.6969981342	63363.0408698823	56434.8485262516	56709.0943378629	53994.9887944176	54174.1173691222	58845.8943995463	54086.9896172013	55693.3092055014	61498.9541874981	53684.6818325929	56968.3654705143	60628.3677555165	58120.374339975	59780.8203045049	61856.7269075689	59829.4891355068	57801.2082519584	63557.6416020152	64773.673835945	65565.7840446218	62913.0295611224	59035.2526710906	61088.3778790563	58353.895534007	57306.3034182488	58577.716014286	58642.1193434949	59439.740943055
PR_Hols_7	67988.167017482	68337.0387071133	68817.5140670354	69828.31726938	69027.1306060643	68705.6749532869	68202.568720731	68291.0835574336	68050.825423624	68655.9024819192	66756.939216646	70151.4772698155	70510.0352863504	68590.7895851576	68278.233974877	68361.0369812196	68829.4439588517	68789.3194449389	69411.2044369017	69986.0759706073	69768.5452422453	69880.2554180155	69818.5578440978	70090.7372050687	69144.8610693901	69059.2449082368	69284.0091341286	69275.8403277652	69940.0150578701	68583.1025870526	64785.8289993354	65086.3980821817	65517.6026680394	64682.3268641864	64812.0370569314	65152.5527368221	64464.8133418403	64782.7137072041	65328.2597612949	66390.7084815418	65723.0695241255	64789.3235134034	64547.5685638242	65237.5819648662	64926.0556346046	64498.134253759	65821.5246795564	63853.0073733574	64533.0871448508	64249.3037945645	65784.8109054873	66040.1509437935	65954.8152132088	63829.4026260619	56835.5270664166	57080.9224402928	54396.8938539927	54516.0393779872	59275.1401432199	54452.3504107882	56033.0247134538	61892.325138363	54028.1353346442	57395.7734729478	61062.1254932654	58511.2791422079	60182.4352282842	62267.8205318265	60252.6535326717	58142.9671875909	64002.1485115866	65234.5959703312	66036.7597812633	63387.5116500492	59479.5204442173	61529.8882549396	58797.1850594417	57702.7524185221	58994.2767328201	59046.5522887209	59856.5546604613
PR_Hols_8	67790.5786130716	68145.022266202	68625.1781581115	69629.1599609182	68844.3931235347	68515.729707864	68017.4336025608	68097.9718381427	67863.984725819	68468.012021771	66566.4320940551	69962.1081626849	70319.5075993939	68405.7118799288	68100.903966751	68176.2410524167	68641.7483132133	68598.408973298	69214.9440806808	69776.7502788006	69564.6713141345	69684.0324557716	69614.4719705291	69887.2303988046	68938.6849197853	68848.9752476951	69083.6570303618	69068.9815093689	69733.5414414695	68374.2333995947	64590.3462298381	64899.8265525401	65330.2571721713	64488.9053487495	64623.1880176844	64966.1989889764	64275.8283740505	64594.0132108997	65150.4941530166	66201.6013826511	65542.1214731389	64599.33745854	64365.7946930129	65046.5190406276	64737.4639313569	64305.4902892902	65632.0654511862	63660.1783988454	64343.9113171029	64046.3155073539	65603.5680120723	65856.4713506548	65778.4559577738	63642.9854084539	56674.9769942164	56965.9572894291	54212.5058440886	54385.0937359738	59129.3644942062	54292.6728651739	55859.075437764	61778.7081499838	53856.7041661107	57229.2160466967	60839.2203621821	58364.4102530916	60004.4153467192	62103.6383334556	60096.9969083403	57957.6733171915	63845.1898846622	65054.4783534614	65840.1420535107	63205.6299154693	59320.6338748252	61385.9062868694	58608.1452480223	57541.4904785159	58821.2867713931	58920.7138671182	59689.7311853068
PR_Jap_1	69308.0136278636	69674.9595416402	70137.077839101	71186.8814591061	70342.84604228	70004.4740518197	69501.1593131961	69581.8057013015	69348.3930293763	69977.8927293632	68017.8593270552	71461.4373152124	71839.2472150789	69904.291339494	69545.0163991817	69665.2375022772	70119.7462926679	70070.4410385552	70737.9305728367	71427.8406698169	71214.8673943226	71319.3575185103	71291.8414365345	71541.0783526688	70563.9805881151	70526.8139398192	70741.0245191931	70730.3536294687	71417.2058190511	70067.2012689888	65894.0544437687	66226.031446735	66646.4893887467	65795.4582018031	65919.8425289423	66243.2964550983	65564.1874931723	65886.6338233293	66490.0110278989	67570.3114361665	66842.5944111149	65883.2708522514	65680.1979551231	66310.3381641377	66054.7686370997	65621.1495607276	66959.5538775573	64949.9797327845	65681.5328177451	65308.1630739384	66874.7435297491	67228.2739511303	67068.9016555187	64939.7004947145	57842.2635592637	57965.3506331853	55275.9218309206	55169.676980931	60161.7646647764	55086.6231504718	56800.3007916099	62705.6927479234	54815.3344258157	58150.0592285857	62113.6002083076	59549.2806801298	61285.8139159436	63362.2238990919	60972.0696140378	59042.2218138755	64941.5815481956	66364.6273152985	67321.6227502707	64506.3347741342	60192.5512013805	62417.6760003977	59493.2514329667	58496.5995941087	60031.0770570709	59954.5615482829	60933.3636099731
PR_Jap_2	69351.4523795942	69716.1467817434	70182.4646227171	71205.2610932185	70361.5540509979	70035.0020832267	69550.5563061323	69621.2804967409	69391.6358762164	70026.7655732633	68061.4117615329	71499.8830642982	71861.9768366848	69948.8981640886	69554.0946661639	69694.0659828788	70145.2086895785	70085.4486881347	70772.219326608	71461.5977320216	71255.4705159462	71356.3154368854	71347.323784194	71581.2965918719	70604.9962019001	70588.2371850453	70774.2904027131	70768.6757622119	71443.5249339456	70103.0150822996	65913.6686946407	66262.7935846496	66665.7658070687	65837.9702658078	65966.593821089	66277.8565425639	65597.9703893432	65919.4215776456	66516.8607544263	67611.2454182286	66869.8895664941	65914.9595354333	65712.1262941778	66336.477786991	66082.5388931295	65644.0417002744	66992.5361939577	64983.3165169044	65714.8903391167	65347.2600621559	66898.1728338203	67254.1920718707	67105.9299753252	64971.2754414305	57921.0397022492	57955.6814677172	55278.3005961959	55187.6415928199	60139.7705060753	55035.8871546699	56788.1592765028	62705.9946089457	54855.0291041407	58153.543010468	62176.5910208016	59552.9584237859	61324.4590008709	63418.0829074252	61068.1976066691	59100.6883187244	64942.6982787682	66411.3297366043	67308.9815401901	64582.7555127083	60237.7005287449	62364.5394992328	59512.1534509	58569.4812302288	60047.0672797934	60004.9472780873	60984.9676093344
PR_Jap_3	69609.5415661096	69970.3690006027	70450.9285209794	71472.1733542589	70629.1555464741	70310.815981762	69809.9853323764	69889.7345000991	69664.4477669524	70295.4417654594	68313.4115808891	71773.668201238	72153.3652280345	70208.1612822266	69849.8149437442	69969.6349016404	70430.2849184615	70379.2156757588	71052.2301704069	71734.5783681717	71505.1788001168	71624.9569379996	71590.8089350927	71832.0914839835	70866.0124166487	70818.448022076	71034.4744974178	71012.8848452475	71714.4536874627	70348.1099359679	66213.8089510301	66550.6878223557	66969.9726533638	66127.2896128726	66252.71866595	66574.9161024065	65887.3483590185	66216.9901433943	66817.660167295	67899.9310747093	67180.7751995368	66215.4980518609	65996.2262025068	66652.3012885901	66379.6363332787	65938.7969378746	67290.8204612966	65268.8641399018	66005.4678019344	65632.8273693205	67205.9048191538	67543.1200791053	67409.0463275667	65254.000589265	58170.6433783934	58282.432308452	55569.0875311575	55499.1931369244	60421.3845553425	55378.4381234098	57057.6365798697	63008.4739847282	55141.3853180637	58463.0350785025	62426.4759630969	59861.1954275078	61551.1806272534	63663.6496179986	61334.6743249432	59349.347181789	65269.0312410672	66720.8525167601	67594.5985667742	64821.0870797929	60515.8555597518	62745.5462604883	59784.7225437455	58834.3813200004	60315.2247202091	60260.7575107589	61223.7090110705
PR_Jap_4	70735.4323990287	71109.2591108386	71592.8330813784	72637.5033873803	71775.9171292663	71441.932318994	70938.8989958199	71028.3939284923	70784.6976221391	71427.0924177301	69438.6100750696	72928.4718913206	73311.2609033581	71341.1285820022	70954.9799121336	71092.43048543	71556.2601841528	71507.4075074122	72192.7425704586	72886.3744615791	72677.4511408472	72771.512656709	72756.6198195925	73001.7671879391	72012.0959774321	71979.9272552119	72185.1766587957	72176.5528429175	72868.9022962013	71495.683233499	67239.7474304626	67579.4148451459	68002.7167230188	67158.6379773447	67296.5794191926	67603.3311292439	66918.9538835834	67239.9675819345	67854.0545403818	68955.0710284365	68215.107460958	67244.0507446299	67021.9318397018	67669.7183590148	67406.506416442	66964.4843894799	68340.2619904499	66289.0249451025	67035.5433296574	66665.0836684628	68236.5151517886	68589.791994461	68438.9324732793	66273.0594775898	59143.5780058096	59231.5880857075	56496.8719867187	56405.5734892717	61460.3097768364	56280.7580807337	58044.9939774406	64001.519224996	56044.1251298281	59438.9016317108	63472.4427621226	60839.9340974006	62590.7129500374	64634.7924699981	62268.4426041431	60281.408738205	66263.1226244515	67778.523574051	68700.831179721	65832.5877426272	61432.4640880176	63782.4664828811	60798.3199568801	59781.9960508061	61264.755635136	61273.6475647835	62259.1269213858
PR_Jap_5	69342.4748515157	69713.5249661686	70176.146980445	71206.3196053908	70366.8778046888	70034.2414374988	69546.8321038344	69612.0740814875	69387.4607517127	70018.2981320586	68050.1919275137	71499.9121652637	71862.6907740814	69944.8546516399	69567.8722411404	69696.2555461162	70153.2003091539	70088.7848349116	70770.4872866068	71461.2746577187	71251.3197778638	71357.8094193377	71332.1498518861	71582.5755177345	70585.3124550265	70573.846135481	70778.0371778666	70765.1186188865	71447.041398523	70097.5035903076	65922.2677061915	66265.0132580046	66670.4300225806	65837.5535825352	65971.5949478412	66285.2441338592	65609.0785272483	65929.1961380659	66532.1773914561	67617.2928456939	66886.2799339742	65928.9536939073	65719.6057911771	66357.9713483686	66090.0175826356	65654.2406618332	66997.6787379763	64989.1807274774	65718.2260889441	65340.9941528644	66905.6058466694	67261.6907522923	67110.2459234966	64979.4831682495	57936.6512473837	57991.7425629225	55324.5990052818	55201.2911947673	60174.3078226124	55118.1106065293	56813.5390404154	62748.6460545298	54882.3493922638	58202.0306131578	62176.3228137106	59599.0589064965	61282.5022374811	63405.7051442867	61045.012347299	59088.5015615475	64972.6638794855	66385.1014221864	67350.7445210111	64561.9650533206	60247.6241189103	62449.9515448834	59527.1183615507	58566.1991068267	60054.6371446502	60023.5879849837	60963.9418266707
PR_Jap_6	68626.0305273565	69004.4652060438	69440.2753239347	70475.5649663561	69638.6989678161	69305.775486579	68801.8142379737	68883.0265937792	68663.8777756773	69274.0722211435	67345.1616712333	70739.5592345838	71102.6706116155	69209.4514751781	68821.4025902507	68963.4480705913	69416.0000126114	69346.8940799228	70022.2525310586	70700.3016789882	70509.5546039043	70590.8130823091	70572.1268809024	70827.1047008274	69865.0172048058	69824.8939602934	70024.2646266436	70026.3615707	70684.7066193808	69367.9573321515	65266.6748703996	65606.8799252102	66002.6771927067	65182.0411630202	65307.3375805631	65617.0877488786	64943.5226697142	65265.3302694606	65858.666221816	66915.2983587759	66198.8435978542	65265.515799789	65054.8757817291	65676.5408681852	65419.6972169036	64996.8283760919	66329.4129846037	64337.1131576916	65063.1714863642	64695.7699043622	66234.5210618885	66587.1782433527	66415.2876965963	64325.8485430455	57329.8025597131	57266.6246428051	54723.7916613714	54643.1038636174	59607.0576529052	54531.0685609256	56265.5752365725	61971.9601417036	54262.5628942857	57592.8436985278	61512.0437801762	58997.844355678	60662.0850246552	62687.1414645889	60356.3623372986	58468.9509077354	64237.8741003207	65685.7130060643	66579.8362024481	63820.8581332553	59579.3814726675	61777.9012357096	58922.0271609481	57894.6933618816	59375.9781538403	59339.9533677998	60287.6545914047
nonPR_Jap_1	68069.1887961239	68422.723064398	68872.4064026831	69841.4568180054	68986.6248032746	68709.7740497811	68231.9075500694	68318.3659194821	68084.2204894204	68699.4865952126	66808.941921814	70147.3207922194	70487.5263601968	68627.5289029002	68215.6268106463	68388.8756508404	68825.8673676446	68757.6425633833	69434.6486071803	70088.4195438337	69890.1142572727	69982.1404833646	69964.2707816355	70227.4086325013	69281.3893843692	69244.6805412724	69412.4379026803	69416.9428351188	70063.5078847274	68754.6708009521	64664.865529573	65001.4052831868	65384.3382555917	64599.8015558198	64734.6191820536	65025.088322784	64377.2286764322	64679.4362458497	65244.2677546546	66281.4935210797	65603.6964596378	64653.5203723358	64456.1903047348	65076.3250764589	64818.7693640869	64415.4435391475	65726.213446556	63757.2464557206	64471.4079698291	64123.5262932335	65627.4792549274	65960.7514001053	65806.6991581474	63745.0773599415	56877.6177333128	56849.9537224419	54333.3750719597	54297.8298044853	59157.9143651699	54149.2287214238	55838.5210633771	61439.9630785327	53887.4665602334	57179.1173396528	61079.4108395094	58513.7674582726	60201.2106492356	62234.4517337616	59923.1019468499	58023.3340158252	63722.0851299395	65184.2216980401	65976.7586547538	63318.1754098518	59139.9733196012	61339.7999403089	58499.5870811617	57497.7656622554	58984.2297940028	58853.6536558277	59849.1934987691
nonPR_Jap_2	67915.1696838219	68277.7807197786	68720.5156246686	69712.2794810327	68870.0724668391	68564.4789187706	68087.2426036785	68163.6731146907	67930.9035534233	68554.6354685237	66632.9646206915	70000.2341645003	70326.4375103408	68483.7753691152	68075.4226962825	68235.051600615	68671.7815804825	68597.1385756586	69284.8457283463	69945.3542929721	69753.2822734654	69847.6260155938	69829.7698751879	70077.3116479559	69129.9202836783	69083.9355414639	69277.6711387959	69276.7793794946	69928.1664158559	68633.109198306	64509.9302291714	64859.6708078849	65243.449552561	64421.9854848433	64555.4796584218	64868.7868321895	64213.0532772789	64513.402679878	65095.6897272062	66136.8850542042	65439.5948957104	64492.2771798328	64314.498356886	64927.4914846128	64663.50990303	64244.8087033164	65567.7523791013	63591.24694808	64316.6018645645	63946.1631961713	65470.1328046292	65822.880887187	65662.3977903176	63582.0286761481	56696.7734273544	56636.9766484455	54095.3277859922	54019.5630219017	58922.4443056968	53888.4623556443	55615.9622356747	61260.8668141456	53656.0914582287	56932.8645704658	60885.9133495115	58286.433291894	60015.5661186268	62039.3158067991	59709.3479170341	57839.4085074049	63475.4501548467	65020.5991793285	65835.5089443965	63175.0459414519	58907.9010372842	61037.3525591597	58269.5350874843	57314.1247250722	58698.7111786803	58654.6538403306	59626.1194737494
nonPR_Jap_3	68643.6012961565	69007.1667451844	69455.5503622566	70456.5242285619	69620.6839367909	69301.5554710464	68817.3163233343	68887.3807284877	68662.2156594645	69290.1918674217	67346.0322522443	70743.9779279888	71090.8425636859	69217.8530814123	68812.7922752203	68966.8977757073	69416.594570916	69338.3265261085	70029.322494249	70699.5513025034	70491.2126870949	70603.4188088542	70589.7785659848	70825.5296392019	69867.1410696838	69840.1625761348	70024.0689203357	70021.3000526555	70688.4449960763	69371.0414726228	65198.2033952744	65551.6110996035	65940.3146620895	65124.5207625573	65256.1336324585	65557.94195343	64896.2688441026	65204.8092861425	65803.5036839798	66863.9746152899	66139.1339006828	65187.3193946912	65009.0350265353	65618.9239918974	65368.3474171657	64943.0483701248	66265.9230233546	64281.9687216213	65014.3915628488	64626.1030777747	66170.2965784074	66524.0896394222	66356.8666427152	64269.2257932713	57277.6865550607	57306.8518862368	54679.3670974546	54565.8788377131	59526.0866578645	54463.7355727287	56165.5397340169	62004.5692414559	54225.57737925	57564.08997936	61550.8387200524	58970.5023669927	60689.9242873959	62761.314256083	60386.0091978362	58490.4967138724	64253.4934210714	65722.0608440022	66635.2244371316	63914.4605721208	59558.451396557	61693.0347371971	58879.3278651688	57948.9430837342	59423.6844273986	59321.4025309745	60304.1905900633
nonPR_Jap_4	68959.0726071374	69333.6481697861	69782.3582227732	70805.4997625459	69943.7876290316	69636.7382955717	69140.558284774	69223.0345349642	68987.4394998775	69622.7036488831	67658.7286905959	71090.2359161476	71449.5137637467	69548.09038894	69161.3787695155	69299.8752828235	69758.7344407303	69691.5216009476	70373.6167485937	71063.3318350467	70862.4260832032	70951.1235265996	70936.465603856	71187.5621106671	70213.3735826027	70180.5504256571	70382.1310501402	70378.4315416914	71049.1095414148	69723.5711993781	65523.7538070378	65862.1760070033	66266.9105345263	65430.7673831006	65562.6048805373	65874.9653064885	65208.7608371085	65521.5048749507	66117.2056289465	67186.3605934888	66466.2894400145	65503.4902549275	65309.1209864633	65940.2054678114	65675.0968802285	65255.7642909582	66591.8987121787	64583.8367681375	65324.4469570097	64946.3126644875	66488.6985173534	66857.8473516289	66674.5304794823	64582.3631274847	57551.8956205423	57589.0603069673	54931.3728942907	54842.0212906756	59803.4507270076	54741.1827544751	56466.7907921154	62240.6530618004	54461.034365478	57813.7032535671	61798.6835898047	59228.261900908	60913.8928375065	62933.2262592863	60612.4059473372	58704.5737530581	64474.2168589755	65983.8961593749	66870.1871689187	64133.989517229	59795.5546432236	62038.2365562915	59122.9156383286	58133.6720420439	59599.5907830748	59558.6327968792	60560.7540905138
nonPR_Jap_5	68526.6191953444	68896.9978877621	69330.1102113071	70357.5592079868	69512.6566211345	69185.5453935333	68691.2825314356	68773.6896777192	68541.8363473842	69172.3946263052	67231.0330058759	70630.1847911092	70967.3537229068	69097.9163392108	68696.6101577509	68854.4551040341	69300.0447016082	69221.0219985319	69913.9476972432	70612.0700062542	70417.7247604669	70512.0855041908	70496.8298317789	70739.8940270603	69795.0484280596	69745.5855030892	69940.7675950305	69936.4281294792	70588.2087832674	69294.0931470126	65081.6405069259	65427.1082476282	65820.6500094687	64987.4222961123	65119.6947131884	65431.7073638414	64772.168588844	65081.8827001677	65665.2595885849	66717.9057821766	66009.9241159849	65064.804128316	64877.4631532021	65483.6475976861	65237.3509874778	64821.6148650122	66140.0250007369	64158.678346439	64887.3843841815	64499.8929651717	66043.8475964307	66413.9242975397	66230.9229971786	64138.2139815883	57190.0754888924	57066.0705040883	54530.3032889065	54438.0943074824	59400.9941144073	54330.8061353983	56058.6280282928	61735.0573355502	54024.723515887	57416.690140979	61436.7048105862	58849.9204303396	60518.9453375503	62552.4076821106	60192.995046824	58308.9238216564	64022.5574711094	65549.6668548389	66403.2572211335	63698.9268905618	59353.808681352	61564.6881234167	58743.036024188	57712.1397226622	59208.2393467578	59132.5881094911	60123.5958974227
