	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
nonPR_Hols_1	57185.6338988471	62913.643023071	62593.4824953965	58697.8797304902	55566.9702200259	62914.22983494	60230.5670810834	64615.9079713544	61151.7157319735	61734.7116189514	66516.4830113416	57889.2686150515	55392.4669550727	58442.6448018563	61169.7491049612	61017.213198896	64312.7786171602	65417.0761903184	65330.9023961411	62152.9949436248	63312.9073948261	63768.8777325497	66247.2614684704	63966.2547581548	62442.2165981869	66731.0715894383
nonPR_Hols_2	58332.1852399717	64127.4915536686	63828.3020066094	59839.8762005357	56638.7611575427	64141.283897376	61390.3746887156	65862.6424898407	62336.1050025849	62938.4663399571	67791.3063557321	59026.8858610191	56481.9333698184	59593.0034200584	62363.4068240651	62210.0355420184	65560.8347196276	66685.7623613417	66586.5135202275	63292.3734313213	64526.20443076	65010.6394893493	67531.0812728172	65232.3539005797	63657.7512795361	68018.9781788192
nonPR_Hols_3	58452.8561323625	64380.9553065339	64076.974927088	59966.1411979324	56696.6047261527	64398.8849908035	61545.6437443489	66064.3203748094	62507.3189636972	63064.4371220668	68078.4110873147	59142.1718625574	56625.3804734328	59721.3492406405	62471.7609586746	62431.3754206668	65834.4621791131	66972.473376007	66845.6013422437	63555.5606818992	64791.6523946825	65222.9396655874	67747.9220129435	65454.6443938772	63928.6936188182	68285.3361200667
nonPR_Hols_4	59242.4070085458	65231.3000412093	64914.4481551686	60881.9178301297	57579.0019842725	65281.5498642583	62456.3288465712	67009.5056274056	63441.0324047274	64073.2730490524	69029.6751856561	60025.989616314	57319.0023372807	60548.2135915886	63389.6815699593	63318.1479765162	66796.6381365029	67857.0182921978	67739.1079111391	64489.1173445899	65567.607755073	66059.1866722472	68680.1165501587	66271.0361631276	64820.2509388126	69171.5553778954
nonPR_Hols_5	57271.536911145	63014.9560477925	62707.5383454496	58976.6734795814	55921.569747175	63034.6840301824	60375.617808659	64776.8851156227	61281.8259241601	61970.5018472904	66568.9198979918	58172.9468388077	55418.2116646003	58640.6642157986	61477.8861276668	61215.993712388	64516.1956781337	65493.8741283791	65387.2771176697	62205.4361544403	63324.6721064656	63813.6457894289	66414.061881108	63991.1178646479	62562.2356208092	66801.5801140445
nonPR_Hols_6	59410.5453637807	65407.4156134298	65082.7213915514	60917.0029039567	57622.9806202997	65406.2234405804	62558.6646831937	67114.1060149831	63519.9027932352	64144.431819735	69153.5151065522	60075.5182730047	57525.7983594027	60686.5166824178	63500.1651394537	63460.3196168796	66860.0543153866	68045.9529123215	67884.1022432665	64597.7435238827	65774.2834491924	66242.3784661659	68833.7096026272	66465.5429735601	64928.6980196575	69372.7636205936
nonPR_Hols_7	58782.3715304754	64758.3724395733	64444.0645423313	60311.2220950574	57061.3498621423	64729.5767300451	61905.6732336232	66428.0926912945	62854.315742307	63463.6878166469	68469.8393155089	59458.8528704886	56947.2422334243	60050.527094042	62859.8897394235	62800.6759799876	66228.8778339185	67338.7787782539	67205.8714741367	63934.8346449229	65163.8331466027	65602.4007619997	68135.4121958381	65838.4514058809	64314.0147618227	68668.3596345538
nonPR_Hols_8	58833.0199018011	64864.6503229868	64548.2675099976	60366.2752954565	57108.5931617551	64834.9049599584	62002.4962622769	66538.3994820575	62932.1947148198	63555.9142737922	68556.0186047318	59529.2913702482	57031.9541529045	60161.312040337	62923.3550202613	62909.431782694	66320.1043770752	67451.7787022484	67310.8538493788	64018.8524140618	65224.5859772509	65674.1933022088	68254.1920906365	65887.1901716461	64380.1433146305	68766.3718262071
nonPR_Hols_9	57961.6186374009	63743.3444907616	63400.7018534149	59390.0581235319	56161.6050147829	63726.6261116089	60982.3438808247	65439.5630216741	61922.2882747475	62512.2312361676	67384.0593528902	58604.769587242	56111.4849298999	59113.2563701814	61912.6913599576	61825.7893413532	65141.383550845	66276.1672495137	66163.1940994542	62923.0514543163	64100.644344375	64565.723698221	67063.1918619211	64790.0773980957	63287.3196758004	67604.3995895127
nonPR_Hols_10	58728.0173944919	64699.5219023075	64395.3640684169	60234.2036218907	57003.6223864054	64703.0318289122	61874.9440460897	66390.3652795752	62818.7585844342	63423.2093496216	68412.3343224363	59392.2247570806	56907.4745915632	59997.1995567296	62766.8789186624	62750.3095148613	66176.1649024289	67325.1726084852	67157.1277605726	63890.6175331883	65061.2069872846	65531.8077399	68084.2678420934	65766.3859055333	64253.863245942	68628.8534795808
