"ENSBTAG00000026236-ENSBTAG00000019929","ENSBTAG00000003329-ENSBTAG00000002081","ENSBTAG00000003835-ENSBTAG00000002081","ENSBTAG00000013363-ENSBTAG00000009851","ENSBTAG00000010361-ENSBTAG00000007909","ENSBTAG00000007446-ENSBTAG00000003060","ENSBTAG00000010452-ENSBTAG00000011515","ENSBTAG00000047567-ENSBTAG00000019866","ENSBTAG00000025644-ENSBTAG00000011515","ENSBTAG00000031998-ENSBTAG00000039292","ENSBTAG00000004148-ENSBTAG00000003255","ENSBTAG00000010562-ENSBTAG00000011515","ENSBTAG00000001460-ENSBTAG00000020661","ENSBTAG00000005710-ENSBTAG00000009851","ENSBTAG00000005111-ENSBTAG00000002081"
118.557375567004,16.0826995212965,15.2383717731081,24.4945866440677,44.5032884148295,10.5790950007048,13.3243551748111,17.2037982971736,26.4196278453971,16.9420599213632,10.3739362822432,14.4283982624691,109.646018644197,12.4133706171693,10.443054831497
112.034451389107,16.2719263756587,14.5935259223043,24.1361667129084,49.8469059043762,9.3121903523865,14.4206932140447,17.7547199950302,26.4709880531564,17.7022395845604,9.68084988995141,16.1390058880914,110.275284778125,10.9783458550671,9.88830564806233
115.146378485398,18.4072643968549,14.7547014048165,23.880037085289,46.9913499849214,8.51777548169122,13.7391779213613,17.3383466187186,25.4583393307344,18.1469065656098,11.2284674016129,14.4300487835666,112.14342993826,12.0110706919207,10.7490556798378
113.110494418741,20.707171948614,16.0255429129538,23.9749122221993,45.4863145840618,9.33680234997566,14.3276522603501,18.462075799846,25.6734916283992,18.942206335795,15.3128779167637,15.7536183373971,105.821137421875,12.2169590868624,10.7490556798378
115.777702044445,18.4672345442439,15.1812289530166,23.9692167350155,46.0249169023781,8.51777548169122,13.2555778737269,17.3073735823431,24.6938701958166,18.1213907661198,11.0053247307487,14.4300487835666,105.352920861446,12.9966310645192,10.828236989697
115.211815190076,17.1527728824461,14.4507282093926,23.800421740418,42.8201627891747,9.28298904192636,13.6113869398759,17.4730742182675,25.869612470019,17.8054337168975,10.8347760654101,15.4354781586534,113.441880948312,11.3176105644414,10.3237565385954
111.174620765279,14.1614861878583,16.1294756609842,23.709047228573,45.3212399769706,9.99100619674161,14.442731465587,17.5920888251538,25.4111649340203,17.9354898158389,9.11292047361843,15.2977271224156,115.021086429941,12.3644740396436,10.5025664835128
123.497254012193,16.0826995212965,15.2383717731081,24.4945866440677,61.7504034430416,10.5790950007048,13.3243551748111,17.2037982971736,26.4196278453971,16.9420599213632,10.3739362822432,14.4283982624691,107.121358954948,12.4133706171693,10.443054831497
116.702541998306,16.2719263756587,14.5935259223043,24.1361667129084,69.1649237532946,9.3121903523865,14.4206932140447,17.7547199950302,26.4709880531564,17.7022395845604,9.68084988995141,16.1390058880914,107.736135891166,10.9783458550671,9.88830564806233
119.94413240329,18.4072643968549,14.7547014048165,23.880037085289,65.202705760843,8.51777548169122,13.7391779213613,17.3383466187186,25.4583393307344,18.1469065656098,11.2284674016129,14.4300487835666,109.561265984838,12.0110706919207,10.7490556798378
117.823420043415,20.707171948614,16.0255429129538,23.9749122221993,63.1143984354866,9.33680234997566,14.3276522603501,18.462075799846,25.6734916283992,18.942206335795,15.3128779167637,15.7536183373971,103.384547719639,12.2169590868624,10.7490556798378
120.601761045646,18.4672345442439,15.1812289530166,23.9692167350155,63.8617344557234,8.51777548169122,13.2555778737269,17.3073735823431,24.6938701958166,18.1213907661198,11.0053247307487,14.4300487835666,102.9271121022,12.9966310645192,10.828236989697
120.012295630594,17.1527728824461,14.4507282093926,23.800421740418,59.4149875640911,9.28298904192636,13.6113869398759,17.4730742182675,25.869612470019,17.8054337168975,10.8347760654101,15.4354781586534,110.829819448548,11.3176105644414,10.3237565385954
115.806885186989,14.1614861878583,16.1294756609842,23.709047228573,62.8853496629314,9.99100619674161,14.442731465587,17.5920888251538,25.4111649340203,17.9354898158389,9.11292047361843,15.2977271224156,112.372662858214,12.3644740396436,10.5025664835128
114.435467288773,16.0826995212965,15.2383717731081,74.3979649058746,60.230099024681,10.5790950007048,13.3243551748111,17.2037982971736,26.4196278453971,16.9420599213632,10.3739362822432,14.4283982624691,106.673404771724,37.70341279727,10.443054831497
108.139326936332,16.2719263756587,14.5935259223043,73.3093279001788,67.4620727059375,9.3121903523865,14.4206932140447,17.7547199950302,26.4709880531564,17.7022395845604,9.68084988995141,16.1390058880914,107.285610867701,33.3447794616142,9.88830564806233
