"Sample","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000014583-ENSBTAG00000010986","ENSBTAG00000014906-ENSBTAG00000008008","ENSBTAG00000014906-ENSBTAG00000015910","ENSBTAG00000020645-ENSBTAG00000011461","ENSBTAG00000014583-ENSBTAG00000011050","ENSBTAG00000014906-ENSBTAG00000011578","ENSBTAG00000005947-ENSBTAG00000019712","ENSBTAG00000015362-ENSBTAG00000006420","ENSBTAG00000014906-ENSBTAG00000020755","ENSBTAG00000015362-ENSBTAG00000011909","ENSBTAG00000015362-ENSBTAG00000000231","ENSBTAG00000007273-ENSBTAG00000011738","ENSBTAG00000015362-ENSBTAG00000008997","ENSBTAG00000013472-ENSBTAG00000017866"
"Zo_NP_4.NP_Hols_1",72.7452178567175,65.9495420751776,53.8309772775337,98.1607561876344,63.8210708887037,97.9461079265557,55.3684553751976,126.189176909017,44.4697191369507,50.2572764394317,49.6358502146594,49.7910395801232,7.88682077617936,36.0171700699943,76.9507826655925
"Zo_NP_5.NP_Hols_1",72.8503894199924,66.8060031999016,61.4325198929434,112.022164786519,63.8841220686138,99.2180960422805,63.187107281033,126.138877194167,15.4992787828853,57.3541720915233,17.2998592083146,17.3539482218309,7.88682077617936,12.5532647994977,74.4344989965618
"Zo_NP_9.NP_Hols_1",71.8020292250053,65.3692039412943,55.5569147269138,101.308002136565,63.5374525878686,97.084208666809,57.1436876945682,126.254143206115,15.4992787828853,51.8686333178971,17.2998592083146,17.3539482218309,7.88682077617936,12.5532647994977,76.4899444337426
"Zo_NP_12.NP_Hols_1",73.0163911622504,65.3921603396458,32.0906817594427,58.5173397808307,62.7482634600298,97.118302760563,33.0072306099283,126.785245811305,50.2784490362798,29.9602635114566,56.1193912132565,56.2948517458139,7.88682077617936,40.7218099178534,72.2054512736014
"Zo_NP_13.NP_Hols_1",71.5567149721917,67.1612884994762,53.8488160091717,98.1932851045439,62.8034984077525,99.745754176088,55.3868036026793,120.864645698532,66.3564004318995,50.2739309033223,74.0651485222664,74.2967175062255,7.88682077617936,53.7437565600116,62.9958767981973
"Zo_NP_14.NP_Hols_1",72.2726956037786,66.4095509918764,52.0055558845975,94.8321013246939,63.0996046430333,98.629298159337,53.4908977300031,125.02266191011,15.4992787828853,48.5530401018623,17.2998592083146,17.3539482218309,7.88682077617936,12.5532647994977,69.0738641911565
"Zo_NP_15.NP_Hols_1",71.9681326504377,64.8884870163275,57.8964879969994,105.574212652565,62.76524387008,96.3702635758598,59.5500820190458,126.374381405519,15.4992787828853,54.05288830511,17.2998592083146,17.3539482218309,7.88682077617936,12.5532647994977,70.35237637885
"Zo_NP_4.NP_Hols_6",70.1968872272906,63.6392701010408,55.7759192363087,98.3857160635249,60.4609350584826,96.9691739891783,61.1194883233602,124.470578470711,43.5800132131497,52.8601848745918,51.3948541323324,49.4564932414392,7.57438080109671,40.6246157091434,83.6332202870304
"Zo_NP_5.NP_Hols_6",70.2983745357934,64.4657286196643,63.6521096462012,112.278891540326,60.5206666367971,98.2284750427574,69.7502511038078,124.420963798854,15.1891846240868,60.3246406267326,17.9129346364782,17.237346923921,7.57438080109671,14.159123478709,80.8984215090733
"Zo_NP_9.NP_Hols_6",69.2867393445147,63.0792617357055,57.5642157275137,101.54017471217,60.1922490676427,96.115871483864,63.0791111858689,124.534659977375,15.1891846240868,54.5549966218475,17.9129346364782,17.237346923921,7.57438080109671,14.159123478709,83.1323626735546
"Zo_NP_12.NP_Hols_6",70.4585610872141,63.101413950706,33.2501352302175,58.6514468721552,59.4446102088349,96.149625516354,36.4356388882336,125.058529378179,49.272527820332,31.5119556869681,58.1081599877337,55.9166062482879,7.57438080109671,45.9310899684418,78.4758023649017
"Zo_NP_13.NP_Hols_6",69.0500186713576,64.8085679545725,55.7944024908481,98.4183195285675,59.4969370742529,98.7508702095195,61.1397423518991,119.218563233839,65.0288075508976,52.8777019010328,76.6898821744609,73.7975173483748,7.57438080109671,60.6188507529396,68.466464653569
"Zo_NP_14.NP_Hols_6",69.7409178552933,64.083164490259,53.8845443935352,95.0494327570604,59.7774535183117,97.6455499468627,59.0469117670111,123.319950498763,15.1891846240868,51.0676832856431,17.9129346364782,17.237346923921,7.57438080109671,14.159123478709,75.0722669719961
"Zo_NP_15.NP_Hols_6",69.4470240170565,62.6153847584365,59.9883190293532,105.816162314507,59.4606966118836,95.4090474230765,65.7354538419833,124.653260626024,15.1891846240868,56.8523778294517,17.9129346364782,17.237346923921,7.57438080109671,14.159123478709,76.4618056840024
"Zo_NP_4.NP_Hols_8",75.8115268628707,68.7294041853592,54.0022042462718,99.877161960361,64.0379576210235,98.4679631243558,62.2014356854575,121.77830610345,43.5001215558571,51.7283657650611,50.2425070298311,51.0248562631537,7.77582044955637,39.7812798562795,69.9263855208011
"Zo_NP_5.NP_Hols_8",75.9211315493277,69.6219663011523,61.6279260455938,113.980946460382,64.1012230713021,99.7467283711354,70.984981666147,121.729764586484,15.1613395399973,59.0329958623624,17.5113006854898,17.7839772192791,7.77582044955637,13.865190938886,67.6397990063404
"Zo_NP_9.NP_Hols_8",74.8285815587458,68.1246040167337,55.7336316022566,103.079439587171,63.7533754841756,97.6014716800068,64.1957481182645,121.841001540636,15.1613395399973,53.3868889460329,17.5113006854898,17.7839772192791,7.77582044955637,13.865190938886,69.5076145772605
"Zo_NP_12.NP_Hols_8",76.0941304888217,68.148528058225,32.1927566323189,59.5405541865188,62.9615044105666,97.6357474265126,37.0806286363952,122.353539756761,49.1822005437589,30.8372355037185,56.8052908401506,57.6898322049172,7.77582044955637,44.9775957813501,65.6142283101025
