"NOT_PREGNANT","PREGNANT"
100,100
99.3795243019648,99.3795243019648
90.6928645294726,90.6928645294726
78.4901758014478,78.4901758014478
77.6628748707342,77.6628748707342
72.9058945191313,72.9058945191313
71.1995863495346,71.1995863495346
69.5966907962771,69.5966907962771
67.3216132368149,67.3216132368149
66.7011375387797,66.7011375387797
65.8738366080662,65.8738366080662
64.3226473629783,64.3226473629783
63.8055842812823,63.8055842812823
63.5987590486039,63.5987590486039
59.0486039296794,59.0486039296794
58.7383660806618,58.7383660806618
58.5315408479835,58.5315408479835
58.4281282316443,58.4281282316443
53.9813857290589,53.9813857290589
52.430196483971,52.430196483971
51.6028955532575,51.6028955532575
50.7755946225439,50.7755946225439
50.1551189245088,50.1551189245088
48.8107549120993,48.8107549120993
47.2595656670114,47.2595656670114
46.4322647362978,46.4322647362978
46.4322647362978,46.4322647362978
45.6049638055843,45.6049638055843
45.1913133402275,45.1913133402275
42.7094105480869,42.7094105480869
42.7094105480869,42.7094105480869
39.9172699069287,39.9172699069287
37.8490175801448,37.8490175801448
37.1251292657704,37.1251292657704
35.6773526370217,35.6773526370217
34.9534643226474,34.9534643226474
33.9193381592554,33.9193381592554
31.3340227507756,31.3340227507756
28.4384694932782,28.4384694932782
28.335056876939,28.335056876939
27.9214064115822,27.9214064115822
27.3009307135471,27.3009307135471
27.1975180972079,27.1975180972079
26.4736297828335,26.4736297828335
25.8531540847984,25.8531540847984
25.4395036194416,25.4395036194416
24.612202688728,24.612202688728
23.9917269906929,23.9917269906929
21.5098241985522,21.5098241985522
21.1995863495346,21.1995863495346
20.4756980351603,20.4756980351603
18.9245087900724,18.9245087900724
18.6142709410548,18.6142709410548
17.8903826266805,17.8903826266805
17.7869700103413,17.7869700103413
16.8562564632885,16.8562564632885
16.5460186142709,16.5460186142709
15.3050672182006,15.3050672182006
12.9265770423992,12.9265770423992
8.68665977249226,8.68665977249226
2.68872802481904,2.68872802481904
0.517063081695984,0.517063081695984
0,0
