"dataset","seed","accuracy","kappa","auc"
"vivo",64,0.75,0.5,0.859375
"vitro",64,0.40625,-0.1875,0.46875
"vivo",28,0.75,0.5,0.859375
"vitro",28,0.84375,0.6875,0.8046875
"vivo",21,0.75,0.5,0.7265625
"vitro",21,0.59375,0.1875,0.7734375
"vivo",94,0.625,0.25,0.689453125
"vitro",94,0.78125,0.5625,0.9453125
"vivo",41,0.875,0.75,1
"vitro",41,0.71875,0.4375,0.8515625
"vivo",12,0.53125,0.0625,0.84375
"vitro",12,0.8125,0.625,0.94140625
"vivo",53,0.84375,0.6875,1
"vitro",53,0.71875,0.4375,0.83984375
"vivo",22,0.90625,0.8125,1
"vitro",22,0.75,0.5,0.88671875
"vivo",17,0.875,0.75,0.8125
"vitro",17,0.71875,0.4375,0.87109375
"vivo",62,0.875,0.75,0.875
"vitro",62,0.65625,0.3125,0.80078125
