"dataset","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","mean_auc","sd_auc"
"vitro",0.7,0.126037362185451,0.4,0.252074724370903,0.818359375,0.135407276317045
"vivo",0.778125,0.122766504321551,0.55625,0.245533008643101,0.8666015625,0.10954557167078
