"ENSBTAG00000021217-ENSBTAG00000010682","ENSBTAG00000013103-ENSBTAG00000010682","ENSBTAG00000021466-ENSBTAG00000010682","ENSBTAG00000005947-ENSBTAG00000013125","ENSBTAG00000017745-ENSBTAG00000010423","ENSBTAG00000005111-ENSBTAG00000008997","ENSBTAG00000000575-ENSBTAG00000015296","ENSBTAG00000017745-ENSBTAG00000015361","ENSBTAG00000013155-ENSBTAG00000010682","ENSBTAG00000010963-ENSBTAG00000009024","ENSBTAG00000006045-ENSBTAG00000011944","ENSBTAG00000017060-ENSBTAG00000010303","ENSBTAG00000017060-ENSBTAG00000007103","ENSBTAG00000007338-ENSBTAG00000017593","ENSBTAG00000016542-ENSBTAG00000018169","ENSBTAG00000009478-ENSBTAG00000018035","ENSBTAG00000001725-ENSBTAG00000001338","ENSBTAG00000026779-ENSBTAG00000007103","ENSBTAG00000025471-ENSBTAG00000012642","ENSBTAG00000000575-ENSBTAG00000020679","ENSBTAG00000034077-ENSBTAG00000017846","ENSBTAG00000040584-ENSBTAG00000021923","ENSBTAG00000011412-ENSBTAG00000017266","ENSBTAG00000005947-ENSBTAG00000017060","ENSBTAG00000007737-ENSBTAG00000018035","ENSBTAG00000005947-ENSBTAG00000015910","ENSBTAG00000016648-ENSBTAG00000017266","ENSBTAG00000017473-ENSBTAG00000017266","ENSBTAG00000017753-ENSBTAG00000015228","ENSBTAG00000017753-ENSBTAG00000020979"
55.5998143864578,113.298045249492,157.859531579664,56.3922466900327,76.4978293947257,33.3722780144513,42.5484346345393,87.6073844451432,65.6967610628058,39.7258100831978,89.9860178112795,42.889326016498,38.7722800469961,42.9728313544565,45.9539998267183,58.5560983747658,36.4954284704421,48.3530451343877,24.2968760256027,47.9862445938723,85.582626996757,106.564194050653,120.572405327561,47.9513394721078,161.435534321994,84.4118183462433,117.947111235904,89.7675244987795,85.9457925004448,97.0980984931812
54.5229756814533,120.166473041392,157.072325336787,58.8366981313794,79.6775911609546,32.435107329568,42.7221845520786,91.2489336721227,70.3062651652968,34.7013719954999,91.745818318843,42.078700594403,38.0394684409898,37.3388336982883,43.2503776379286,52.1872933539269,36.9554617019394,47.4404141047356,22.9054056837781,48.1822002409559,82.6435160420758,112.527374940538,125.804585947287,50.0299004049853,156.148279540933,88.0708424698491,121.838552817199,83.0682778907476,86.9599093948638,98.2438069593331
53.4214977896829,117.571549543033,156.077413028766,54.3838680689712,78.0475280791748,29.9632583551267,37.319548095427,89.3821413172907,45.7372125016552,32.0031608326298,91.9390656775023,39.3245188237124,35.5496669721471,38.0509736967044,44.022630389387,57.4692923932335,34.8509330943363,44.0164023342551,24.5948206281464,42.0890916063505,93.6787886432476,114.818516739095,126.502399704403,46.2435790848263,159.00769147362,81.4055382052272,119.004845045419,78.7953011188616,85.7837633297583,96.9150444550907
59.6150972589752,122.179210318127,154.43420728953,56.2720740841974,75.9328443419219,34.1152296078704,38.8195277851136,86.9603482727657,52.8429536400421,36.7841766225882,89.1046759320196,45.3242816180888,40.9734986077766,44.2435323293866,44.4082859532883,66.0591193154674,42.2635931322775,52.294534638981,26.3884570365212,43.7807729312544,76.8865483972099,109.3020318044,123.870635612172,47.8491545485431,156.637908275821,84.2319356714187,115.489207979404,88.410309531057,86.5975155479355,97.8343889713358
52.4144002374912,117.880571641576,158.47867409997,52.7516656742506,71.5100074789736,32.5233826268768,52.2992468224853,81.8951958043066,55.7570229309351,40.2742924867106,88.867800918066,38.3254618493419,34.6465117960014,35.320055884942,49.6320514163293,22.5387321723628,41.4941146809916,54.2587616723334,25.2314889317343,58.9832380827905,73.902927476104,109.555318548008,131.10486692313,44.8556880943035,158.40581549189,78.962344678912,116.482652703212,88.5506057876661,83.94596445393,94.8387732257003
49.9695077139334,101.824936081927,141.873910336456,56.3922466900327,76.4978293947257,33.3722780144513,42.5484346345393,87.6073844451432,59.0439886343919,39.7258100831978,89.9860178112795,42.889326016498,38.7722800469961,42.9728313544565,45.9539998267183,58.1472530028537,36.4954284704421,48.3530451343877,24.2968760256027,47.9862445938723,86.1630312067562,106.67730397132,22.4075296684279,47.9513394721078,160.308372969008,82.3541424682639,21.9196373095807,16.6826602073927,85.9457925004448,97.0980984931812
49.0017149151594,107.997833587382,141.166420412974,58.8366981313794,79.6775911609546,32.435107329568,42.7221845520786,91.2489336721227,63.1867120112335,34.7013719954999,91.745818318843,42.078700594403,38.0394684409898,37.3388336982883,43.2503776379286,51.8229157066353,36.9554617019394,47.4404141047356,22.9054056837781,48.1822002409559,83.2039877911117,112.646814331656,23.3798934704817,50.0299004049853,155.05803440517,85.9239719053485,22.6428342338596,15.4376525564482,86.9599093948638,98.2438069593331
48.0117780130867,105.665684618916,140.272257747164,54.3838680689712,78.0475280791748,29.9632583551267,37.319548095427,89.3821413172907,41.1056406956626,32.0031608326298,91.9390656775023,39.3245188237124,35.5496669721471,38.0509736967044,44.022630389387,57.0680352249082,34.8509330943363,44.0164023342551,24.5948206281464,42.0890916063505,94.3140993975929,114.940388005848,23.5095772270853,46.2435790848263,157.897481596907,79.421145313562,22.1162096650348,14.6435500125998,85.7837633297583,96.9150444550907
53.5781835824765,109.806751332626,138.795450984976,56.2720740841974,75.9328443419219,34.1152296078704,38.8195277851136,86.9603482727657,47.4918200479866,36.7841766225882,89.1046759320196,45.3242816180888,40.9734986077766,44.2435323293866,44.4082859532883,65.5978869937395,42.2635931322775,52.294534638981,26.3884570365212,43.7807729312544,77.4079775464196,109.418047735045,23.0204824643429,47.8491545485431,155.544244496266,82.1786447273041,21.4628533548065,16.4304313945639,86.5975155479355,97.8343889713358
47.1066640399871,105.943413642066,142.430355484446,52.7516656742506,71.5100074789736,32.5233826268768,52.2992468224853,81.8951958043066,50.1107965592765,40.2742924867106,88.867800918066,38.3254618493419,34.6465117960014,35.320055884942,49.6320514163293,22.3813641681208,41.4941146809916,54.2587616723334,25.2314889317343,58.9832380827905,74.4041223066859,109.671603323585,24.3649132425809,44.8556880943035,157.299807982078,77.0375086180653,21.6474780378937,16.4565044626412,83.94596445393,94.8387732257003
56.7742087687144,115.691157336824,161.193883485665,56.3922466900327,76.4978293947257,33.3722780144513,42.5484346345393,87.6073844451432,67.0844258954317,39.7258100831978,89.9860178112795,42.889326016498,38.7722800469961,42.9728313544565,45.9539998267183,58.1668464781166,36.4954284704421,48.3530451343877,24.2968760256027,47.9862445938723,83.5103840505715,104.653462661651,126.28154872419,47.9513394721078,160.362390966041,85.0135992614521,123.531946086255,94.0180465675035,85.9457925004448,97.0980984931812
55.674624784077,122.704661926242,160.390049658694,58.8366981313794,79.6775911609546,32.435107329568,42.7221845520786,91.2489336721227,71.7912931956723,34.7013719954999,91.745818318843,42.078700594403,38.0394684409898,37.3388336982883,43.2503776379286,51.8403781139635,36.9554617019394,47.4404141047356,22.9054056837781,48.1822002409559,80.6424388471371,110.509721737825,131.76147483223,50.0299004049853,155.110283232148,88.6987089608578,127.607648717553,87.0015884098577,86.9599093948638,98.2438069593331
54.5498811770781,120.054927748882,159.374122542652,54.3838680689712,78.0475280791748,29.9632583551267,37.319548095427,89.3821413172907,46.7032863278855,32.0031608326298,91.9390656775023,39.3245188237124,35.5496669721471,38.0509736967044,44.022630389387,57.0872650436656,34.8509330943363,44.0164023342551,24.5948206281464,42.0890916063505,91.4105104215411,112.759782603052,132.492330302271,46.2435790848263,157.95068721265,81.9858870265648,124.639763942593,82.5262847701043,85.7837633297583,96.9150444550907
60.8743035367514,124.759912786463,157.696208565441,56.2720740841974,75.9328443419219,34.1152296078704,38.8195277851136,86.9603482727657,53.9591168607565,36.7841766225882,89.1046759320196,45.3242816180888,40.9734986077766,44.2435323293866,44.4082859532883,65.6199910572978,42.2635931322775,52.294534638981,26.3884570365212,43.7807729312544,75.0248667316225,107.342210075246,129.735951307088,47.8491545485431,155.596657158076,84.832434183727,120.957660295058,92.5965670207529,86.5975155479355,97.8343889713358
53.5215114368273,120.37047709613,161.826103702466,52.7516656742506,71.5100074789736,32.5233826268768,52.2992468224853,81.8951958043066,56.9347379147713,40.2742924867106,88.867800918066,38.3254618493419,34.6465117960014,35.320055884942,49.6320514163293,22.3889058606777,41.4941146809916,54.2587616723334,25.2314889317343,58.9832380827905,72.1134892975983,107.590955303425,137.312725870844,44.8556880943035,157.352812203901,79.525275711306,121.998144956151,92.743506351661,83.94596445393,94.8387732257003
57.9557467723688,118.098826277435,164.548517630737,56.3922466900327,76.4978293947257,33.3722780144513,42.5484346345393,87.6073844451432,68.4805316337201,39.7258100831978,89.9860178112795,42.889326016498,38.7722800469961,42.9728313544565,45.9539998267183,57.8279952735336,36.4954284704421,48.3530451343877,24.2968760256027,47.9862445938723,84.7849492285538,106.900268329988,122.46037395039,47.9513394721078,159.428199194633,85.0421659873627,119.793972004433,91.1731385706085,85.9457925004448,97.0980984931812
56.8332791528163,125.258290139398,163.727955077188,58.8366981313794,79.6775911609546,32.435107329568,42.7221845520786,91.2489336721227,73.285354373834,34.7013719954999,91.745818318843,42.078700594403,38.0394684409898,37.3388336982883,43.2503776379286,51.5383817769855,36.9554617019394,47.4404141047356,22.9054056837781,48.1822002409559,81.8732324255725,112.882255459042,127.774482046076,50.0299004049853,154.206687636052,88.7285139771084,123.746347259424,84.3689926088796,86.9599093948638,98.2438069593331
55.6851283095941,122.553411879927,162.690885323976,54.3838680689712,78.0475280791748,29.9632583551267,37.319548095427,89.3821413172907,47.6752366005303,32.0031608326298,91.9390656775023,39.3245188237124,35.5496669721471,38.0509736967044,44.022630389387,56.7547029451913,34.8509330943363,44.0164023342551,24.5948206281464,42.0890916063505,92.8056501375113,115.180622891271,128.483222436649,46.2435790848263,157.030544831425,82.0134363643599,120.868268212602,80.0291079400376,85.7837633297583,96.9150444550907
