"NOT_PREGNANT","PREGNANT"
100,100
83.6363636363636,83.6363636363636
83.030303030303,83.030303030303
80,80
76.969696969697,76.969696969697
76.3636363636364,76.3636363636364
75.7575757575757,75.7575757575757
75.1515151515152,75.1515151515152
73.939393939394,73.939393939394
73.939393939394,73.939393939394
65.4545454545454,65.4545454545454
65.4545454545454,65.4545454545454
61.2121212121212,61.2121212121212
58.1818181818182,58.1818181818182
58.1818181818182,58.1818181818182
56.3636363636364,56.3636363636364
56.3636363636364,56.3636363636364
55.7575757575758,55.7575757575758
55.1515151515151,55.1515151515151
54.5454545454546,54.5454545454546
52.7272727272727,52.7272727272727
52.1212121212121,52.1212121212121
52.1212121212121,52.1212121212121
46.969696969697,46.969696969697
46.6666666666667,46.6666666666667
46.6666666666667,46.6666666666667
45.4545454545455,45.4545454545455
45.4545454545455,45.4545454545455
33.9393939393939,33.9393939393939
30.9090909090909,30.9090909090909
29.6969696969697,29.6969696969697
28.4848484848485,28.4848484848485
28.4848484848485,28.4848484848485
27.2727272727273,27.2727272727273
24.8484848484848,24.8484848484848
24.8484848484848,24.8484848484848
24.8484848484848,24.8484848484848
21.8181818181818,21.8181818181818
18.1818181818182,18.1818181818182
18.1818181818182,18.1818181818182
17.5757575757576,17.5757575757576
17.5757575757576,17.5757575757576
16.969696969697,16.969696969697
15.7575757575757,15.7575757575757
12.7272727272727,12.7272727272727
10.9090909090909,10.9090909090909
9.0909090909091,9.0909090909091
3.03030303030303,3.03030303030303
0,0
