"Sample","ENSBTAG00000010663-ENSBTAG00000019929","ENSBTAG00000026236-ENSBTAG00000019929","ENSBTAG00000021316-ENSBTAG00000019929","ENSBTAG00000014575-ENSBTAG00000019929","ENSBTAG00000013760-ENSBTAG00000019929","ENSBTAG00000022120-ENSBTAG00000019929","ENSBTAG00000020645-ENSBTAG00000021527","ENSBTAG00000020645-ENSBTAG00000012848","ENSBTAG00000020645-ENSBTAG00000014944","ENSBTAG00000000470-ENSBTAG00000019929","ENSBTAG00000010303-ENSBTAG00000007103","ENSBTAG00000008817-ENSBTAG00000019929","ENSBTAG00000026779-ENSBTAG00000007103","ENSBTAG00000021697-ENSBTAG00000019929","ENSBTAG00000005260-ENSBTAG00000019929","ENSBTAG00000004630-ENSBTAG00000019929","ENSBTAG00000017060-ENSBTAG00000007103","ENSBTAG00000020645-ENSBTAG00000005990","ENSBTAG00000025644-ENSBTAG00000010986","ENSBTAG00000020645-ENSBTAG00000013674","ENSBTAG00000020645-ENSBTAG00000017489","ENSBTAG00000020645-ENSBTAG00000020199","ENSBTAG00000021457-ENSBTAG00000011986","ENSBTAG00000016515-ENSBTAG00000015510","ENSBTAG00000015801-ENSBTAG00000015510","ENSBTAG00000017246-ENSBTAG00000010444","ENSBTAG00000020645-ENSBTAG00000011628","ENSBTAG00000000277-ENSBTAG00000011238","ENSBTAG00000003585-ENSBTAG00000007213","ENSBTAG00000008300-ENSBTAG00000017266","ENSBTAG00000020645-ENSBTAG00000006208","ENSBTAG00000020645-ENSBTAG00000011461","ENSBTAG00000020645-ENSBTAG00000014600","ENSBTAG00000021316-ENSBTAG00000003585","ENSBTAG00000014575-ENSBTAG00000003585","ENSBTAG00000013760-ENSBTAG00000003585","ENSBTAG00000031998-ENSBTAG00000015708","ENSBTAG00000005691-ENSBTAG00000020644","ENSBTAG00000000016-ENSBTAG00000016455","ENSBTAG00000007446-ENSBTAG00000008733"
"Zo_IVT_NP_10.NP_Hols_2",67.9079650093558,65.8297087545895,73.3978111974577,65.7638649041028,67.4913646653259,68.0860279396948,65.5361736500551,88.923545279733,49.5792002542294,64.6093480353559,31.1318556162058,66.7816261605509,29.3817774246511,43.8458171827337,56.0403596093779,63.7239206070566,31.1269250821644,77.3349597885199,69.1169235315242,91.3213901882878,60.8872973011635,72.2052288062516,72.2956910456853,37.7762260902844,32.5091811487372,100.306928930585,60.9615104674136,46.8007106208611,50.527707414297,159.569168618129,94.1055560206008,57.0681417707564,63.9609307604797,84.7075098014278,75.8972664178985,77.8909526132825,39.0659263335915,32.3060602644311,86.2352289954436,77.1337925727829
"Zo_IVT_NP_13.NP_Hols_2",67.9079650093558,65.8297087545895,73.3978111974577,65.7638649041028,67.4913646653259,68.0860279396948,65.5000812839855,88.8745729188262,49.5518957818235,64.6093480353559,31.1318556162058,66.7816261605509,29.3817774246511,43.8458171827337,56.0403596093779,63.7239206070566,31.1269250821644,77.2923695437252,70.9451380442619,91.2710972758231,60.8537651844593,72.1654636291735,72.2956910456853,37.7762260902844,32.5091811487372,97.297557932145,60.9279374797123,46.8007106208611,50.527707414297,159.826452417028,94.0537298002417,57.0367129559663,63.925705919013,84.7075098014278,75.8972664178985,77.8909526132825,39.0659263335915,32.3060602644311,86.2352289954436,77.1337925727829
"Zo_IVT_NP_18.NP_Hols_2",67.9079650093558,65.8297087545895,73.3978111974577,65.7638649041028,67.4913646653259,68.0860279396948,64.1719369567633,87.0724643176985,48.5471326121353,64.6093480353559,31.1318556162058,66.7816261605509,29.3817774246511,43.8458171827337,56.0403596093779,63.7239206070566,31.1269250821644,75.7251131352639,73.2769708786909,89.4203943803464,59.6198341505506,70.7021654276813,72.2956910456853,37.7762260902844,32.5091811487372,101.173661406099,59.6925024551024,46.8007106208611,50.527707414297,157.070298141757,92.1466034999447,55.8801802422521,62.6294851813332,84.7075098014278,75.8972664178985,77.8909526132825,39.0659263335915,32.3060602644311,86.2352289954436,77.1337925727829
"Zo_IVT_NP_26.NP_Hols_2",67.9079650093558,65.8297087545895,73.3978111974577,65.7638649041028,67.4913646653259,68.0860279396948,63.857615999639,86.645974147362,48.3093436047913,64.6093480353559,31.1318556162058,66.7816261605509,29.3817774246511,43.8458171827337,56.0403596093779,63.7239206070566,31.1269250821644,75.3542034951971,72.5124868937899,88.9824037994013,59.3278098760391,70.3558587185203,72.2956910456853,37.7762260902844,32.5091811487372,102.898974907361,59.4001222435237,46.8007106208611,50.527707414297,165.784547722688,91.6952596574272,55.6064731894347,62.3227193166896,84.7075098014278,75.8972664178985,77.8909526132825,39.0659263335915,32.3060602644311,86.2352289954436,77.1337925727829
"Zo_IVT_NP_28.NP_Hols_2",67.9079650093558,65.8297087545895,73.3978111974577,65.7638649041028,67.4913646653259,68.0860279396948,64.4826887787549,87.4941116641118,48.7822215096677,64.6093480353559,31.1318556162058,66.7816261605509,29.3817774246511,43.8458171827337,56.0403596093779,63.7239206070566,31.1269250821644,76.0918110719829,71.3516148155016,89.8534115494498,59.9085424702263,71.0445398013925,72.2956910456853,37.7762260902844,32.5091811487372,100.819181215187,59.9815626701565,46.8007106208611,50.527707414297,166.489965207613,92.5928223034575,56.1507793334904,62.932767699416,84.7075098014278,75.8972664178985,77.8909526132825,39.0659263335915,32.3060602644311,86.2352289954436,77.1337925727829
"Zo_IVT_NP_10.NP_Hols_3",67.9303024123752,65.8513625434329,73.4219544108382,65.7854970345056,67.5135650333188,68.1084239140972,72.7925767866436,94.598805699982,48.9488393348796,64.630600403111,32.2603593568823,66.8035930696996,30.446842293903,43.860239668947,56.0587933247421,63.7448817254817,32.2552500951037,76.666031846228,72.2390189183605,104.32510355552,63.8047064535171,64.0062422460541,70.995190856117,34.4103092765761,29.6125657174628,96.804527278291,74.6480922382597,43.0761646458722,50.513916038196,155.576812718905,99.4254921719343,64.7548772186344,82.5889722936473,82.9532023001862,74.3254206144653,76.2778172163306,38.2848210680334,32.2963585322069,90.1433804748502,78.4487841313864
"Zo_IVT_NP_13.NP_Hols_3",67.9303024123752,65.8513625434329,73.4219544108382,65.7854970345056,67.5135650333188,68.1084239140972,72.7524881427359,94.5467078350181,48.9218820175759,64.630600403111,32.2603593568823,66.8035930696996,30.446842293903,43.860239668947,56.0587933247421,63.7448817254817,32.2552500951037,76.6238099963337,74.1498161012277,104.267649181576,63.7695676485789,63.9709924504493,70.995190856117,34.4103092765761,29.6125657174628,93.9002340254236,74.606981716827,43.0761646458722,50.513916038196,155.827659381475,99.3707361332421,64.7192151315274,82.5434885362762,82.9532023001862,74.3254206144653,76.2778172163306,38.2848210680334,32.2963585322069,90.1433804748502,78.4487841313864
"Zo_IVT_NP_18.NP_Hols_3",67.9303024123752,65.8513625434329,73.4219544108382,65.7854970345056,67.5135650333188,68.1084239140972,71.27728685254,92.6295854252889,47.9298936290887,64.630600403111,32.2603593568823,66.8035930696996,30.446842293903,43.860239668947,56.0587933247421,63.7448817254817,32.2552500951037,75.0701099614352,76.5869806570826,102.153415366004,62.4765129246517,62.6738534383392,70.995190856117,34.4103092765761,29.6125657174628,97.6409961888985,73.0941768836733,43.0761646458722,50.513916038196,153.140462968649,97.3557969621738,63.4069044174913,80.8697552538201,82.9532023001862,74.3254206144653,76.2778172163306,38.2848210680334,32.2963585322069,90.1433804748502,78.4487841313864
"Zo_IVT_NP_26.NP_Hols_3",67.9303024123752,65.8513625434329,73.4219544108382,65.7854970345056,67.5135650333188,68.1084239140972,70.9281631376082,92.1758758860471,47.695127923785,64.630600403111,32.2603593568823,66.8035930696996,30.446842293903,43.860239668947,56.0587933247421,63.7448817254817,32.2552500951037,74.7024085964226,75.7879640020249,101.653057097046,62.1704963343547,62.3668702532644,70.995190856117,34.4103092765761,29.6125657174628,99.3060671832671,72.7361538485611,43.0761646458722,50.513916038196,161.636685558382,96.87893793728,63.0963306709294,80.4736466107085,82.9532023001862,74.3254206144653,76.2778172163306,38.2848210680334,32.2963585322069,90.1433804748502,78.4487841313864
"Zo_IVT_NP_28.NP_Hols_3",67.9303024123752,65.8513625434329,73.4219544108382,65.7854970345056,67.5135650333188,68.1084239140972,71.6224462447361,93.0781430628841,48.1619935543744,64.630600403111,32.2603593568823,66.8035930696996,30.446842293903,43.860239668947,56.0587933247421,63.7448817254817,32.2552500951037,75.4336360532741,74.5746539219398,102.648092033922,62.7790546764473,62.9773508091654,70.995190856117,34.4103092765761,29.6125657174628,97.2988933284421,73.4481345436841,43.0761646458722,50.513916038196,162.324453783856,97.8272412214896,63.7139515787428,81.2613660572476,82.9532023001862,74.3254206144653,76.2778172163306,38.2848210680334,32.2963585322069,90.1433804748502,78.4487841313864
