"feature","importance"
"ENSBTAG00000021316-ENSBTAG00000019929",0.125
"ENSBTAG00000000470-ENSBTAG00000019929",0.0625
"ENSBTAG00000022120-ENSBTAG00000019929",0.0625
"ENSBTAG00000021316-ENSBTAG00000003585",0.0625
"ENSBTAG00000009357-ENSBTAG00000012771",0.03125
"ENSBTAG00000018773-ENSBTAG00000019866",0.03125
"ENSBTAG00000014113-ENSBTAG00000019428",0
"ENSBTAG00000000283-ENSBTAG00000012771",0
"ENSBTAG00000000016-ENSBTAG00000015312",0
"ENSBTAG00000004630-ENSBTAG00000019929",0
"ENSBTAG00000000016-ENSBTAG00000016455",0
"ENSBTAG00000010673-ENSBTAG00000000815",0
"ENSBTAG00000007319-ENSBTAG00000022799",0
"ENSBTAG00000004630-ENSBTAG00000003585",0
"ENSBTAG00000007319-ENSBTAG00000007909",0
