"Sample","ENSBTAG00000014113-ENSBTAG00000019428","ENSBTAG00000021316-ENSBTAG00000019929","ENSBTAG00000000283-ENSBTAG00000012771","ENSBTAG00000000470-ENSBTAG00000019929","ENSBTAG00000000016-ENSBTAG00000015312","ENSBTAG00000004630-ENSBTAG00000019929","ENSBTAG00000022120-ENSBTAG00000019929","ENSBTAG00000000016-ENSBTAG00000016455","ENSBTAG00000010673-ENSBTAG00000000815","ENSBTAG00000007319-ENSBTAG00000022799","ENSBTAG00000021316-ENSBTAG00000003585","ENSBTAG00000009357-ENSBTAG00000012771","ENSBTAG00000018773-ENSBTAG00000019866","ENSBTAG00000004630-ENSBTAG00000003585","ENSBTAG00000007319-ENSBTAG00000007909"
"Zo_IVT_NP_3.NP_Hols_3",32.1999698478284,73.4219544108382,53.1530191109527,64.630600403111,92.9380580012311,63.7448817254817,68.1084239140972,90.1433804748502,40.4581612945605,76.5236795090386,82.9532023001862,54.6131764393461,66.3614025280528,72.0199034717436,104.298090919634
"Zo_IVT_NP_13.NP_Hols_3",32.1999698478284,73.4219544108382,53.1530191109527,64.630600403111,92.9380580012311,63.7448817254817,68.1084239140972,90.1433804748502,40.4581612945605,76.5236795090386,82.9532023001862,54.6131764393461,66.3614025280528,72.0199034717436,104.298090919634
"Zo_IVT_NP_20.NP_Hols_3",32.1999698478284,73.4219544108382,53.1530191109527,64.630600403111,92.9380580012311,63.7448817254817,68.1084239140972,90.1433804748502,40.4581612945605,76.5236795090386,82.9532023001862,54.6131764393461,66.3614025280528,72.0199034717436,104.298090919634
"SW_IVT_NP_4.NP_Hols_3",9.31706579308233,68.7846167417401,27.8455348391904,50.9846471024419,89.2314486094986,53.7078859171745,64.2702197565341,86.5482300288814,35.3260997033488,32.4664934549752,77.7138701019931,48.8808886630404,17.7012803549273,60.6799582134936,44.2502674718972
"SW_IVT_NP_5.NP_Hols_3",9.31706579308233,71.631913148845,15.4793250605558,64.3012908526867,93.4603712227935,18.0790057319918,68.5586649422915,90.6499875685525,36.7237187251008,76.0490626663254,80.9307873954982,44.3405839031198,60.3757161472744,20.4259261675383,103.651211013559
"Zo_IVT_NP_3.NP_Hols_9",35.6795785161658,76.2385421958418,55.3874496774445,67.1099372866574,93.7154066076317,66.1902409734778,70.721175868082,90.9348245261986,41.4805304488638,77.6269721461242,81.4059517996862,56.9089886586777,66.9138145545745,70.6765818325214,102.847725897078
"Zo_IVT_NP_13.NP_Hols_9",35.6795785161658,76.2385421958418,55.3874496774445,67.1099372866574,93.7154066076317,66.1902409734778,70.721175868082,90.9348245261986,41.4805304488638,77.6269721461242,81.4059517996862,56.9089886586777,66.9138145545745,70.6765818325214,102.847725897078
"Zo_IVT_NP_20.NP_Hols_9",35.6795785161658,76.2385421958418,55.3874496774445,67.1099372866574,93.7154066076317,66.1902409734778,70.721175868082,90.9348245261986,41.4805304488638,77.6269721461242,81.4059517996862,56.9089886586777,66.9138145545745,70.6765818325214,102.847725897078
"SW_IVT_NP_4.NP_Hols_9",10.3238910494502,71.4233085726176,29.016097024099,52.940502614649,89.9777945491004,55.7682093810014,66.7357318415547,87.3081092507418,36.2187827498075,32.9345844225119,76.2643440912193,50.9357286998405,17.8486310705599,59.5481502408925,43.6349250469872
"SW_IVT_NP_5.NP_Hols_9",10.3238910494502,74.3798319860708,16.1300402530789,66.7679948764209,94.2420885395332,18.7725463373645,71.1886888878827,91.4458795468432,37.6517193077892,77.1455124376293,79.4212591575117,46.2045599794818,60.8783015423844,20.0449399776197,102.209841476743
"Zo_IVT_PR_3.PR_Hols_1",44.4020206362577,76.7198670640023,60.5588507449129,67.5336295660006,95.6509331103281,66.6081268366182,71.1676673626782,93.6160918622452,46.7892115590869,81.9791749527808,86.2123461617444,62.2224523839786,67.1310436527692,74.8494895492111,104.443636995213
"Zo_IVT_PR_7.PR_Hols_1",52.6094235382114,83.4603723135262,71.7607790251677,77.5322157835997,97.5229864902826,77.9043698644077,79.7400842255561,95.4483198969336,53.5896468556044,83.9883759418916,93.7868479709332,72.59585714788,71.3970168206922,87.5434064120562,107.003412192731
"SW_IVT_PR_1.PR_Hols_1",46.6414238462354,81.2071095631783,64.9235725323377,75.4208210248472,97.4671814805571,73.9939583806972,72.8394388659628,95.3937020615716,45.2468336531387,88.9215167025338,91.2547910779735,60.7762658887005,76.2916958368706,83.1491632861229,113.288363988691
"SW_IVT_PR_2.PR_Hols_1",51.8491568163586,84.0518159629146,72.543550220964,71.5089880710113,99.3381381464339,76.9497166837079,83.4383771132684,97.2248567132567,47.7596509814416,92.7831285861054,94.4514704030042,77.4677690621226,83.4366933213578,86.470634865017,118.208159656511
"SW_IVT_PR_4.PR_Hols_1",52.2822471177665,88.178978757574,61.3230892478653,68.5269732762579,97.386755600192,82.371838536728,74.3533646858732,95.3149871305246,49.002754251184,95.3938572761768,99.0892832816711,69.3048870009368,76.969201467942,92.5636309038886,121.534297053672
